sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1	
nematode_0.001_1x_1	0.0	0.0195465	0.0201691	0.0134868	0.0265128	0.0227484	0.023213	0.0165512	0.0284582	0.0248937	0.0252324	0.0184623	0.0303762	0.0265934	0.0271202	0.0205138	0.0322428	0.0286919	0.0291073	0.0224158	0.0344191	0.030746	0.0310656	0.0245485	0.0440942	0.0400914	0.0407049	0.0343126	0.0247318	0.020816	0.0213648	0.0144523	
nematode_0.001_2x_1	0.0195465	0.0	0.0133174	0.00762047	0.0227625	0.0172794	0.0165026	0.0107011	0.0246713	0.0193939	0.0185083	0.0127353	0.0263438	0.0211108	0.0204277	0.0146636	0.0283848	0.0230341	0.0223301	0.0165745	0.0303987	0.0249176	0.0241398	0.0185408	0.0402508	0.0346115	0.0339798	0.0285349	0.0207879	0.0153644	0.0145663	0.00865843	
nematode_0.001_4x_1	0.0201691	0.0133174	0.0	0.00672187	0.0232585	0.0165671	0.0148969	0.00985393	0.0250478	0.01859	0.0169656	0.0118192	0.0268724	0.0203459	0.0187336	0.0137791	0.0288261	0.0223547	0.0207705	0.0157413	0.0307449	0.0243122	0.0226406	0.0176269	0.040752	0.033784	0.0323751	0.0275411	0.0213517	0.0146433	0.0129493	0.00780908	
nematode_0.001_8x_1	0.0134868	0.00762047	0.00672187	0.0	0.0166084	0.0107689	0.00982636	0.00407167	0.0184317	0.0129033	0.0119152	0.0060712	0.0202567	0.0147353	0.0138079	0.0080801	0.0223315	0.0166813	0.0158426	0.0100739	0.024313	0.018705	0.0177426	0.0121111	0.0343357	0.0284328	0.0277496	0.0221893	0.0145438	0.00878519	0.00785861	0.00194985	
nematode_0.002_1x_1	0.0265128	0.0227625	0.0232585	0.0166084	0.0	0.0197673	0.0201814	0.0136134	0.0295299	0.0258803	0.0262562	0.0194803	0.0313967	0.0275759	0.0280533	0.0214594	0.0333899	0.0297017	0.0301427	0.0235464	0.0353908	0.031766	0.032065	0.0255853	0.0447562	0.0411079	0.0416255	0.0351612	0.0257568	0.0217962	0.0223243	0.0155391	
nematode_0.002_2x_1	0.0227484	0.0172794	0.0165671	0.0107689	0.0197673	0.0	0.0133322	0.00769639	0.0256735	0.0203413	0.0196362	0.0137769	0.0274709	0.0221598	0.0214761	0.0157651	0.0296644	0.0241899	0.0234318	0.0177749	0.0313956	0.0259011	0.0252072	0.0195534	0.0412775	0.035666	0.0350156	0.029534	0.0218987	0.0164331	0.0156422	0.00975609	
nematode_0.002_4x_1	0.023213	0.0165026	0.0148969	0.00982636	0.0201814	0.0133322	0.0	0.00666674	0.0260089	0.0195303	0.0178676	0.0127931	0.0278532	0.0213558	0.0197718	0.0147648	0.0298844	0.023308	0.0217518	0.016732	0.031709	0.0250727	0.0235002	0.0184894	0.0416447	0.0346894	0.0332686	0.0284367	0.0223395	0.0156582	0.0139185	0.0088086	
nematode_0.002_8x_1	0.0165512	0.0107011	0.00985393	0.00407167	0.0136134	0.00769639	0.00666674	0.0	0.0194231	0.0138904	0.012928	0.00710376	0.0212864	0.0157217	0.0147744	0.0091067	0.0234103	0.017733	0.0168592	0.0111466	0.0253047	0.0196236	0.0186531	0.0130821	0.035364	0.0294404	0.0287306	0.0232152	0.0155661	0.00983787	0.0088676	0.00299798	
nematode_0.004_1x_1	0.0284582	0.0246713	0.0250478	0.0184317	0.0295299	0.0256735	0.0260089	0.0194231	0.0	0.0197566	0.0200319	0.0135539	0.0331067	0.0295124	0.0298289	0.023392	0.0351533	0.0313642	0.031635	0.0252542	0.0367782	0.0332283	0.0334748	0.0271672	0.0468061	0.0427769	0.0430581	0.0369095	0.0274148	0.0236663	0.0240827	0.0174161	
nematode_0.004_2x_1	0.0248937	0.0193939	0.01859	0.0129033	0.0258803	0.0203413	0.0195303	0.0138904	0.0197566	0.0	0.0133646	0.00772109	0.0296498	0.0240605	0.0233637	0.0177919	0.0316373	0.0261024	0.0253603	0.0197895	0.0333973	0.0279411	0.027088	0.0215615	0.043199	0.0373592	0.036801	0.0313934	0.0238699	0.0184794	0.0175994	0.0119064	
