sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1	
nematode_0.001_1x_1	0.0	0.0195609	0.0199857	0.0134295	0.0265817	0.0227528	0.0231501	0.0164278	0.0284661	0.0247449	0.0250378	0.0184906	0.0304073	0.0265701	0.0271248	0.0204907	0.0323634	0.0286483	0.0290508	0.0224318	0.0341279	0.0304707	0.0308893	0.0243957	0.0439501	0.0402162	0.0404477	0.0341596	0.0245574	0.0206766	0.0211544	0.0144149	
nematode_0.001_2x_1	0.0195609	0.0	0.0132882	0.00763515	0.0227595	0.0171776	0.0165221	0.0107152	0.0247621	0.0193147	0.0184082	0.0127315	0.0267229	0.0212103	0.0205421	0.0147087	0.0285516	0.0231524	0.0223794	0.0166653	0.0305538	0.0249805	0.0243282	0.0186358	0.0403548	0.0349919	0.0343011	0.0287883	0.0208019	0.0152939	0.0145344	0.00867969	
nematode_0.001_4x_1	0.0199857	0.0132882	0.0	0.00665781	0.0231516	0.0164142	0.0148293	0.00977484	0.0251528	0.0184135	0.0167197	0.0117403	0.0269398	0.0203341	0.0187588	0.0136936	0.0287038	0.0221562	0.0205626	0.0155451	0.0308827	0.0241812	0.0225898	0.0175921	0.0404893	0.0340379	0.0324198	0.0276503	0.0212816	0.0144551	0.0128371	0.00774915	
nematode_0.001_8x_1	0.0134295	0.00763515	0.00665781	0.0	0.0164994	0.0107056	0.00983892	0.0040189	0.0185148	0.0127365	0.0117728	0.00606212	0.0204395	0.0146892	0.0138304	0.00804922	0.0223105	0.0166749	0.0157525	0.0100427	0.0244732	0.0186882	0.0177868	0.0121403	0.034539	0.0287992	0.0279382	0.0223925	0.0145485	0.00868711	0.00780089	0.00193047	
nematode_0.002_1x_1	0.0265817	0.0227595	0.0231516	0.0164994	0.0	0.0195878	0.0201562	0.0135296	0.0295619	0.0260264	0.0261603	0.0196123	0.031601	0.0276267	0.02806	0.0214629	0.0332271	0.029532	0.0298833	0.0233774	0.0350143	0.0316668	0.0320338	0.025518	0.0449788	0.0412912	0.0418128	0.035466	0.0257362	0.0217603	0.0222592	0.0154724	
nematode_0.002_2x_1	0.0227528	0.0171776	0.0164142	0.0107056	0.0195878	0.0	0.0133314	0.00767685	0.0257956	0.020295	0.019476	0.0137895	0.0276843	0.0222109	0.0214414	0.0156879	0.0294548	0.0240755	0.0233019	0.0176337	0.0315896	0.0259941	0.0253021	0.0195972	0.0414016	0.0360024	0.0352024	0.0296633	0.0217547	0.0161842	0.0155147	0.0097242	
nematode_0.002_4x_1	0.0231501	0.0165221	0.0148293	0.00983892	0.0201562	0.0133314	0.0	0.00670394	0.026243	0.0194803	0.017875	0.0128557	0.0280725	0.0214145	0.0198238	0.0147653	0.0299053	0.0232395	0.0216971	0.0166637	0.0320037	0.0252702	0.0236873	0.0186954	0.0416185	0.0351148	0.0335168	0.0287207	0.0223185	0.0155152	0.0139398	0.00888165	
nematode_0.002_8x_1	0.0164278	0.0107152	0.00977484	0.0040189	0.0135296	0.00767685	0.00670394	0.0	0.019638	0.0137989	0.0128193	0.00712685	0.0215483	0.0157186	0.0148417	0.00911335	0.0233935	0.0176889	0.0167454	0.0110889	0.0254653	0.0196739	0.0188038	0.0131312	0.0354337	0.0297548	0.0289111	0.0234073	0.0155751	0.00968132	0.00883627	0.00300889	
nematode_0.004_1x_1	0.0284661	0.0247621	0.0251528	0.0185148	0.0295619	0.0257956	0.026243	0.019638	0.0	0.0198619	0.0202885	0.0136784	0.0332527	0.0296312	0.0299557	0.0234656	0.0354539	0.0314732	0.0319069	0.0253198	0.0369741	0.0334133	0.0339232	0.0274241	0.0469848	0.0434062	0.0438068	0.0374953	0.0276673	0.0237666	0.0242442	0.0175019	
nematode_0.004_2x_1	0.0247449	0.0193147	0.0184135	0.0127365	0.0260264	0.020295	0.0194803	0.0137989	0.0198619	0.0	0.0132429	0.00768196	0.0296436	0.0241319	0.0233591	0.0177239	0.0314181	0.025895	0.0252912	0.0195847	0.0335094	0.0280764	0.0273245	0.021662	0.0433444	0.037931	0.0371905	0.0317112	0.0238918	0.018206	0.0175433	0.0117589	
nematode_0.004_4x_1	0.0250378	0.0184082	0.0167197	0.0117728	0.0261603	0.019476	0.017875	0.0128193	0.0202885	0.0132429	0.0	0.00656851	0.029899	0.0232509	0.0216452	0.0166238	0.0317192	0.0250869	0.0234356	0.0185207	0.0336717	0.0271579	0.0254933	0.0205105	0.0435453	0.0368381	0.0352011	0.0305246	0.0242386	0.0174028	0.0158426	0.0107879	
