sample	SRR23814166.msh	SRR23814167.msh	SRR23814168.msh	SRR23814169.msh	SRR23814170.msh	SRR23814171.msh	SRR23814172.msh	SRR23814173.msh	SRR23814175.msh	SRR23814176.msh	SRR23814178.msh	SRR23814179.msh	
SRR23814166.msh	0	0.0168732	0.0166254	0.0172182	0.0173945	0.0171985	0.0165247	0.0168743	0.0174111	0.0171103	0.0172568	0.0167679	
SRR23814167.msh	0.0168732	0	0.016807	0.0174629	0.0175584	0.0173867	0.0168387	0.0170568	0.0176449	0.0172612	0.0174662	0.0168188	
SRR23814168.msh	0.0166254	0.016807	0	0.0171497	0.0172458	0.0170465	0.0163481	0.0167491	0.0173451	0.017119	0.0170552	0.0165063	
SRR23814169.msh	0.0172182	0.0174629	0.0171497	0	0.0177534	0.017668	0.0170122	0.017307	0.0179659	0.0176213	0.017707	0.0171311	
SRR23814170.msh	0.0173945	0.0175584	0.0172458	0.0177534	0	0.0177154	0.0171333	0.0174311	0.0179912	0.017685	0.017907	0.0170411	
SRR23814171.msh	0.0171985	0.0173867	0.0170465	0.017668	0.0177154	0	0.0170509	0.0172667	0.0177948	0.0175058	0.0178067	0.0169564	
SRR23814172.msh	0.0165247	0.0168387	0.0163481	0.0170122	0.0171333	0.0170509	0	0.0165597	0.0171349	0.0170389	0.0171327	0.0164431	
SRR23814173.msh	0.0168743	0.0170568	0.0167491	0.017307	0.0174311	0.0172667	0.0165597	0	0.0175288	0.0172496	0.0174317	0.0167625	
SRR23814175.msh	0.0174111	0.0176449	0.0173451	0.0179659	0.0179912	0.0177948	0.0171349	0.0175288	0	0.0176309	0.0177845	0.0172524	
SRR23814176.msh	0.0171103	0.0172612	0.017119	0.0176213	0.017685	0.0175058	0.0170389	0.0172496	0.0176309	0	0.01769	0.0169905	
SRR23814178.msh	0.0172568	0.0174662	0.0170552	0.017707	0.017907	0.0178067	0.0171327	0.0174317	0.0177845	0.01769	0	0.0171727	
SRR23814179.msh	0.0167679	0.0168188	0.0165063	0.0171311	0.0170411	0.0169564	0.0164431	0.0167625	0.0172524	0.0169905	0.0171727	0	
