sample	SRR23814147.msh	SRR23814148.msh	SRR23814152.msh	SRR23814180.msh	SRR23814181.msh	SRR23814183.msh	SRR23814184.msh	SRR23814185.msh	SRR23814186.msh	SRR23814187.msh	SRR23814188.msh	
SRR23814147.msh	0	0.0276098	0.0280216	0.027575	0.0274316	0.0187336	0.0294312	0.0279086	0.0278876	0.0281835	0.0282223	
SRR23814148.msh	0.0276098	0	0.0276777	0.0272549	0.0273505	0.0182217	0.0289572	0.0273329	0.0277933	0.0275289	0.0278952	
SRR23814152.msh	0.0280216	0.0276777	0	0.0277534	0.0278427	0.0188128	0.0293492	0.0279095	0.0280812	0.0280783	0.0284739	
SRR23814180.msh	0.027575	0.0272549	0.0277534	0	0.0245403	0.0183759	0.0291417	0.0275243	0.0276919	0.0277297	0.0281942	
SRR23814181.msh	0.0274316	0.0273505	0.0278427	0.0245403	0	0.0184523	0.0293135	0.0272911	0.027725	0.0275966	0.0283858	
SRR23814183.msh	0.0187336	0.0182217	0.0188128	0.0183759	0.0184523	0	0.0198657	0.0185539	0.018808	0.0187474	0.0189594	
SRR23814184.msh	0.0294312	0.0289572	0.0293492	0.0291417	0.0293135	0.0198657	0	0.0291883	0.0295908	0.0292086	0.0298498	
SRR23814185.msh	0.0279086	0.0273329	0.0279095	0.0275243	0.0272911	0.0185539	0.0291883	0	0.0251687	0.0277354	0.0281632	
SRR23814186.msh	0.0278876	0.0277933	0.0280812	0.0276919	0.027725	0.018808	0.0295908	0.0251687	0	0.0279353	0.0284877	
SRR23814187.msh	0.0281835	0.0275289	0.0280783	0.0277297	0.0275966	0.0187474	0.0292086	0.0277354	0.0279353	0	0.0285368	
SRR23814188.msh	0.0282223	0.0278952	0.0284739	0.0281942	0.0283858	0.0189594	0.0298498	0.0281632	0.0284877	0.0285368	0	
