sample	moss_0.001_1x	moss_0.001_2x	moss_0.001_4x	moss_0.001_8x	moss_0.002_1x	moss_0.002_2x	moss_0.002_4x	moss_0.002_8x	moss_0.004_1x	moss_0.004_2x	moss_0.004_4x	moss_0.004_8x	moss_0.006_1x	moss_0.006_2x	moss_0.006_4x	moss_0.006_8x	moss_0.008_1x	moss_0.008_2x	moss_0.008_4x	moss_0.008_8x	moss_0.01_1x	moss_0.01_2x	moss_0.01_4x	moss_0.01_8x	moss_0.02_1x	moss_0.02_2x	moss_0.02_4x	moss_0.02_8x	moss_0.0_1x	moss_0.0_2x	moss_0.0_4x	moss_0.0_8x
moss_0.001_1x	0.0	0.0	0.0055	0.00984	0.0025	0.00246	0.0081	0.01207	0.00435	0.00437	0.00984	0.01351	0.00703	0.00625	0.01141	0.01475	0.00855	0.00778	0.01326	0.01603	0.01046	0.00969	0.01491	0.01753	0.01942	0.01855	0.02277	0.02485	0.00053	0.00042	0.00612	0.01091
moss_0.001_2x	0.0	0.0	0.00387	0.00832	0.00249	0.00217	0.00645	0.01061	0.00468	0.00417	0.00803	0.01191	0.00695	0.00597	0.00952	0.01315	0.00882	0.00784	0.0112	0.01426	0.01058	0.00979	0.01286	0.01578	0.01947	0.0188	0.02053	0.02284	0.0	0.0	0.00466	0.00944
moss_0.001_4x	0.00545	0.00394	0.0	0.00697	0.00816	0.00642	0.00714	0.01025	0.01007	0.0083	0.00829	0.01127	0.01241	0.01011	0.00944	0.01224	0.0141	0.01188	0.01071	0.01327	0.01595	0.01368	0.01214	0.01446	0.02474	0.02229	0.01904	0.02081	0.00612	0.00475	0.00596	0.00946
moss_0.001_8x	0.01014	0.00878	0.00722	0.0	0.01283	0.01116	0.01056	0.01393	0.01459	0.01292	0.0114	0.01466	0.01691	0.01469	0.01237	0.01524	0.01855	0.01657	0.01353	0.01617	0.02041	0.0183	0.01481	0.01732	0.02876	0.0264	0.02076	0.02317	0.01105	0.00966	0.00973	0.01341
moss_0.002_1x	0.0025	0.00255	0.00824	0.01245	0.0	0.0	0.0061	0.01	0.0053	0.00528	0.01087	0.01458	0.00781	0.00703	0.01243	0.01585	0.00953	0.0087	0.01412	0.01701	0.01121	0.01036	0.01589	0.01858	0.01989	0.01943	0.02345	0.02568	0.00137	0.00148	0.00718	0.01185
moss_0.002_2x	0.00239	0.00217	0.00632	0.01057	0.0	0.0	0.00413	0.00813	0.00531	0.00501	0.00878	0.01246	0.00785	0.00686	0.01017	0.01368	0.00968	0.00861	0.01184	0.01485	0.01128	0.01052	0.01348	0.01639	0.02024	0.01939	0.02082	0.02314	0.00128	0.00111	0.00549	0.01006
moss_0.002_4x	0.00797	0.00652	0.00711	0.01016	0.00602	0.00418	0.0	0.00528	0.01095	0.0091	0.00881	0.01144	0.01322	0.01092	0.00988	0.01247	0.01502	0.01263	0.0111	0.01335	0.01678	0.01443	0.01248	0.01464	0.02521	0.02283	0.01926	0.02067	0.00707	0.00563	0.0065	0.00977
moss_0.002_8x	0.0124	0.01117	0.0106	0.01392	0.01031	0.00859	0.00548	0.0	0.01512	0.01356	0.01177	0.01475	0.01751	0.01538	0.01279	0.01552	0.01918	0.0171	0.0138	0.01629	0.02109	0.01871	0.01503	0.0175	0.02938	0.02699	0.021	0.02325	0.01174	0.01027	0.01022	0.01367
moss_0.004_1x	0.00433	0.00479	0.01014	0.01412	0.00528	0.00543	0.01108	0.01467	0.0	0.0	0.00659	0.01022	0.00965	0.00915	0.01424	0.01731	0.01151	0.01086	0.01594	0.0184	0.013	0.0125	0.01761	0.01996	0.02162	0.021	0.02515	0.02699	0.00344	0.00355	0.00912	0.01348
moss_0.004_2x	0.00424	0.00415	0.00815	0.01223	0.00513	0.005	0.00898	0.01285	0.0	0.0	0.00426	0.00811	0.00957	0.00875	0.01186	0.01518	0.0114	0.01056	0.01346	0.01636	0.013	0.01239	0.01508	0.01784	0.0217	0.02093	0.02238	0.02458	0.00299	0.00317	0.00727	0.01164
moss_0.004_4x	0.00967	0.0081	0.00824	0.01094	0.01069	0.00886	0.00879	0.01132	0.00651	0.00432	0.0	0.00245	0.0148	0.01236	0.01083	0.01305	0.01657	0.01421	0.01212	0.01405	0.01827	0.01581	0.01344	0.01519	0.02676	0.02405	0.01994	0.02131	0.00876	0.00721	0.00768	0.01055
moss_0.004_8x	0.01384	0.01251	0.01163	0.01462	0.01494	0.0131	0.01185	0.01472	0.01055	0.00857	0.00254	0.0	0.01882	0.0165	0.01361	0.01591	0.02058	0.0182	0.01464	0.01679	0.02249	0.0199	0.01583	0.01814	0.03036	0.02812	0.02175	0.02388	0.01323	0.0116	0.01115	0.01436
moss_0.006_1x	0.00696	0.00708	0.01246	0.01632	0.00775	0.008	0.01332	0.01692	0.0096	0.00978	0.01495	0.01824	0.0	0.0	0.00727	0.01041	0.01348	0.0132	0.01817	0.02064	0.01535	0.01505	0.0199	0.02223	0.02341	0.02295	0.02701	0.02892	0.00587	0.00601	0.01141	0.01571
