sample	nematode_0.001_1x	nematode_0.001_2x	nematode_0.001_4x	nematode_0.001_8x	nematode_0.002_1x	nematode_0.002_2x	nematode_0.002_4x	nematode_0.002_8x	nematode_0.004_1x	nematode_0.004_2x	nematode_0.004_4x	nematode_0.004_8x	nematode_0.006_1x	nematode_0.006_2x	nematode_0.006_4x	nematode_0.006_8x	nematode_0.008_1x	nematode_0.008_2x	nematode_0.008_4x	nematode_0.008_8x	nematode_0.01_1x	nematode_0.01_2x	nematode_0.01_4x	nematode_0.01_8x	nematode_0.02_1x	nematode_0.02_2x	nematode_0.02_4x	nematode_0.02_8x	nematode_0.0_1x	nematode_0.0_2x	nematode_0.0_4x	nematode_0.0_8x
nematode_0.001_1x	0.0	0.0	0.0	0.0	0.00322	0.00286	0.00282	0.0	0.00501	0.0048	0.0046	0.0	0.00687	0.0068	0.00652	0.0	0.00879	0.00888	0.00845	0.0	0.01081	0.01059	0.01014	0.0	0.01987	0.01983	0.01929	0.0079	0.00119	0.00108	0.00077	0.0
nematode_0.001_2x	0.0	0.0	0.0	0.0	0.0027	0.00246	0.00223	0.0	0.00466	0.00439	0.00407	0.0	0.00648	0.00628	0.00595	0.0	0.00844	0.00838	0.00794	0.0	0.01043	0.01033	0.0098	0.0	0.01981	0.01952	0.01899	0.0094	0.00078	0.00055	0.0	0.0
nematode_0.001_4x	0.0	0.0	0.0	0.0	0.00286	0.00232	0.00205	0.0	0.00468	0.00435	0.00399	0.0	0.00653	0.00629	0.00584	0.0	0.00852	0.00834	0.00792	0.0	0.01057	0.0102	0.00973	0.00129	0.01992	0.01957	0.01907	0.01088	0.00077	0.00037	0.0	0.0
nematode_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006	0.00176	0.0	0.00903	0.0107	0.01167	0.00352	0.0	0.0	0.0	0.0
nematode_0.002_1x	0.00322	0.00272	0.00287	0.0	0.0	0.0	0.0	0.0	0.00584	0.00592	0.00563	0.0	0.00764	0.00749	0.00747	0.0	0.00967	0.00968	0.00938	0.0	0.0116	0.0114	0.01105	0.0	0.02066	0.02064	0.02021	0.00876	0.00209	0.00202	0.00166	0.0
nematode_0.002_2x	0.00284	0.00246	0.00231	0.0	0.0	0.0	0.0	0.0	0.00562	0.00547	0.00507	0.0	0.00747	0.00736	0.00695	0.0	0.00946	0.00948	0.009	0.0	0.01137	0.0113	0.01071	0.00095	0.02066	0.0205	0.0199	0.01042	0.00203	0.00157	0.00123	0.0
nematode_0.002_4x	0.0028	0.00224	0.00205	0.0	0.0	0.0	0.0	0.0	0.0055	0.00523	0.00485	0.0	0.0075	0.00713	0.0068	0.0	0.0094	0.00915	0.00876	0.0	0.01122	0.01109	0.01048	0.00216	0.02076	0.02042	0.01988	0.01178	0.00172	0.00132	0.00093	0.0
nematode_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00077	0.0	0.0	0.00156	0.0026	0.0	0.00986	0.01153	0.0125	0.00446	0.0	0.0	0.0	0.0
nematode_0.004_1x	0.005	0.0047	0.0047	0.0	0.00583	0.00566	0.00553	0.0	0.0	0.0	0.0	0.0	0.0095	0.00963	0.00922	0.0	0.01133	0.01148	0.01098	0.0	0.01299	0.01323	0.01296	0.00127	0.02245	0.02254	0.0219	0.01072	0.00421	0.00377	0.00359	0.0
nematode_0.004_2x	0.00476	0.00438	0.00433	0.0	0.00587	0.00547	0.00521	0.0	0.0	0.0	0.0	0.0	0.00935	0.0094	0.00896	0.0	0.01157	0.01129	0.01091	0.00111	0.01331	0.01322	0.01261	0.00295	0.02239	0.02241	0.02179	0.01244	0.00374	0.00353	0.00326	0.0
nematode_0.004_4x	0.00457	0.00408	0.00398	0.0	0.00559	0.00508	0.00485	0.0	0.0	0.0	0.0	0.0	0.00924	0.009	0.0086	0.00037	0.01111	0.01105	0.01057	0.00223	0.01314	0.01285	0.0124	0.0041	0.02247	0.0221	0.02167	0.01359	0.00362	0.00324	0.00286	0.0
nematode_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.0	0.0	0.00151	0.0025	0.0	0.00169	0.0034	0.00449	0.0	0.01154	0.01327	0.01423	0.00621	0.0	0.0	0.0	0.0
nematode_0.006_1x	0.00687	0.00653	0.00655	0.0	0.00764	0.00753	0.00753	0.0	0.0095	0.00943	0.0093	0.0	0.0	0.0	0.0	0.0	0.01299	0.0133	0.01292	0.00136	0.01505	0.0151	0.0148	0.0032	0.02371	0.02415	0.02369	0.01261	0.00579	0.00577	0.00556	0.0
nematode_0.006_2x	0.00674	0.00627	0.00625	0.0	0.00742	0.00735	0.0071	0.0	0.00954	0.00939	0.00897	0.0	0.0	0.0	0.0	0.0	0.01317	0.01323	0.01272	0.00306	0.0152	0.01504	0.01449	0.0049	0.02428	0.0242	0.02368	0.01435	0.00564	0.00542	0.00521	0.0
nematode_0.006_4x	0.00647	0.00595	0.00582	0.0	0.00741	0.00695	0.00678	0.0	0.00915	0.00897	0.00858	0.00042	0.0	0.0	0.0	0.0	0.01284	0.01285	0.01232	0.0041	0.01496	0.01475	0.01417	0.00601	0.02405	0.0238	0.02336	0.0154	0.00533	0.00499	0.00482	0.0
nematode_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037	0.0	0.0	0.0	0.0	0.0	0.00155	0.0034	0.00434	0.0	0.00366	0.00529	0.00629	0.0	0.01335	0.015	0.01601	0.00814	0.0	0.0	0.0	0.0
nematode_0.008_1x	0.00879	0.0085	0.00854	0.0	0.00967	0.00953	0.00944	0.0	0.01133	0.01167	0.01118	0.0	0.01299	0.0133	0.01294	0.00153	0.0	0.0	0.0	0.0	0.01675	0.01674	0.01652	0.005	0.02566	0.02596	0.02555	0.01457	0.00761	0.00783	0.00746	0.0
nematode_0.008_2x	0.00879	0.00836	0.0083	0.0	0.00958	0.00947	0.00912	0.0	0.01136	0.01128	0.01101	0.00148	0.01317	0.01323	0.01283	0.00334	0.0	0.0	0.0	0.0	0.01671	0.01692	0.01641	0.00682	0.02614	0.02579	0.02531	0.01618	0.00756	0.00764	0.00724	0.0
nematode_0.008_4x	0.00838	0.00794	0.00789	0.0	0.0093	0.009	0.00874	0.00076	0.01089	0.01092	0.01055	0.00246	0.01282	0.01274	0.01232	0.00428	0.0	0.0	0.0	0.0	0.01667	0.01654	0.01604	0.00793	0.02582	0.02544	0.02507	0.01721	0.00732	0.0071	0.00673	0.0
nematode_0.008_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00113	0.00226	0.0	0.00137	0.00311	0.00416	0.0	0.0	0.0	0.0	0.0	0.00541	0.0071	0.00809	0.0	0.01501	0.01654	0.01757	0.0098	0.0	0.0	0.0	0.0
nematode_0.01_1x	0.0108	0.01051	0.01061	0.0	0.01159	0.01146	0.01127	0.0	0.01298	0.01343	0.01321	0.00167	0.01504	0.01534	0.01508	0.00363	0.01674	0.01688	0.0168	0.00536	0.0	0.0	0.0	0.0	0.02746	0.02767	0.02717	0.01631	0.00956	0.00955	0.00952	0.0
nematode_0.01_2x	0.01048	0.01031	0.01015	0.00058	0.01128	0.01128	0.01104	0.00152	0.0131	0.0132	0.01281	0.00334	0.01495	0.01504	0.01473	0.0052	0.01657	0.01692	0.01651	0.00699	0.0	0.0	0.0	0.0	0.0276	0.02753	0.02712	0.01803	0.00933	0.00924	0.00908	0.0
nematode_0.01_4x	0.01006	0.0098	0.00969	0.00173	0.01096	0.01071	0.01045	0.00255	0.01286	0.01262	0.01238	0.00442	0.01468	0.01451	0.01417	0.0062	0.01639	0.01643	0.01604	0.00797	0.0	0.0	0.0	0.0	0.02759	0.02713	0.02682	0.01901	0.00891	0.00877	0.00854	0.0008
nematode_0.01_8x	0.0	0.0	0.0013	0.0	0.0	0.00096	0.00218	0.0	0.00127	0.00299	0.00414	0.0	0.00322	0.00498	0.00608	0.0	0.00504	0.00692	0.00803	0.0	0.0	0.0	0.0	0.0	0.0168	0.01834	0.01943	0.01162	0.0	0.0	0.0	0.0
nematode_0.02_1x	0.01986	0.01996	0.01999	0.00893	0.02064	0.02082	0.02087	0.00976	0.02244	0.02258	0.02261	0.01143	0.0237	0.02451	0.02424	0.01325	0.02565	0.02639	0.02602	0.0149	0.02746	0.02786	0.0278	0.01671	0.0	0.0	0.0	0.0	0.01882	0.01916	0.01898	0.00807
nematode_0.02_2x	0.01962	0.01948	0.01947	0.01049	0.02043	0.02046	0.02034	0.01132	0.02232	0.02239	0.02203	0.01304	0.02391	0.0242	0.02377	0.01476	0.0257	0.02579	0.02541	0.01629	0.0274	0.02753	0.02709	0.01809	0.0	0.0	0.0	0.0	0.01844	0.01876	0.01851	0.00964
nematode_0.02_4x	0.01913	0.01898	0.019	0.01148	0.02004	0.01989	0.01984	0.0123	0.02172	0.0218	0.02163	0.01402	0.0235	0.02371	0.02336	0.01579	0.02535	0.02535	0.02507	0.01734	0.02696	0.02717	0.02683	0.0192	0.0	0.0	0.0	0.0	0.01795	0.01827	0.01803	0.01064
nematode_0.02_8x	0.00794	0.00952	0.01097	0.00351	0.0088	0.01054	0.01189	0.00444	0.01078	0.01261	0.01373	0.00619	0.01267	0.01455	0.01559	0.00812	0.01464	0.0164	0.01742	0.00979	0.01639	0.01827	0.01924	0.01162	0.0	0.0	0.0	0.0	0.00682	0.00869	0.00999	0.00263
nematode_0.0_1x	0.0012	0.00079	0.00077	0.0	0.00209	0.00204	0.00172	0.0	0.00421	0.00378	0.00364	0.0	0.0058	0.0057	0.00537	0.0	0.00761	0.00763	0.00738	0.0	0.00956	0.00943	0.00899	0.0	0.01884	0.01864	0.0181	0.00678	0.0	0.0	0.0	0.0
nematode_0.0_2x	0.00107	0.00055	0.00037	0.0	0.00201	0.00157	0.00132	0.0	0.00375	0.00353	0.00323	0.0	0.00573	0.00544	0.005	0.0	0.00778	0.00766	0.00711	0.0	0.00949	0.00927	0.00878	0.0	0.01903	0.0188	0.01829	0.00859	0.0	0.0	0.0	0.0
nematode_0.0_4x	0.00077	0.0	0.0	0.0	0.00165	0.00124	0.00093	0.0	0.00358	0.00328	0.00287	0.0	0.00555	0.00525	0.00484	0.0	0.00745	0.00729	0.00676	0.0	0.00949	0.00913	0.00857	0.0	0.01892	0.01862	0.01811	0.00992	0.0	0.0	0.0	0.0
nematode_0.0_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00081	0.0	0.00817	0.00984	0.01083	0.00265	0.0	0.0	0.0	0.0
