sample	moss_0.001_1x	moss_0.001_2x	moss_0.001_4x	moss_0.001_8x	moss_0.002_1x	moss_0.002_2x	moss_0.002_4x	moss_0.002_8x	moss_0.004_1x	moss_0.004_2x	moss_0.004_4x	moss_0.004_8x	moss_0.006_1x	moss_0.006_2x	moss_0.006_4x	moss_0.006_8x	moss_0.008_1x	moss_0.008_2x	moss_0.008_4x	moss_0.008_8x	moss_0.01_1x	moss_0.01_2x	moss_0.01_4x	moss_0.01_8x	moss_0.02_1x	moss_0.02_2x	moss_0.02_4x	moss_0.02_8x	moss_0.0_1x	moss_0.0_2x	moss_0.0_4x	moss_0.0_8x
moss_0.001_1x	0.0	0.0	0.00405	0.00816	0.00239	0.00126	0.00672	0.01053	0.00411	0.00323	0.00855	0.01206	0.00662	0.00519	0.0102	0.0134	0.00816	0.00678	0.01215	0.01476	0.01011	0.00877	0.0139	0.01635	0.01927	0.01806	0.02224	0.02415	0.0	0.0	0.00473	0.00929
moss_0.001_2x	0.0	0.0	0.00147	0.00572	0.00129	0.0	0.00412	0.00814	0.0034	0.00208	0.00577	0.00952	0.00549	0.00396	0.00733	0.01087	0.00742	0.00591	0.0091	0.01204	0.00923	0.00796	0.01085	0.01364	0.01838	0.01744	0.019	0.02117	0.0	0.0	0.00233	0.00689
moss_0.001_4x	0.00421	0.00154	0.0	0.00375	0.00708	0.0042	0.00446	0.00723	0.00891	0.00617	0.00565	0.00833	0.0111	0.00807	0.00687	0.00942	0.01284	0.00994	0.00822	0.01051	0.01477	0.01185	0.00973	0.01177	0.02391	0.02101	0.01714	0.01858	0.00501	0.00248	0.00326	0.00637
moss_0.001_8x	0.00909	0.00643	0.00402	0.0	0.01201	0.00903	0.00769	0.01059	0.01369	0.01091	0.00857	0.0114	0.01592	0.01281	0.0096	0.01214	0.01766	0.01484	0.01086	0.01314	0.01963	0.01672	0.01225	0.01437	0.02847	0.02552	0.01882	0.02078	0.01019	0.00747	0.00678	0.00999
moss_0.002_1x	0.00238	0.00129	0.00684	0.01083	0.0	0.0	0.00451	0.00824	0.00502	0.00411	0.00953	0.01309	0.00735	0.00592	0.01117	0.01447	0.00911	0.00766	0.01296	0.0157	0.01082	0.00938	0.01484	0.01737	0.01968	0.01889	0.02286	0.02494	0.00122	0.0	0.00576	0.01019
moss_0.002_2x	0.00125	0.0	0.00401	0.00805	0.0	0.0	0.00163	0.00549	0.00404	0.00294	0.00652	0.01006	0.00642	0.00487	0.00798	0.01139	0.0083	0.0067	0.00973	0.01262	0.00993	0.0087	0.01147	0.01425	0.01915	0.01802	0.01926	0.02144	0.0	0.0	0.00317	0.00751
moss_0.002_4x	0.00692	0.0043	0.00445	0.00718	0.00467	0.0017	0.0	0.00202	0.00981	0.00699	0.00619	0.00856	0.01191	0.00889	0.00732	0.00972	0.01379	0.01071	0.00861	0.01065	0.01562	0.01261	0.01007	0.01202	0.02437	0.02155	0.01737	0.01849	0.006	0.00339	0.00383	0.00676
moss_0.002_8x	0.01162	0.00908	0.00771	0.01057	0.00917	0.00618	0.00217	0.0	0.01429	0.01161	0.00899	0.0115	0.01658	0.01357	0.01006	0.01246	0.01835	0.01543	0.01116	0.01328	0.02038	0.01716	0.0125	0.01457	0.02914	0.02616	0.01908	0.02087	0.01095	0.00815	0.00732	0.01028
moss_0.004_1x	0.00408	0.00341	0.00861	0.01237	0.00501	0.00407	0.00952	0.01295	0.0	0.0	0.00474	0.00824	0.00905	0.00791	0.01285	0.0158	0.01096	0.00969	0.01465	0.01695	0.01248	0.01141	0.01641	0.01861	0.02127	0.02031	0.02443	0.02611	0.00318	0.00214	0.00755	0.01169
moss_0.004_2x	0.00318	0.00206	0.00588	0.00972	0.00405	0.00293	0.00669	0.01039	0.0	0.0	0.00167	0.0054	0.00819	0.00681	0.0097	0.01289	0.01008	0.00871	0.01138	0.01414	0.01171	0.01062	0.01309	0.01571	0.02063	0.01958	0.02083	0.02288	0.0019	0.00107	0.00498	0.0091
moss_0.004_4x	0.00874	0.00597	0.00562	0.00797	0.00975	0.00676	0.00617	0.00838	0.0049	0.00175	0.0	0.0	0.01359	0.01041	0.0083	0.01028	0.01544	0.01237	0.00967	0.01135	0.01719	0.01406	0.01107	0.01255	0.02599	0.02282	0.01804	0.01912	0.00781	0.00507	0.00505	0.00754
moss_0.004_8x	0.01322	0.01056	0.00885	0.01135	0.01435	0.01118	0.00912	0.01147	0.00917	0.00608	0.0	0.0	0.01802	0.01479	0.01097	0.0129	0.01988	0.01663	0.01208	0.01383	0.02191	0.01846	0.01338	0.01529	0.03019	0.02738	0.01989	0.02157	0.01261	0.00962	0.00836	0.01104
moss_0.006_1x	0.00656	0.0055	0.01074	0.01441	0.00731	0.00645	0.01158	0.01506	0.00903	0.00829	0.01329	0.01647	0.0	0.0	0.0051	0.00816	0.01273	0.01185	0.01669	0.01905	0.01464	0.01379	0.01853	0.02074	0.02285	0.02207	0.02611	0.0279	0.00544	0.00441	0.00965	0.01376
moss_0.006_2x	0.00509	0.00392	0.00769	0.01142	0.00581	0.00483	0.00851	0.01214	0.00778	0.00679	0.01001	0.0133	0.0	0.0	0.00158	0.00491	0.01165	0.01037	0.01318	0.01594	0.0134	0.01208	0.01478	0.01738	0.02177	0.02112	0.02236	0.02451	0.00374	0.00311	0.00682	0.01086
moss_0.006_4x	0.01036	0.00755	0.0068	0.0089	0.01136	0.00823	0.00726	0.00936	0.01307	0.01002	0.00827	0.01023	0.00527	0.00166	0.0	0.0	0.01668	0.01365	0.01063	0.01203	0.01867	0.01538	0.01216	0.01336	0.02724	0.02408	0.0189	0.01986	0.0094	0.00663	0.0062	0.00862
moss_0.006_8x	0.0146	0.012	0.00998	0.01207	0.01576	0.01259	0.01032	0.0124	0.01721	0.01427	0.01096	0.01287	0.00908	0.00554	0.0	0.0	0.02116	0.01804	0.01284	0.01469	0.02304	0.01979	0.01417	0.01587	0.03161	0.02854	0.0206	0.02227	0.01399	0.01104	0.00949	0.01178
moss_0.008_1x	0.00808	0.00744	0.01245	0.01603	0.00905	0.00835	0.01343	0.01672	0.01092	0.0102	0.01512	0.01822	0.01272	0.01183	0.01641	0.01949	0.0	0.0	0.00536	0.0081	0.01588	0.01516	0.02004	0.02231	0.02426	0.02379	0.0278	0.02959	0.00732	0.00645	0.01145	0.01544
moss_0.008_2x	0.00663	0.00585	0.00948	0.01325	0.0075	0.00664	0.01025	0.01382	0.00951	0.00867	0.0119	0.01497	0.01164	0.01035	0.01319	0.01631	0.0	0.0	0.00171	0.00461	0.01496	0.01386	0.01646	0.01896	0.02346	0.0225	0.02405	0.02591	0.00567	0.00498	0.00857	0.01269
moss_0.008_4x	0.01229	0.00934	0.00812	0.01007	0.01312	0.01001	0.00854	0.01037	0.01484	0.01173	0.00962	0.01126	0.01692	0.0136	0.01061	0.01201	0.00553	0.00179	0.0	0.0	0.02033	0.01696	0.01328	0.01429	0.02879	0.02555	0.01982	0.02071	0.01136	0.00842	0.00756	0.00965
moss_0.008_8x	0.01599	0.01323	0.0111	0.01303	0.01702	0.01388	0.01127	0.01319	0.01837	0.01558	0.01205	0.01377	0.02063	0.01757	0.01281	0.01466	0.00899	0.0052	0.0	0.0	0.02444	0.02118	0.01502	0.01664	0.03262	0.02958	0.02143	0.02274	0.01544	0.0124	0.01071	0.01265
moss_0.01_1x	0.01003	0.00927	0.01436	0.01788	0.01075	0.01001	0.01525	0.01863	0.01243	0.01187	0.01688	0.02014	0.01463	0.01363	0.01842	0.02128	0.01588	0.01524	0.02012	0.02267	0.0	0.0	0.00544	0.00795	0.02529	0.02545	0.02941	0.03102	0.00899	0.00819	0.01345	0.0172
moss_0.01_2x	0.00856	0.00787	0.0113	0.01496	0.00917	0.00862	0.01207	0.01539	0.01117	0.01057	0.01353	0.01664	0.01352	0.01205	0.01486	0.01792	0.01487	0.01384	0.01643	0.01926	0.0	0.0	0.00143	0.00418	0.02468	0.02401	0.02547	0.02725	0.00754	0.00692	0.01053	0.01431
moss_0.01_4x	0.014	0.01111	0.0096	0.01135	0.01496	0.01176	0.00997	0.0116	0.01656	0.01345	0.01099	0.01246	0.01871	0.01521	0.01212	0.01323	0.02022	0.01695	0.01325	0.01407	0.0056	0.0015	0.0	0.0	0.03016	0.02713	0.02097	0.02158	0.01319	0.01022	0.00914	0.011
moss_0.01_8x	0.01763	0.01492	0.0124	0.01423	0.01874	0.0156	0.01269	0.01445	0.02008	0.01723	0.0133	0.0152	0.02237	0.01908	0.01419	0.01581	0.02402	0.0208	0.0152	0.01661	0.00881	0.00471	0.0	0.0	0.0342	0.03113	0.0226	0.0236	0.01711	0.01409	0.01202	0.01387
moss_0.02_1x	0.01932	0.01875	0.02367	0.02653	0.01976	0.01958	0.0242	0.02723	0.02141	0.02117	0.02593	0.02833	0.02306	0.0224	0.02727	0.02978	0.0245	0.02418	0.0289	0.03083	0.02554	0.02547	0.03033	0.03242	0.0	0.0	0.00464	0.00671	0.01839	0.01791	0.0226	0.02592
moss_0.02_2x	0.01766	0.01736	0.02029	0.02322	0.0185	0.01797	0.02088	0.02386	0.01994	0.0196	0.02219	0.02508	0.0217	0.02119	0.0235	0.02623	0.0234	0.0226	0.02499	0.02727	0.02502	0.02414	0.02659	0.02878	0.0	0.0	0.0	0.00265	0.01647	0.01629	0.01942	0.02291
moss_0.02_4x	0.02226	0.01938	0.01694	0.01753	0.02292	0.01967	0.01721	0.0178	0.02453	0.02134	0.01794	0.01862	0.02624	0.02294	0.01885	0.01934	0.02793	0.02469	0.01981	0.02016	0.02953	0.02614	0.02099	0.02131	0.00473	0.0	0.0	0.0	0.02158	0.01845	0.01651	0.01739
moss_0.02_8x	0.02568	0.02289	0.01946	0.02055	0.02654	0.02322	0.01941	0.02067	0.02782	0.02484	0.02014	0.02141	0.02973	0.02664	0.02098	0.02215	0.0315	0.02816	0.0219	0.02267	0.03298	0.02961	0.02285	0.02355	0.00736	0.00297	0.0	0.0	0.025	0.02203	0.01915	0.0205
moss_0.0_1x	0.0	0.0	0.00485	0.00921	0.00123	0.0	0.00584	0.00994	0.00321	0.00194	0.00766	0.01154	0.00551	0.00383	0.00928	0.01287	0.00742	0.00582	0.01126	0.01429	0.00911	0.00776	0.01312	0.01592	0.01841	0.01689	0.02161	0.02357	0.0	0.0	0.00379	0.00847
moss_0.0_2x	0.0	0.0	0.00238	0.00669	0.0	0.0	0.00326	0.00732	0.00214	0.00108	0.00491	0.00869	0.00442	0.00315	0.00645	0.01003	0.00646	0.00505	0.00823	0.01132	0.00819	0.00703	0.01001	0.01291	0.01762	0.01642	0.01814	0.02042	0.0	0.0	0.00141	0.00597
moss_0.0_4x	0.00492	0.00244	0.00327	0.00636	0.00599	0.00333	0.00385	0.00688	0.00785	0.00524	0.00509	0.00788	0.01001	0.00718	0.00628	0.00898	0.01186	0.00902	0.00767	0.01017	0.01389	0.01107	0.00928	0.01144	0.02289	0.02016	0.01674	0.01832	0.00393	0.00148	0.0	0.006
moss_0.0_8x	0.01034	0.00775	0.00682	0.01	0.01133	0.00844	0.00725	0.01032	0.01299	0.01024	0.00812	0.01111	0.01526	0.01222	0.00931	0.01187	0.01707	0.01425	0.01043	0.01278	0.01894	0.01604	0.0119	0.01403	0.02788	0.02523	0.0187	0.02076	0.00941	0.00669	0.00641	0.0
