sample	club-moss_0.001_1x	club-moss_0.001_2x	club-moss_0.001_4x	club-moss_0.001_8x	club-moss_0.002_1x	club-moss_0.002_2x	club-moss_0.002_4x	club-moss_0.002_8x	club-moss_0.004_1x	club-moss_0.004_2x	club-moss_0.004_4x	club-moss_0.004_8x	club-moss_0.006_1x	club-moss_0.006_2x	club-moss_0.006_4x	club-moss_0.006_8x	club-moss_0.008_1x	club-moss_0.008_2x	club-moss_0.008_4x	club-moss_0.008_8x	club-moss_0.01_1x	club-moss_0.01_2x	club-moss_0.01_4x	club-moss_0.01_8x	club-moss_0.02_1x	club-moss_0.02_2x	club-moss_0.02_4x	club-moss_0.02_8x	club-moss_0.0_1x	club-moss_0.0_2x	club-moss_0.0_4x	club-moss_0.0_8x
club-moss_0.001_1x	0.0	0.0	0.00596	0.01	0.00247	0.00222	0.00838	0.01214	0.00421	0.00368	0.01006	0.01333	0.0058	0.00523	0.01162	0.01458	0.00739	0.00698	0.01285	0.01576	0.00905	0.0087	0.01427	0.01701	0.01751	0.01727	0.0214	0.02345	0.00087	0.00065	0.00653	0.01083
club-moss_0.001_2x	0.0	0.0	0.00401	0.00799	0.0023	0.00183	0.00642	0.01013	0.00395	0.00344	0.00792	0.01124	0.00555	0.00506	0.00929	0.01248	0.00724	0.00664	0.01054	0.01364	0.00883	0.0083	0.01198	0.01472	0.01722	0.01681	0.019	0.02129	0.0	0.0	0.00475	0.00895
club-moss_0.001_4x	0.00589	0.0041	0.0	0.00665	0.00835	0.00654	0.00747	0.01064	0.00968	0.00794	0.00867	0.01146	0.01136	0.00969	0.00992	0.01233	0.0132	0.01115	0.01106	0.01328	0.01439	0.01275	0.01228	0.01426	0.02269	0.02093	0.01891	0.02065	0.00645	0.00491	0.00644	0.00977
club-moss_0.001_8x	0.01039	0.00856	0.00696	0.0	0.01284	0.01105	0.01091	0.01437	0.01415	0.01248	0.01171	0.01499	0.0158	0.01416	0.01285	0.01549	0.01759	0.01559	0.01372	0.01636	0.0189	0.01728	0.01505	0.01716	0.02726	0.02565	0.02126	0.02342	0.0112	0.0095	0.01027	0.01391
club-moss_0.002_1x	0.00248	0.00238	0.00847	0.01241	0.0	0.0	0.00645	0.01024	0.00498	0.00456	0.01104	0.01437	0.00643	0.00621	0.0125	0.01556	0.00829	0.00778	0.01372	0.0168	0.00998	0.00946	0.01516	0.01789	0.01803	0.01798	0.02229	0.02449	0.00148	0.00159	0.00748	0.01169
club-moss_0.002_2x	0.00215	0.00184	0.00642	0.01035	0.0	0.0	0.00422	0.00801	0.00452	0.00418	0.00871	0.01204	0.00622	0.00596	0.01017	0.01334	0.00794	0.00743	0.0114	0.01445	0.00955	0.00915	0.01278	0.01551	0.01804	0.01763	0.01978	0.02208	0.00117	0.00099	0.00561	0.00983
club-moss_0.002_4x	0.00824	0.00652	0.00744	0.0104	0.00633	0.00429	0.0	0.00489	0.0105	0.00869	0.00919	0.01168	0.01223	0.01037	0.01029	0.01255	0.01387	0.01177	0.01141	0.01341	0.01516	0.01336	0.0127	0.01444	0.02334	0.02161	0.01915	0.0208	0.00724	0.00572	0.00691	0.00999
club-moss_0.002_8x	0.01255	0.01081	0.01109	0.01434	0.0106	0.00855	0.00513	0.0	0.01475	0.01311	0.01217	0.0152	0.01645	0.01475	0.01323	0.01595	0.01813	0.01609	0.0142	0.01664	0.01944	0.01779	0.0154	0.01752	0.02792	0.02625	0.02165	0.02369	0.01183	0.01018	0.01074	0.01415
club-moss_0.004_1x	0.00423	0.0041	0.00985	0.01372	0.00499	0.00468	0.01072	0.01434	0.0	0.0	0.00658	0.00981	0.00801	0.00787	0.01385	0.01677	0.00983	0.00945	0.01506	0.01803	0.01129	0.01085	0.01641	0.019	0.01929	0.01939	0.02348	0.02559	0.00317	0.00313	0.00894	0.0131
club-moss_0.004_2x	0.00357	0.00346	0.00782	0.01174	0.00442	0.00419	0.0086	0.01236	0.0	0.0	0.00391	0.00731	0.00774	0.00732	0.01141	0.01474	0.00937	0.00889	0.01273	0.0157	0.01097	0.01064	0.01399	0.01677	0.01925	0.01882	0.02111	0.02337	0.00249	0.00259	0.00704	0.01113
club-moss_0.004_4x	0.00982	0.00799	0.00859	0.0111	0.01076	0.00877	0.00914	0.01156	0.00641	0.00393	0.0	0.00156	0.01368	0.0117	0.01131	0.01319	0.01539	0.01314	0.0123	0.01413	0.01654	0.01472	0.01346	0.01499	0.02452	0.02265	0.01971	0.02109	0.00891	0.00728	0.00813	0.01075
club-moss_0.004_8x	0.01371	0.01193	0.0119	0.01491	0.01475	0.01275	0.01217	0.01515	0.01009	0.00775	0.00164	0.0	0.01766	0.01577	0.01385	0.01645	0.01923	0.01717	0.01484	0.01717	0.02043	0.01887	0.01593	0.01795	0.02886	0.02705	0.02222	0.02392	0.01301	0.01138	0.01153	0.01476
club-moss_0.006_1x	0.00584	0.00578	0.01159	0.01536	0.00646	0.00646	0.01253	0.01604	0.00803	0.00801	0.01409	0.0173	0.0	0.0	0.0068	0.00975	0.01118	0.01108	0.01684	0.01976	0.01298	0.01258	0.0181	0.02075	0.02051	0.02079	0.02501	0.02724	0.00491	0.00505	0.01075	0.01479
