sample	club-moss_0.001_1x	club-moss_0.001_2x	club-moss_0.001_4x	club-moss_0.001_8x	club-moss_0.002_1x	club-moss_0.002_2x	club-moss_0.002_4x	club-moss_0.002_8x	club-moss_0.004_1x	club-moss_0.004_2x	club-moss_0.004_4x	club-moss_0.004_8x	club-moss_0.006_1x	club-moss_0.006_2x	club-moss_0.006_4x	club-moss_0.006_8x	club-moss_0.008_1x	club-moss_0.008_2x	club-moss_0.008_4x	club-moss_0.008_8x	club-moss_0.01_1x	club-moss_0.01_2x	club-moss_0.01_4x	club-moss_0.01_8x	club-moss_0.02_1x	club-moss_0.02_2x	club-moss_0.02_4x	club-moss_0.02_8x	club-moss_0.0_1x	club-moss_0.0_2x	club-moss_0.0_4x	club-moss_0.0_8x
club-moss_0.001_1x	0.0	0.0	0.0049	0.00878	0.00204	0.00144	0.0073	0.0109	0.00377	0.00288	0.00891	0.01208	0.00535	0.00442	0.01046	0.01332	0.00693	0.00616	0.01169	0.01449	0.00859	0.00786	0.0131	0.01572	0.01703	0.01641	0.02021	0.02215	0.00045	0.0	0.00546	0.00959
club-moss_0.001_2x	0.0	0.0	0.00266	0.00654	0.00156	0.00073	0.00504	0.00867	0.00322	0.00234	0.0065	0.00978	0.00482	0.00395	0.00787	0.011	0.00651	0.00553	0.00912	0.01216	0.00811	0.00719	0.01056	0.01322	0.01652	0.01571	0.0176	0.0198	0.0	0.0	0.00341	0.0075
club-moss_0.001_4x	0.00495	0.00274	0.0	0.00499	0.00743	0.00518	0.00576	0.00896	0.00876	0.00659	0.00701	0.00978	0.01045	0.00834	0.00826	0.01065	0.0123	0.00981	0.00941	0.01159	0.01349	0.01142	0.01064	0.01255	0.02184	0.01964	0.01728	0.01895	0.00552	0.00356	0.00483	0.00809
club-moss_0.001_8x	0.00944	0.00716	0.00528	0.0	0.01194	0.00969	0.00911	0.01325	0.01328	0.01116	0.01014	0.01385	0.01496	0.01287	0.01131	0.01433	0.01679	0.01434	0.01222	0.01518	0.01813	0.01606	0.01357	0.01591	0.02666	0.02461	0.01992	0.02227	0.01026	0.0081	0.00875	0.01281
club-moss_0.002_1x	0.00205	0.0016	0.00739	0.01117	0.0	0.0	0.00538	0.00902	0.00454	0.00375	0.00988	0.01311	0.00598	0.0054	0.01133	0.01429	0.00783	0.00695	0.01255	0.01553	0.00952	0.00862	0.01398	0.0166	0.01756	0.01712	0.02111	0.02319	0.00106	0.00082	0.0064	0.01045
club-moss_0.002_2x	0.00141	0.00073	0.00505	0.0089	0.0	0.0	0.00285	0.00656	0.00379	0.00307	0.00729	0.01058	0.00549	0.00485	0.00876	0.01187	0.00722	0.00632	0.00998	0.01298	0.00883	0.00804	0.01137	0.01402	0.01735	0.01654	0.01838	0.0206	0.00044	0.0	0.00426	0.00838
club-moss_0.002_4x	0.00728	0.00513	0.00571	0.00853	0.00537	0.0029	0.0	0.00306	0.00953	0.00729	0.00745	0.00982	0.01127	0.00896	0.00855	0.01069	0.01291	0.01037	0.00966	0.01155	0.0142	0.01195	0.01094	0.01255	0.02239	0.02021	0.01739	0.01889	0.00628	0.00433	0.0052	0.00812
club-moss_0.002_8x	0.01165	0.00944	0.00946	0.01323	0.00965	0.00716	0.00328	0.0	0.01389	0.01179	0.01061	0.01406	0.01563	0.01347	0.0117	0.01478	0.01734	0.01484	0.0127	0.01546	0.01868	0.01658	0.01393	0.01627	0.02733	0.02521	0.02031	0.02254	0.01091	0.0088	0.00922	0.01304
club-moss_0.004_1x	0.00379	0.0033	0.00875	0.01247	0.00455	0.00387	0.00961	0.01309	0.0	0.0	0.00546	0.0086	0.00756	0.00703	0.01268	0.0155	0.00937	0.00861	0.01388	0.01675	0.01083	0.01	0.01522	0.01772	0.01883	0.01853	0.0223	0.0243	0.00274	0.00233	0.00784	0.01186
club-moss_0.004_2x	0.00284	0.00235	0.00645	0.0103	0.00369	0.00308	0.00721	0.01092	0.0	0.0	0.00252	0.00589	0.00702	0.00621	0.00999	0.01328	0.00866	0.00778	0.01132	0.01425	0.01026	0.00953	0.01258	0.01529	0.01858	0.01774	0.01973	0.02191	0.00176	0.00149	0.00568	0.00969
