sample	rotifer_0.001_1x	rotifer_0.001_2x	rotifer_0.001_4x	rotifer_0.001_8x	rotifer_0.002_1x	rotifer_0.002_2x	rotifer_0.002_4x	rotifer_0.002_8x	rotifer_0.004_1x	rotifer_0.004_2x	rotifer_0.004_4x	rotifer_0.004_8x	rotifer_0.006_1x	rotifer_0.006_2x	rotifer_0.006_4x	rotifer_0.006_8x	rotifer_0.008_1x	rotifer_0.008_2x	rotifer_0.008_4x	rotifer_0.008_8x	rotifer_0.01_1x	rotifer_0.01_2x	rotifer_0.01_4x	rotifer_0.01_8x	rotifer_0.02_1x	rotifer_0.02_2x	rotifer_0.02_4x	rotifer_0.02_8x	rotifer_0.0_1x	rotifer_0.0_2x	rotifer_0.0_4x	rotifer_0.0_8x
rotifer_0.001_1x	0.0	0.0	0.0	0.0	0.00286	0.00301	0.00297	0.0	0.00459	0.00505	0.00503	0.0	0.00702	0.00693	0.00684	0.0	0.0093	0.00909	0.00906	0.0	0.01095	0.01097	0.01073	0.0	0.02072	0.02058	0.02041	0.00951	0.00116	0.00108	0.00095	0.0
rotifer_0.001_2x	0.0	0.0	0.0	0.0	0.00285	0.00293	0.0029	0.0	0.00476	0.00504	0.00477	0.0	0.00695	0.00679	0.00672	0.0	0.00889	0.00895	0.00883	0.0	0.01094	0.01095	0.0106	0.00139	0.02093	0.02052	0.0204	0.01138	0.00098	0.00089	0.00084	0.0
rotifer_0.001_4x	0.0	0.0	0.0	0.0	0.00302	0.0029	0.00273	0.0	0.00486	0.00502	0.00468	0.0	0.00698	0.0069	0.00661	0.0	0.00897	0.00886	0.00881	0.00072	0.01096	0.01089	0.01054	0.00269	0.02096	0.02053	0.02038	0.01269	0.00103	0.00084	0.00076	0.0
rotifer_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.00162	0.00272	0.0	0.01029	0.01164	0.01289	0.00506	0.0	0.0	0.0	0.0
rotifer_0.002_1x	0.00286	0.00289	0.00307	0.0	0.0	0.0	0.0	0.0	0.00587	0.00597	0.00592	0.0	0.00789	0.00806	0.00786	0.0	0.01012	0.00992	0.01006	0.0	0.01177	0.01193	0.0117	0.00055	0.02193	0.02157	0.02151	0.0107	0.00198	0.00204	0.002	0.0
rotifer_0.002_2x	0.00297	0.00293	0.00291	0.0	0.0	0.0	0.0	0.0	0.00583	0.00599	0.00579	0.0	0.00795	0.00784	0.00777	0.0	0.01002	0.00997	0.0099	0.00048	0.0119	0.01184	0.01164	0.0024	0.02182	0.02155	0.02137	0.0124	0.00192	0.00199	0.00191	0.0
rotifer_0.002_4x	0.00292	0.00288	0.00273	0.0	0.0	0.0	0.0	0.0	0.00581	0.00599	0.0057	0.0	0.00786	0.00789	0.00758	0.0	0.00984	0.00987	0.00972	0.00174	0.01191	0.01183	0.01153	0.00368	0.02181	0.02144	0.02145	0.01365	0.00198	0.00188	0.00175	0.0
rotifer_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00051	0.00186	0.0	0.00084	0.00255	0.00362	0.0	0.01119	0.01257	0.0138	0.006	0.0	0.0	0.0	0.0
rotifer_0.004_1x	0.00459	0.00482	0.00494	0.0	0.00587	0.00592	0.00592	0.0	0.0	0.0	0.0	0.0	0.00984	0.00978	0.00971	0.0	0.01181	0.01162	0.01191	0.00057	0.0138	0.0137	0.01361	0.00255	0.02382	0.02342	0.0235	0.01257	0.00413	0.00407	0.00396	0.0
rotifer_0.004_2x	0.00498	0.00504	0.00504	0.0	0.00588	0.00599	0.00601	0.0	0.0	0.0	0.0	0.0	0.00998	0.0099	0.00967	0.00044	0.01194	0.01187	0.01194	0.00256	0.01396	0.01397	0.01367	0.00455	0.02405	0.02356	0.02337	0.01459	0.00427	0.00409	0.0041	0.0
rotifer_0.004_4x	0.00494	0.00475	0.00468	0.0	0.00581	0.00577	0.0057	0.0	0.0	0.0	0.0	0.0	0.00974	0.00984	0.00954	0.00162	0.01177	0.01166	0.01161	0.00366	0.01382	0.01376	0.01341	0.00567	0.02368	0.0233	0.02312	0.01553	0.00399	0.0038	0.00374	0.0
rotifer_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00052	0.00168	0.0	0.00092	0.00256	0.00391	0.0	0.00304	0.00467	0.0057	0.0	0.01321	0.0146	0.01579	0.00808	0.0	0.0	0.0	0.0
rotifer_0.006_1x	0.00702	0.00704	0.0071	0.0	0.00789	0.00806	0.008	0.0	0.00984	0.01012	0.00991	0.0	0.0	0.0	0.0	0.0	0.01378	0.01392	0.01403	0.00283	0.01565	0.01595	0.0156	0.00468	0.02553	0.02536	0.0252	0.01451	0.006	0.00611	0.00617	0.0
rotifer_0.006_2x	0.00683	0.00679	0.00692	0.0	0.00794	0.00784	0.00792	0.0	0.00965	0.0099	0.00988	0.00052	0.0	0.0	0.0	0.0	0.01388	0.01388	0.01393	0.00456	0.01569	0.01584	0.01555	0.00647	0.0256	0.02551	0.02517	0.01638	0.00587	0.00588	0.0059	0.0
rotifer_0.006_4x	0.00672	0.00669	0.0066	0.0	0.00772	0.00773	0.00758	0.0	0.00954	0.00963	0.00954	0.00167	0.0	0.0	0.0	0.0	0.01364	0.01361	0.01358	0.00565	0.01553	0.01557	0.01529	0.00762	0.02545	0.02521	0.02493	0.01745	0.00581	0.0058	0.00559	0.0
rotifer_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.00163	0.0	0.0	0.0	0.0	0.0	0.00279	0.00448	0.00579	0.0	0.00482	0.00656	0.00757	0.0	0.01495	0.01638	0.0175	0.00989	0.0	0.0	0.0	0.0
rotifer_0.008_1x	0.0093	0.00901	0.00913	0.0	0.01011	0.01016	0.01002	0.0	0.01182	0.01211	0.01198	0.00093	0.01378	0.01407	0.01389	0.00282	0.0	0.0	0.0	0.0	0.01773	0.01773	0.01765	0.00675	0.02762	0.02744	0.02717	0.01664	0.00812	0.00817	0.00813	0.0
rotifer_0.008_2x	0.00897	0.00895	0.00889	0.0	0.00978	0.00997	0.00991	0.0005	0.01146	0.01187	0.01171	0.00256	0.01372	0.01388	0.01367	0.00447	0.0	0.0	0.0	0.0	0.01757	0.01775	0.01746	0.00845	0.02734	0.02719	0.02692	0.01818	0.00803	0.00795	0.00789	0.0
rotifer_0.008_4x	0.0089	0.00879	0.00881	0.0009	0.00988	0.00986	0.00972	0.00185	0.0117	0.01189	0.01161	0.00389	0.01378	0.01387	0.01358	0.00575	0.0	0.0	0.0	0.0	0.01752	0.01759	0.01743	0.00977	0.02738	0.02717	0.02684	0.01945	0.00793	0.00788	0.00776	0.0
rotifer_0.008_8x	0.0	0.0	0.00072	0.0	0.0	0.00048	0.00175	0.0	0.00056	0.00256	0.00368	0.0	0.0028	0.00457	0.00568	0.0	0.0	0.0	0.0	0.0	0.00666	0.00853	0.00961	0.00189	0.01695	0.01829	0.01943	0.01191	0.0	0.0	0.0	0.0
rotifer_0.01_1x	0.01095	0.01109	0.01115	0.0	0.01177	0.01207	0.01213	0.00085	0.0138	0.01415	0.01407	0.00307	0.01566	0.01591	0.01581	0.00488	0.01773	0.01782	0.01783	0.00674	0.0	0.0	0.0	0.0	0.02913	0.02911	0.02924	0.01856	0.00997	0.01016	0.01022	0.0
rotifer_0.01_2x	0.01081	0.01094	0.01093	0.00162	0.01176	0.01184	0.01188	0.00254	0.01351	0.01397	0.01382	0.00466	0.01573	0.01584	0.01564	0.00655	0.01749	0.01775	0.01767	0.00852	0.0	0.0	0.0	0.0	0.02917	0.02904	0.02892	0.02022	0.00984	0.00995	0.00999	0.00066
rotifer_0.01_4x	0.01054	0.01056	0.01053	0.00271	0.0115	0.01159	0.01153	0.0036	0.01337	0.01361	0.01341	0.00567	0.01532	0.01549	0.01529	0.00753	0.01734	0.01739	0.01743	0.00956	0.0	0.0	0.0	0.0	0.02896	0.0289	0.02861	0.02129	0.00957	0.00964	0.0096	0.00174
rotifer_0.01_8x	0.0	0.00139	0.00271	0.0	0.00055	0.0024	0.0037	0.0	0.00252	0.00455	0.0057	0.0	0.00463	0.00648	0.00766	0.0	0.00667	0.00846	0.00982	0.00189	0.0	0.0	0.0	0.0	0.0188	0.02031	0.02142	0.01389	0.0	0.00041	0.00174	0.0
rotifer_0.02_1x	0.02072	0.02121	0.02132	0.0104	0.02192	0.02212	0.02219	0.01131	0.02382	0.02438	0.0241	0.01337	0.02553	0.02595	0.02589	0.01513	0.02762	0.02772	0.02785	0.01715	0.02912	0.02957	0.02945	0.01902	0.0	0.0	0.0	0.0	0.02022	0.02028	0.02043	0.00942
rotifer_0.02_2x	0.0203	0.02052	0.02061	0.01162	0.02128	0.02156	0.02153	0.01255	0.0231	0.02357	0.0234	0.01458	0.02502	0.02552	0.02532	0.01636	0.02707	0.02719	0.02729	0.01827	0.02872	0.02905	0.02902	0.02029	0.0	0.0	0.0	0.0	0.01962	0.01969	0.01971	0.01069
rotifer_0.02_4x	0.02006	0.02032	0.02037	0.01281	0.02114	0.02129	0.02145	0.01372	0.0231	0.02329	0.02313	0.01571	0.02478	0.02508	0.02494	0.01742	0.02672	0.02682	0.02685	0.01933	0.02874	0.02881	0.02862	0.02132	0.0	0.0	0.0	0.0	0.01946	0.01952	0.01943	0.0118
