sample	oyster_0.001_1x	oyster_0.001_2x	oyster_0.001_4x	oyster_0.001_8x	oyster_0.002_1x	oyster_0.002_2x	oyster_0.002_4x	oyster_0.002_8x	oyster_0.004_1x	oyster_0.004_2x	oyster_0.004_4x	oyster_0.004_8x	oyster_0.006_1x	oyster_0.006_2x	oyster_0.006_4x	oyster_0.006_8x	oyster_0.008_1x	oyster_0.008_2x	oyster_0.008_4x	oyster_0.008_8x	oyster_0.01_1x	oyster_0.01_2x	oyster_0.01_4x	oyster_0.01_8x	oyster_0.02_1x	oyster_0.02_2x	oyster_0.02_4x	oyster_0.02_8x	oyster_0.0_1x	oyster_0.0_2x	oyster_0.0_4x	oyster_0.0_8x
oyster_0.001_1x	0.0	0.0	0.0	0.0	0.00283	0.00257	0.00199	0.0	0.0046	0.00446	0.00371	0.0	0.00646	0.00618	0.00541	0.0	0.00873	0.00827	0.00761	0.0	0.01047	0.0099	0.00925	0.0	0.0193	0.0189	0.01824	0.00592	0.0006	0.0	0.0	0.0
oyster_0.001_2x	0.0	0.0	0.0	0.0	0.00252	0.0021	0.00142	0.0	0.00451	0.00398	0.00326	0.0	0.00632	0.00581	0.00503	0.0	0.0086	0.00796	0.00718	0.0	0.01038	0.00967	0.00898	0.0	0.01926	0.01884	0.01803	0.00782	0.00046	0.0	0.0	0.0
oyster_0.001_4x	0.0	0.0	0.0	0.0	0.00211	0.00168	0.00094	0.0	0.00418	0.00351	0.00278	0.0	0.00606	0.00528	0.00463	0.0	0.00804	0.00744	0.00665	0.0	0.00991	0.00926	0.00855	0.0	0.01897	0.01844	0.01755	0.00905	0.0	0.0	0.0	0.0
oyster_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00712	0.00873	0.00975	0.00121	0.0	0.0	0.0	0.0
oyster_0.002_1x	0.00283	0.00257	0.00214	0.0	0.0	0.0	0.0	0.0	0.00551	0.00535	0.00474	0.0	0.00746	0.0071	0.00652	0.0	0.00957	0.0093	0.00859	0.0	0.01138	0.01099	0.01026	0.0	0.02013	0.01985	0.01915	0.00682	0.00158	0.00134	0.00111	0.0
oyster_0.002_2x	0.00252	0.0021	0.00168	0.0	0.0	0.0	0.0	0.0	0.00557	0.00512	0.00439	0.0	0.00743	0.00683	0.00617	0.0	0.0095	0.00901	0.00827	0.0	0.0114	0.01085	0.01015	0.0	0.0203	0.01983	0.01886	0.00881	0.00157	0.00107	0.00068	0.0
oyster_0.002_4x	0.00195	0.00142	0.00094	0.0	0.0	0.0	0.0	0.0	0.00499	0.00444	0.00369	0.0	0.0069	0.00621	0.00551	0.0	0.00898	0.00839	0.00757	0.0	0.01075	0.01019	0.00938	0.00038	0.01993	0.01923	0.01835	0.0099	0.00099	0.0	0.0	0.0
oyster_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00084	0.0	0.00811	0.00968	0.01065	0.00217	0.0	0.0	0.0	0.0
oyster_0.004_1x	0.00459	0.00459	0.00425	0.0	0.00551	0.00569	0.00509	0.0	0.0	0.0	0.0	0.0	0.00972	0.00933	0.00863	0.0	0.01135	0.01119	0.01046	0.0	0.01339	0.01296	0.01236	0.0	0.02201	0.02181	0.02093	0.00889	0.00387	0.00371	0.00334	0.0
oyster_0.004_2x	0.00436	0.00397	0.0035	0.0	0.00523	0.00512	0.00443	0.0	0.0	0.0	0.0	0.0	0.00922	0.00875	0.008	0.0	0.01112	0.01072	0.00985	0.0	0.01305	0.01237	0.01174	0.00108	0.0217	0.02133	0.02052	0.01052	0.00356	0.00299	0.00251	0.0
oyster_0.004_4x	0.00364	0.00326	0.00278	0.0	0.00465	0.0044	0.00369	0.0	0.0	0.0	0.0	0.0	0.00856	0.00796	0.0073	0.0	0.01056	0.01006	0.00923	0.0	0.01244	0.01179	0.0111	0.00219	0.02135	0.02089	0.02013	0.01173	0.00281	0.00223	0.00177	0.0
oyster_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00055	0.0	0.0	0.00145	0.0026	0.0	0.00967	0.01129	0.01225	0.0039	0.0	0.0	0.0	0.0
oyster_0.006_1x	0.00645	0.00644	0.00616	0.0	0.00745	0.00759	0.00703	0.0	0.00971	0.00941	0.00871	0.0	0.0	0.0	0.0	0.0	0.01321	0.01294	0.01219	0.0	0.0151	0.01481	0.01404	0.00144	0.02387	0.02348	0.02263	0.01075	0.00568	0.00549	0.00522	0.0
oyster_0.006_2x	0.00604	0.00579	0.00526	0.0	0.00693	0.00683	0.0062	0.0	0.00912	0.00875	0.00794	0.0	0.0	0.0	0.0	0.0	0.01288	0.01241	0.01152	0.00097	0.01469	0.01413	0.0133	0.00289	0.02326	0.02278	0.02197	0.01212	0.00516	0.00474	0.00426	0.0
oyster_0.006_4x	0.0053	0.00503	0.00463	0.0	0.00639	0.00618	0.0055	0.0	0.00846	0.00801	0.0073	0.0	0.0	0.0	0.0	0.0	0.01221	0.01177	0.01099	0.00211	0.01412	0.01355	0.01276	0.00408	0.02289	0.02239	0.02162	0.01335	0.00453	0.00405	0.00367	0.0
oyster_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00131	0.00233	0.0	0.00187	0.00328	0.00438	0.0	0.0113	0.01286	0.01383	0.00553	0.0	0.0	0.0	0.0
oyster_0.008_1x	0.00871	0.00875	0.00818	0.0	0.00955	0.00969	0.00914	0.0	0.01133	0.01135	0.01075	0.0	0.01321	0.01315	0.01245	0.0	0.0	0.0	0.0	0.0	0.01698	0.0168	0.01607	0.00348	0.02529	0.02515	0.02458	0.0127	0.00769	0.00756	0.00727	0.0
oyster_0.008_2x	0.00808	0.00793	0.00741	0.0	0.00909	0.009	0.00836	0.0	0.01094	0.01072	0.01003	0.0	0.01267	0.01241	0.01175	0.00128	0.0	0.0	0.0	0.0	0.0166	0.01617	0.01546	0.00511	0.0251	0.02468	0.02406	0.01421	0.00729	0.00684	0.00646	0.0
oyster_0.008_4x	0.00746	0.00717	0.00664	0.0	0.00842	0.00828	0.00756	0.0	0.01026	0.00987	0.00922	0.00054	0.01196	0.01154	0.01099	0.00228	0.0	0.0	0.0	0.0	0.01594	0.01539	0.01466	0.00606	0.02482	0.02425	0.02343	0.01538	0.00662	0.00607	0.00565	0.0
oyster_0.008_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.00216	0.0	0.0	0.0	0.0	0.0	0.00371	0.0052	0.00625	0.0	0.01315	0.01468	0.01571	0.00752	0.0	0.0	0.0	0.0
oyster_0.01_1x	0.01044	0.01057	0.01009	0.0	0.01136	0.01164	0.01095	0.0	0.01337	0.01333	0.01267	0.0	0.01509	0.01501	0.01439	0.00186	0.01699	0.01696	0.01625	0.00369	0.0	0.0	0.0	0.0	0.02682	0.02669	0.02614	0.01436	0.00959	0.00955	0.00925	0.0
oyster_0.01_2x	0.00967	0.00964	0.00923	0.0	0.01074	0.01083	0.01016	0.0	0.01267	0.01237	0.01176	0.00141	0.01448	0.01412	0.01353	0.0032	0.01645	0.01617	0.01537	0.00508	0.0	0.0	0.0	0.0	0.02652	0.0261	0.02534	0.01575	0.00913	0.00868	0.00834	0.0
oyster_0.01_4x	0.00906	0.00897	0.00854	0.0	0.01005	0.01016	0.00937	0.00082	0.01211	0.01175	0.01109	0.00254	0.01377	0.01331	0.01276	0.00429	0.01577	0.01548	0.01466	0.00612	0.0	0.0	0.0	0.0	0.02631	0.02565	0.02489	0.0169	0.00848	0.00809	0.00761	0.0
oyster_0.01_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.00038	0.0	0.0	0.00111	0.00224	0.0	0.00145	0.00297	0.00417	0.0	0.0035	0.00523	0.00618	0.0	0.0	0.0	0.0	0.0	0.01483	0.01637	0.01729	0.0093	0.0	0.0	0.0	0.0
oyster_0.02_1x	0.01928	0.01964	0.01935	0.00705	0.02012	0.02075	0.02033	0.00804	0.02202	0.02219	0.02179	0.00964	0.0239	0.02379	0.02337	0.01127	0.02533	0.02567	0.02535	0.01313	0.02685	0.02712	0.02686	0.01483	0.0	0.0	0.0	0.0	0.01838	0.0187	0.0186	0.00622
oyster_0.02_2x	0.01847	0.01879	0.01842	0.00848	0.0194	0.01983	0.01921	0.00942	0.02134	0.02134	0.02087	0.01103	0.02299	0.02279	0.02238	0.01258	0.02464	0.0247	0.02424	0.01437	0.02614	0.02612	0.02564	0.01604	0.0	0.0	0.0	0.0	0.01752	0.01769	0.01751	0.0076
oyster_0.02_4x	0.01786	0.01801	0.01755	0.0095	0.01875	0.01888	0.01835	0.01039	0.02051	0.02055	0.02013	0.012	0.0222	0.02201	0.02163	0.01356	0.02412	0.02411	0.02344	0.01542	0.02564	0.02538	0.0249	0.01697	0.0	0.0	0.0	0.0	0.01683	0.01692	0.01669	0.00863
oyster_0.02_8x	0.00593	0.00797	0.00922	0.0012	0.00684	0.00901	0.01009	0.00216	0.0089	0.01075	0.01195	0.00389	0.01078	0.01239	0.01361	0.00553	0.01272	0.01452	0.01568	0.00751	0.01438	0.01609	0.01723	0.0093	0.0	0.0	0.0	0.0	0.00481	0.00677	0.00835	0.0
oyster_0.0_1x	0.0006	0.00047	0.0	0.0	0.00159	0.00161	0.001	0.0	0.00388	0.00364	0.00287	0.0	0.0057	0.00528	0.00463	0.0	0.00772	0.00747	0.00676	0.0	0.00962	0.00935	0.00867	0.0	0.01841	0.01794	0.0172	0.0048	0.0	0.0	0.0	0.0
oyster_0.0_2x	0.0	0.0	0.0	0.0	0.00132	0.00108	0.0	0.0	0.00365	0.003	0.00223	0.0	0.00541	0.00476	0.00406	0.0	0.00744	0.00688	0.00609	0.0	0.0094	0.00873	0.00812	0.0	0.01837	0.01777	0.01697	0.00665	0.0	0.0	0.0	0.0
