sample	rotifer_0.001_1x	rotifer_0.001_2x	rotifer_0.001_4x	rotifer_0.001_8x	rotifer_0.002_1x	rotifer_0.002_2x	rotifer_0.002_4x	rotifer_0.002_8x	rotifer_0.004_1x	rotifer_0.004_2x	rotifer_0.004_4x	rotifer_0.004_8x	rotifer_0.006_1x	rotifer_0.006_2x	rotifer_0.006_4x	rotifer_0.006_8x	rotifer_0.008_1x	rotifer_0.008_2x	rotifer_0.008_4x	rotifer_0.008_8x	rotifer_0.01_1x	rotifer_0.01_2x	rotifer_0.01_4x	rotifer_0.01_8x	rotifer_0.02_1x	rotifer_0.02_2x	rotifer_0.02_4x	rotifer_0.02_8x	rotifer_0.0_1x	rotifer_0.0_2x	rotifer_0.0_4x	rotifer_0.0_8x
rotifer_0.001_1x	0.0	0.0	0.0	0.0	0.00307	0.00311	0.00296	0.0	0.00496	0.00507	0.00491	0.0	0.0069	0.00698	0.00668	0.0	0.00876	0.00893	0.00893	0.0	0.01086	0.01065	0.01059	0.0	0.02069	0.02048	0.02047	0.00946	0.00107	0.00104	0.00093	0.0
rotifer_0.001_2x	0.0	0.0	0.0	0.0	0.00312	0.00305	0.00293	0.0	0.00501	0.00504	0.00491	0.0	0.00684	0.00696	0.00671	0.0	0.00892	0.00902	0.00882	0.0	0.01093	0.01091	0.01068	0.00137	0.02077	0.02073	0.02058	0.01144	0.00108	0.00089	0.00091	0.0
rotifer_0.001_4x	0.0	0.0	0.0	0.0	0.00302	0.00303	0.00283	0.0	0.00501	0.00497	0.00475	0.0	0.00662	0.00679	0.00659	0.0	0.00889	0.00886	0.00872	0.00077	0.01089	0.01076	0.01047	0.00264	0.02082	0.02066	0.02063	0.01277	0.00097	0.00089	0.00078	0.0
rotifer_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00087	0.0	0.0	0.00154	0.00273	0.0	0.01017	0.01186	0.01311	0.00516	0.0	0.0	0.0	0.0
rotifer_0.002_1x	0.00307	0.00316	0.00307	0.0	0.0	0.0	0.0	0.0	0.00589	0.00609	0.00599	0.0	0.00792	0.008	0.00786	0.0	0.0098	0.00985	0.00994	0.0	0.01152	0.01185	0.0117	0.00041	0.02164	0.0217	0.0216	0.01069	0.00174	0.00205	0.00201	0.0
rotifer_0.002_2x	0.00307	0.00305	0.00304	0.0	0.0	0.0	0.0	0.0	0.00606	0.00615	0.00599	0.0	0.00784	0.00787	0.00778	0.0	0.00978	0.00992	0.00985	0.00047	0.01208	0.01186	0.01166	0.00243	0.02194	0.02181	0.02174	0.01253	0.00202	0.00195	0.002	0.0
rotifer_0.002_4x	0.00291	0.00292	0.00283	0.0	0.0	0.0	0.0	0.0	0.00603	0.00594	0.00577	0.0	0.00771	0.00785	0.00767	0.0	0.00982	0.00984	0.00972	0.00176	0.01196	0.01177	0.01153	0.00365	0.02174	0.02164	0.02152	0.01373	0.00202	0.00189	0.00181	0.0
rotifer_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.00187	0.0	0.00091	0.00251	0.00374	0.0	0.01121	0.01286	0.01404	0.00615	0.0	0.0	0.0	0.0
rotifer_0.004_1x	0.00496	0.00508	0.00509	0.0	0.00589	0.00614	0.00614	0.0	0.0	0.0	0.0	0.0	0.00982	0.00992	0.00984	0.0	0.01174	0.01163	0.01178	0.00052	0.01376	0.01384	0.01366	0.00259	0.02332	0.0233	0.02336	0.01254	0.00373	0.00404	0.0041	0.0
rotifer_0.004_2x	0.005	0.00504	0.00498	0.0	0.00601	0.00615	0.00597	0.0	0.0	0.0	0.0	0.0	0.00981	0.00987	0.00971	0.00047	0.01185	0.01181	0.01175	0.00247	0.01381	0.01367	0.01352	0.00437	0.02358	0.02366	0.02355	0.0145	0.00387	0.00398	0.00393	0.0
rotifer_0.004_4x	0.00482	0.00489	0.00474	0.0	0.00589	0.00596	0.00577	0.0	0.0	0.0	0.0	0.0	0.00944	0.00969	0.00953	0.00166	0.01168	0.01161	0.01155	0.00365	0.01376	0.01354	0.01333	0.00554	0.02374	0.02359	0.02346	0.01572	0.00372	0.00377	0.00372	0.0
rotifer_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.00164	0.0	0.00075	0.00252	0.00377	0.0	0.00283	0.00442	0.00561	0.0	0.01306	0.01472	0.01595	0.00816	0.0	0.0	0.0	0.0
rotifer_0.006_1x	0.0069	0.00693	0.00674	0.0	0.00792	0.00795	0.00784	0.0	0.00982	0.00995	0.00961	0.0	0.0	0.0	0.0	0.0	0.01358	0.0136	0.01349	0.00241	0.0154	0.01556	0.01528	0.00438	0.02531	0.02508	0.0251	0.01436	0.00606	0.00593	0.0058	0.0
rotifer_0.006_2x	0.00688	0.00696	0.00681	0.0	0.00789	0.00787	0.00788	0.0	0.00978	0.00987	0.00973	0.00045	0.0	0.0	0.0	0.0	0.01352	0.0136	0.01363	0.00433	0.01563	0.01556	0.01525	0.00618	0.02534	0.02543	0.02527	0.01629	0.00582	0.00589	0.00587	0.0
rotifer_0.006_4x	0.00656	0.00668	0.00659	0.0	0.00772	0.00774	0.00766	0.0	0.00966	0.00967	0.00953	0.00163	0.0	0.0	0.0	0.0	0.01345	0.01351	0.01342	0.00556	0.01547	0.01538	0.01514	0.00742	0.02524	0.02513	0.02509	0.0174	0.00577	0.00577	0.00563	0.0
rotifer_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.00167	0.0	0.0	0.0	0.0	0.0	0.00262	0.00438	0.00568	0.0	0.00464	0.00638	0.00749	0.0	0.01475	0.01648	0.01765	0.01	0.0	0.0	0.0	0.0
rotifer_0.008_1x	0.00876	0.00904	0.00905	0.0	0.0098	0.00991	0.01	0.0	0.01174	0.01202	0.01189	0.00076	0.01358	0.01371	0.01369	0.00265	0.0	0.0	0.0	0.0	0.01769	0.01753	0.0175	0.00654	0.02675	0.02731	0.02736	0.01655	0.00809	0.00789	0.00794	0.0
rotifer_0.008_2x	0.0088	0.00901	0.0089	0.0	0.00971	0.00992	0.00988	0.00054	0.01147	0.01181	0.01166	0.00251	0.01341	0.0136	0.01357	0.00437	0.0	0.0	0.0	0.0	0.01769	0.01752	0.01738	0.00834	0.02701	0.0272	0.02712	0.01813	0.00799	0.0079	0.00791	0.0
rotifer_0.008_4x	0.00877	0.00878	0.00871	0.00086	0.00977	0.0098	0.00972	0.00186	0.01157	0.0117	0.01155	0.00375	0.01325	0.01357	0.01342	0.00565	0.0	0.0	0.0	0.0	0.01742	0.01733	0.01729	0.00958	0.02716	0.0272	0.02711	0.01948	0.00793	0.00782	0.00773	0.0
rotifer_0.008_8x	0.0	0.0	0.00077	0.0	0.0	0.00047	0.00177	0.0	0.00052	0.00247	0.00368	0.0	0.00238	0.00434	0.00559	0.0	0.0	0.0	0.0	0.0	0.00666	0.00839	0.00952	0.00175	0.0167	0.01846	0.01965	0.01195	0.0	0.0	0.0	0.0
rotifer_0.01_1x	0.01086	0.01108	0.01108	0.0	0.01151	0.01225	0.01218	0.00092	0.01376	0.014	0.01401	0.00286	0.0154	0.01584	0.01574	0.00469	0.01768	0.01793	0.01773	0.00674	0.0	0.0	0.0	0.0	0.02888	0.02948	0.02932	0.01861	0.00974	0.01002	0.01015	0.0
rotifer_0.01_2x	0.0105	0.01091	0.0108	0.00154	0.01169	0.01185	0.01182	0.0025	0.01365	0.01367	0.0136	0.00441	0.01534	0.01556	0.01545	0.00638	0.01729	0.01752	0.0174	0.00838	0.0	0.0	0.0	0.0	0.02921	0.02914	0.02897	0.02019	0.00969	0.00978	0.00981	0.00054
rotifer_0.01_4x	0.01041	0.01063	0.01046	0.00271	0.01149	0.01161	0.01153	0.00371	0.01342	0.01347	0.01334	0.00558	0.01502	0.01519	0.01514	0.00745	0.0172	0.0173	0.01729	0.00947	0.0	0.0	0.0	0.0	0.02899	0.02903	0.02883	0.02131	0.00953	0.00963	0.00954	0.00174
rotifer_0.01_8x	0.0	0.00137	0.00265	0.0	0.00041	0.00244	0.00367	0.0	0.00256	0.00437	0.00557	0.0	0.00433	0.00619	0.00747	0.0	0.00646	0.00836	0.00964	0.00175	0.0	0.0	0.0	0.0	0.01869	0.02045	0.02158	0.01391	0.0	0.0	0.00166	0.0
rotifer_0.02_1x	0.02068	0.02105	0.02117	0.01028	0.02163	0.02224	0.02212	0.01133	0.02332	0.0239	0.02416	0.01322	0.02531	0.02569	0.02568	0.01493	0.02675	0.02738	0.02763	0.0169	0.02888	0.02961	0.02949	0.01891	0.0	0.0	0.0	0.0	0.01968	0.0201	0.02033	0.00935
rotifer_0.02_2x	0.0202	0.02073	0.02074	0.01183	0.0214	0.02182	0.02174	0.01283	0.02298	0.02367	0.0237	0.0147	0.02474	0.02544	0.02524	0.01646	0.02694	0.02721	0.02732	0.01844	0.02909	0.02915	0.02915	0.02043	0.0	0.0	0.0	0.0	0.01938	0.01966	0.0199	0.01091
rotifer_0.02_4x	0.02012	0.02049	0.02063	0.01303	0.02123	0.02165	0.02153	0.01396	0.02297	0.02346	0.02347	0.01587	0.02468	0.02518	0.0251	0.01757	0.0269	0.02702	0.02712	0.01955	0.02883	0.02887	0.02884	0.02147	0.0	0.0	0.0	0.0	0.01929	0.0195	0.01971	0.0121
rotifer_0.02_8x	0.00935	0.01145	0.01284	0.00516	0.01056	0.01254	0.01381	0.00615	0.0124	0.01453	0.01581	0.00817	0.01419	0.01631	0.0175	0.01001	0.01636	0.01816	0.01959	0.01195	0.0184	0.02022	0.02143	0.01392	0.0	0.0	0.0	0.0	0.0086	0.01043	0.0119	0.00418
rotifer_0.0_1x	0.00107	0.0011	0.00098	0.0	0.00174	0.00205	0.00206	0.0	0.00373	0.00393	0.00379	0.0	0.00606	0.0059	0.00587	0.0	0.00809	0.0081	0.00807	0.0	0.00974	0.00983	0.0097	0.0	0.01969	0.01965	0.01963	0.0087	0.0	0.0	0.0	0.0
rotifer_0.0_2x	0.00103	0.00089	0.0009	0.0	0.00202	0.00195	0.0019	0.0	0.00399	0.00399	0.00379	0.0	0.00585	0.00589	0.0058	0.0	0.00779	0.0079	0.00786	0.0	0.00989	0.00979	0.00968	0.0	0.01983	0.01966	0.01959	0.01041	0.0	0.0	0.0	0.0
rotifer_0.0_4x	0.00092	0.00091	0.00078	0.0	0.00198	0.00199	0.00181	0.0	0.00404	0.00392	0.00372	0.0	0.00571	0.00585	0.00563	0.0	0.00781	0.00789	0.00774	0.0	0.00998	0.00978	0.00955	0.00165	0.02	0.01984	0.01973	0.01185	0.0	0.0	0.0	0.0
rotifer_0.0_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.00175	0.0	0.00926	0.01095	0.01218	0.00419	0.0	0.0	0.0	0.0
