sample	oyster_0.001_1x	oyster_0.001_2x	oyster_0.001_4x	oyster_0.001_8x	oyster_0.002_1x	oyster_0.002_2x	oyster_0.002_4x	oyster_0.002_8x	oyster_0.004_1x	oyster_0.004_2x	oyster_0.004_4x	oyster_0.004_8x	oyster_0.006_1x	oyster_0.006_2x	oyster_0.006_4x	oyster_0.006_8x	oyster_0.008_1x	oyster_0.008_2x	oyster_0.008_4x	oyster_0.008_8x	oyster_0.01_1x	oyster_0.01_2x	oyster_0.01_4x	oyster_0.01_8x	oyster_0.02_1x	oyster_0.02_2x	oyster_0.02_4x	oyster_0.02_8x	oyster_0.0_1x	oyster_0.0_2x	oyster_0.0_4x	oyster_0.0_8x
oyster_0.001_1x	0.0	0.0	0.0	0.0	0.00273	0.0026	0.00181	0.0	0.00461	0.00437	0.00356	0.0	0.00644	0.00607	0.00528	0.0	0.00875	0.00812	0.00738	0.0	0.01002	0.00971	0.00893	0.0	0.01931	0.01901	0.0181	0.00568	0.00089	0.0	0.0	0.0
oyster_0.001_2x	0.0	0.0	0.0	0.0	0.00253	0.00218	0.00143	0.0	0.00441	0.004	0.0032	0.0	0.00649	0.00587	0.00509	0.0	0.00849	0.00777	0.00713	0.0	0.01002	0.00947	0.00874	0.0	0.01947	0.0189	0.01808	0.00764	0.00048	0.0	0.0	0.0
oyster_0.001_4x	0.0	0.0	0.0	0.0	0.00222	0.00174	0.00099	0.0	0.00402	0.00355	0.00282	0.0	0.00633	0.00548	0.00468	0.0	0.00813	0.00732	0.00666	0.0	0.0099	0.00924	0.00845	0.0	0.01912	0.01856	0.01765	0.00901	0.0	0.0	0.0	0.0
oyster_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00723	0.00888	0.00993	0.00119	0.0	0.0	0.0	0.0
oyster_0.002_1x	0.00273	0.00258	0.00226	0.0	0.0	0.0	0.0	0.0	0.00571	0.00561	0.00501	0.0	0.00777	0.0073	0.0066	0.0	0.00978	0.00923	0.00849	0.0	0.0112	0.01098	0.01032	0.0	0.02027	0.02009	0.01927	0.00695	0.00206	0.00162	0.00123	0.0
oyster_0.002_2x	0.00255	0.00218	0.00174	0.0	0.0	0.0	0.0	0.0	0.00558	0.00521	0.00443	0.0	0.0079	0.00705	0.0062	0.0	0.00974	0.00894	0.00818	0.0	0.01126	0.01067	0.01001	0.0	0.02038	0.01984	0.0191	0.00867	0.00179	0.00123	0.00069	0.0
oyster_0.002_4x	0.00178	0.00143	0.00098	0.0	0.0	0.0	0.0	0.0	0.00492	0.00454	0.00378	0.0	0.0073	0.00639	0.0056	0.0	0.00914	0.00823	0.00755	0.0	0.01076	0.01003	0.00937	0.0004	0.01995	0.01955	0.01859	0.00994	0.0011	0.00047	0.0	0.0
oyster_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.0	0.00819	0.00978	0.01082	0.00211	0.0	0.0	0.0	0.0
oyster_0.004_1x	0.0046	0.00449	0.00409	0.0	0.00571	0.0057	0.00501	0.0	0.0	0.0	0.0	0.0	0.00956	0.00923	0.00854	0.0	0.01122	0.01088	0.01042	0.0	0.01308	0.01269	0.01203	0.0	0.02195	0.02185	0.02121	0.00893	0.00379	0.00353	0.00304	0.0
oyster_0.004_2x	0.00427	0.00399	0.00354	0.0	0.00548	0.0052	0.00453	0.0	0.0	0.0	0.0	0.0	0.00953	0.00888	0.00819	0.0	0.01115	0.01066	0.0101	0.0	0.01299	0.01251	0.01177	0.00111	0.02198	0.02155	0.02075	0.01048	0.00348	0.00298	0.00253	0.0
