sample	leech_0.001_1x	leech_0.001_2x	leech_0.001_4x	leech_0.001_8x	leech_0.002_1x	leech_0.002_2x	leech_0.002_4x	leech_0.002_8x	leech_0.004_1x	leech_0.004_2x	leech_0.004_4x	leech_0.004_8x	leech_0.006_1x	leech_0.006_2x	leech_0.006_4x	leech_0.006_8x	leech_0.008_1x	leech_0.008_2x	leech_0.008_4x	leech_0.008_8x	leech_0.01_1x	leech_0.01_2x	leech_0.01_4x	leech_0.01_8x	leech_0.02_1x	leech_0.02_2x	leech_0.02_4x	leech_0.02_8x	leech_0.0_1x	leech_0.0_2x	leech_0.0_4x	leech_0.0_8x
leech_0.001_1x	0.0	0.0	0.0	0.0	0.00252	0.00254	0.00241	0.0	0.0045	0.00443	0.00445	0.0	0.00645	0.0065	0.00649	0.0	0.00857	0.00859	0.00851	0.0	0.01043	0.0106	0.0105	0.0	0.02034	0.02046	0.02045	0.01003	0.00059	0.00051	0.00047	0.0
leech_0.001_2x	0.0	0.0	0.0	0.0	0.00263	0.0026	0.00255	0.0	0.00462	0.0047	0.00463	0.0	0.00667	0.0066	0.00661	0.0	0.00847	0.00847	0.00858	0.0	0.01037	0.01059	0.01047	0.00157	0.0205	0.02049	0.02045	0.01181	0.00067	0.00052	0.00059	0.0
leech_0.001_4x	0.0	0.0	0.0	0.0	0.00265	0.00269	0.00262	0.0	0.00461	0.00475	0.00473	0.0	0.0065	0.00665	0.00674	0.0	0.00853	0.00865	0.00856	0.00098	0.01034	0.01061	0.01053	0.00296	0.02046	0.02054	0.02051	0.0132	0.00078	0.00059	0.00069	0.0
leech_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00098	0.0	0.0	0.0017	0.00297	0.0	0.01021	0.01193	0.01321	0.00571	0.0	0.0	0.0	0.0
leech_0.002_1x	0.00252	0.00265	0.00268	0.0	0.0	0.0	0.0	0.0	0.00556	0.00568	0.00571	0.0	0.00726	0.00759	0.00765	0.0	0.00954	0.00958	0.00962	0.0	0.01146	0.01156	0.01154	0.00094	0.02168	0.02177	0.02165	0.01125	0.0016	0.00155	0.00164	0.0
leech_0.002_2x	0.00252	0.0026	0.00269	0.0	0.0	0.0	0.0	0.0	0.00558	0.00553	0.00567	0.0	0.00753	0.00752	0.00767	0.0	0.00939	0.00957	0.00954	0.00059	0.01137	0.01159	0.0116	0.00267	0.02136	0.02154	0.02142	0.01282	0.00158	0.00148	0.00164	0.0
leech_0.002_4x	0.00238	0.00255	0.00262	0.0	0.0	0.0	0.0	0.0	0.00552	0.00563	0.00558	0.0	0.00736	0.00749	0.00759	0.0	0.00952	0.0095	0.00946	0.00194	0.01124	0.01146	0.01146	0.00392	0.0212	0.02144	0.02136	0.01408	0.0015	0.00151	0.00161	0.0
leech_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00195	0.0	0.00077	0.00271	0.00395	0.0	0.01114	0.01289	0.01413	0.00666	0.0	0.0	0.0	0.0
leech_0.004_1x	0.0045	0.00467	0.00467	0.0	0.00556	0.00564	0.00558	0.0	0.0	0.0	0.0	0.0	0.00912	0.00937	0.00959	0.0	0.01158	0.01165	0.01153	0.00099	0.013	0.01332	0.01342	0.00289	0.02308	0.02323	0.02317	0.01286	0.00361	0.00359	0.0036	0.0
leech_0.004_2x	0.00439	0.0047	0.00476	0.0	0.00563	0.00553	0.00564	0.0	0.0	0.0	0.0	0.0	0.00955	0.00953	0.00965	0.00061	0.01143	0.01149	0.01143	0.00264	0.01332	0.01344	0.01345	0.00466	0.02325	0.02352	0.0232	0.0147	0.0037	0.00357	0.00366	0.0
leech_0.004_4x	0.0044	0.00462	0.00473	0.0	0.00565	0.00565	0.00558	0.0	0.0	0.0	0.0	0.0	0.00947	0.00956	0.00965	0.00197	0.01138	0.0115	0.01143	0.00396	0.013	0.01332	0.01335	0.00584	0.02331	0.02349	0.02336	0.01602	0.00351	0.00355	0.00367	0.0
leech_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00208	0.0	0.00088	0.00263	0.004	0.0	0.00269	0.00463	0.00589	0.0	0.01312	0.0149	0.01603	0.00866	0.0	0.0	0.0	0.0
leech_0.006_1x	0.00645	0.00673	0.00658	0.0	0.00726	0.0076	0.00745	0.0	0.00912	0.00964	0.00958	0.0	0.0	0.0	0.0	0.0	0.01325	0.01355	0.01346	0.00302	0.015	0.01531	0.01524	0.00482	0.02514	0.02513	0.02523	0.01483	0.0056	0.0056	0.00553	0.0
