sample	club-moss_0.001_1x	club-moss_0.001_2x	club-moss_0.001_4x	club-moss_0.001_8x	club-moss_0.002_1x	club-moss_0.002_2x	club-moss_0.002_4x	club-moss_0.002_8x	club-moss_0.004_1x	club-moss_0.004_2x	club-moss_0.004_4x	club-moss_0.004_8x	club-moss_0.006_1x	club-moss_0.006_2x	club-moss_0.006_4x	club-moss_0.006_8x	club-moss_0.008_1x	club-moss_0.008_2x	club-moss_0.008_4x	club-moss_0.008_8x	club-moss_0.01_1x	club-moss_0.01_2x	club-moss_0.01_4x	club-moss_0.01_8x	club-moss_0.02_1x	club-moss_0.02_2x	club-moss_0.02_4x	club-moss_0.02_8x	club-moss_0.0_1x	club-moss_0.0_2x	club-moss_0.0_4x	club-moss_0.0_8x
club-moss_0.001_1x	0.0	0.0	0.00481	0.00892	0.0021	0.00133	0.00721	0.01094	0.00382	0.0029	0.00876	0.01207	0.00521	0.00449	0.01029	0.01339	0.00699	0.00607	0.01175	0.01467	0.00858	0.00751	0.01317	0.01572	0.01683	0.01623	0.0203	0.0222	0.00045	0.0	0.00536	0.00966
club-moss_0.001_2x	0.0	0.0	0.00276	0.00676	0.0015	0.00068	0.00512	0.00889	0.00314	0.0021	0.00659	0.00989	0.00491	0.00388	0.00801	0.01109	0.00649	0.00565	0.0094	0.01233	0.00835	0.00727	0.01075	0.01332	0.01663	0.01594	0.0179	0.01999	0.0	0.0	0.00343	0.00764
club-moss_0.001_4x	0.00486	0.00284	0.0	0.00506	0.00722	0.00504	0.0058	0.0089	0.00885	0.0065	0.00701	0.00969	0.0105	0.0083	0.00819	0.01058	0.0121	0.00992	0.00934	0.01145	0.01381	0.0113	0.01061	0.01257	0.02212	0.01977	0.01728	0.01904	0.00566	0.00356	0.00475	0.00804
club-moss_0.001_8x	0.00959	0.0074	0.00536	0.0	0.01194	0.00965	0.00913	0.01319	0.0137	0.01123	0.01026	0.01376	0.01526	0.01287	0.01131	0.01447	0.01675	0.01467	0.01236	0.01538	0.01868	0.01586	0.01367	0.01629	0.02677	0.02463	0.02009	0.02242	0.0103	0.00809	0.00859	0.01283
club-moss_0.002_1x	0.0021	0.00153	0.00719	0.01116	0.0	0.0	0.00532	0.00895	0.00445	0.00355	0.00965	0.01297	0.00604	0.00516	0.01119	0.0143	0.00777	0.00688	0.01279	0.0157	0.00925	0.00836	0.01403	0.0168	0.01783	0.01694	0.02134	0.02338	0.00124	0.00054	0.00635	0.01045
club-moss_0.002_2x	0.00131	0.00068	0.00491	0.00886	0.0	0.0	0.00269	0.00648	0.00375	0.00289	0.00717	0.01049	0.00553	0.00465	0.00854	0.01172	0.00713	0.00623	0.00996	0.01295	0.00896	0.00785	0.01134	0.01403	0.01727	0.01648	0.01828	0.02055	0.00063	0.0	0.00412	0.00826
club-moss_0.002_4x	0.00719	0.00521	0.00575	0.00855	0.0053	0.00274	0.0	0.00308	0.00972	0.00728	0.00746	0.00978	0.01142	0.00897	0.00859	0.0108	0.01285	0.01062	0.00982	0.01167	0.01457	0.01193	0.01093	0.01258	0.02258	0.02028	0.01753	0.01894	0.00664	0.00434	0.00518	0.00828
club-moss_0.002_8x	0.0117	0.00967	0.00939	0.01317	0.00958	0.00706	0.0033	0.0	0.01434	0.0119	0.01069	0.01399	0.01597	0.01346	0.01161	0.01471	0.01753	0.0153	0.0127	0.0155	0.01943	0.01648	0.01399	0.01638	0.02726	0.02507	0.02031	0.02248	0.01099	0.00883	0.00909	0.01299
club-moss_0.004_1x	0.00384	0.00322	0.00884	0.01287	0.00446	0.00384	0.00981	0.01351	0.0	0.0	0.00558	0.00885	0.00801	0.00705	0.01285	0.01584	0.00925	0.00854	0.01421	0.01719	0.01097	0.01002	0.01567	0.01809	0.019	0.01828	0.02276	0.02467	0.00298	0.00249	0.00795	0.01221
club-moss_0.004_2x	0.00286	0.00211	0.00637	0.01036	0.0035	0.0029	0.0072	0.01102	0.0	0.0	0.00258	0.00597	0.00709	0.00604	0.00993	0.01326	0.00854	0.00776	0.01142	0.01439	0.01017	0.00922	0.01282	0.01543	0.01838	0.01768	0.01964	0.02184	0.00213	0.00139	0.0056	0.00986
