sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1	
oyster_0.001_1x_1	0.0	0.00736456	0.0138326	0.0127871	0.0257999	0.0225663	0.0232768	0.0163989	0.0277458	0.0245598	0.0254509	0.0184823	0.0296012	0.0264272	0.0272846	0.0205732	0.0314868	0.0283302	0.0291863	0.0225319	0.0333457	0.0304202	0.0312423	0.0245023	0.0427313	0.0396101	0.0404344	0.0339458	0.0238997	0.0206945	0.0214034	0.0143353	
oyster_0.001_2x_1	0.00736456	0.0	0.0054001	0.00721406	0.0223903	0.0172716	0.0167957	0.010871	0.0244288	0.0193141	0.018914	0.012899	0.0261752	0.021085	0.0207732	0.0149185	0.0282407	0.023191	0.0228188	0.0169537	0.0300791	0.0250719	0.0247367	0.0188935	0.0396085	0.0345752	0.0341355	0.0284926	0.0204061	0.0154129	0.0148255	0.00884084	
oyster_0.001_4x_1	0.0138326	0.0054001	0.0	0.00654635	0.023001	0.0167283	0.0154148	0.0101467	0.0250902	0.018757	0.0174261	0.0121281	0.0268415	0.0205639	0.0193203	0.0141102	0.0288581	0.022595	0.0213613	0.0161547	0.0306524	0.0245996	0.0232661	0.018089	0.0401521	0.033937	0.0325271	0.0277259	0.0211673	0.0148595	0.0134423	0.00815793	
oyster_0.001_8x_1	0.0127871	0.00721406	0.00654635	0.0	0.0161149	0.0107797	0.0101414	0.00409505	0.0182077	0.0128659	0.0122796	0.00616882	0.0200467	0.0146674	0.0141579	0.0082634	0.0221089	0.0168043	0.0162532	0.0103635	0.0240336	0.0188236	0.0182403	0.0123616	0.0336742	0.0284494	0.0278742	0.0222015	0.0141648	0.00880827	0.00813432	0.0019733	
oyster_0.002_1x_1	0.0257999	0.0223903	0.023001	0.0161149	0.0	0.00731324	0.0136744	0.0126651	0.0284445	0.0253781	0.0260246	0.0192278	0.0303462	0.0270614	0.0278113	0.0211626	0.0323493	0.0292259	0.0298404	0.0231501	0.0342922	0.0311443	0.0318197	0.0252156	0.0432977	0.0403217	0.0408869	0.03457	0.024677	0.0213717	0.0220517	0.0151168	
oyster_0.002_2x_1	0.0225663	0.0172716	0.0167283	0.0107797	0.00731324	0.0	0.00534105	0.0071003	0.0252517	0.020197	0.0197787	0.0138097	0.0270495	0.021937	0.0215922	0.0157363	0.0292096	0.0241263	0.0236624	0.0177709	0.0308487	0.0259741	0.0256221	0.0197408	0.0403085	0.0354687	0.0348657	0.0294271	0.0214532	0.0162725	0.0157514	0.00976165	
oyster_0.002_4x_1	0.0232768	0.0167957	0.0154148	0.0101414	0.0136744	0.00534105	0.0	0.00641357	0.0260168	0.0197876	0.0184217	0.013155	0.0277392	0.02151	0.0202385	0.0151159	0.0297527	0.0235248	0.0222606	0.0171223	0.0315172	0.025478	0.0242067	0.0190121	0.0409887	0.0347885	0.0334157	0.0286355	0.0221548	0.0158274	0.0144191	0.00913762	
oyster_0.002_8x_1	0.0163989	0.010871	0.0101467	0.00409505	0.0126651	0.0071003	0.00641357	0.0	0.0192352	0.0139139	0.0132786	0.00722685	0.0210714	0.015697	0.0151768	0.00928141	0.023092	0.0177885	0.0171979	0.0113442	0.0249325	0.0197604	0.0192235	0.0133528	0.0346011	0.0294414	0.0288062	0.023219	0.0152003	0.00979188	0.00912697	0.00303665	
oyster_0.004_1x_1	0.0277458	0.0244288	0.0250902	0.0182077	0.0284445	0.0252517	0.0260168	0.0192352	0.0	0.00743231	0.0137836	0.0128074	0.0322172	0.0290034	0.0298624	0.0231864	0.0340974	0.0311177	0.0318736	0.0252391	0.0362141	0.0330207	0.0337353	0.0271607	0.0454076	0.04219	0.0428062	0.0364895	0.026798	0.0234379	0.0241852	0.0171721	
oyster_0.004_2x_1	0.0245598	0.0193141	0.018757	0.0128659	0.0253781	0.020197	0.0197876	0.0139139	0.00743231	0.0	0.00536003	0.00719025	0.0291346	0.0239815	0.0237261	0.0178904	0.0310689	0.0260368	0.0256435	0.0198149	0.0328498	0.0278952	0.0275816	0.021683	0.0423547	0.0373154	0.0367725	0.0312724	0.0235017	0.0183729	0.0178533	0.0118761	
oyster_0.004_4x_1	0.0254509	0.018914	0.0174261	0.0122796	0.0260246	0.0197787	0.0184217	0.0132786	0.0137836	0.00536003	0.0	0.00643552	0.0299274	0.0235518	0.0223388	0.0172672	0.0317911	0.0255666	0.0242906	0.019172	0.0335576	0.0275252	0.0262377	0.0210395	0.042999	0.036649	0.035241	0.0304621	0.0242754	0.0179093	0.0164725	0.0112926	
oyster_0.004_8x_1	0.0184823	0.012899	0.0121281	0.00616882	0.0192278	0.0138097	0.013155	0.00722685	0.0128074	0.00719025	0.00643552	0.0	0.0230499	0.0176399	0.0171902	0.0113234	0.0250752	0.0197427	0.0191757	0.0133414	0.026969	0.0217118	0.0211933	0.0153683	0.0366872	0.0313406	0.0305819	0.0250544	0.0172606	0.0118546	0.0111557	0.00512564	
oyster_0.006_1x_1	0.0296012	0.0261752	0.0268415	0.0200467	0.0303462	0.0270495	0.0277392	0.0210714	0.0322172	0.0291346	0.0299274	0.0230499	0.0	0.00738603	0.0137764	0.0128307	0.036221	0.0327959	0.0336208	0.0269379	0.0375865	0.0346621	0.0355442	0.0288661	0.0468168	0.0438889	0.0445042	0.0382486	0.0287306	0.0252349	0.025941	0.0190535	
oyster_0.006_2x_1	0.0264272	0.021085	0.0205639	0.0146674	0.0270614	0.021937	0.02151	0.015697	0.0290034	0.0239815	0.0235518	0.0176399	0.00738603	0.0	0.00535269	0.00711328	0.0327636	0.027761	0.0273896	0.0215434	0.0344912	0.0296509	0.0293635	0.0235056	0.0436416	0.038883	0.0381564	0.0328186	0.0253131	0.0201213	0.0196092	0.0137316	
oyster_0.006_4x_1	0.0272846	0.0207732	0.0193203	0.0141579	0.0278113	0.0215922	0.0202385	0.0151768	0.0298624	0.0237261	0.0223388	0.0171902	0.0137764	0.00535269	0.0	0.00626066	0.0336357	0.0274092	0.0261243	0.0210857	0.0353948	0.029338	0.0279172	0.0228978	0.0444592	0.0382881	0.0367426	0.0320824	0.0260185	0.0197307	0.0183595	0.0132095	
oyster_0.006_8x_1	0.0205732	0.0149185	0.0141102	0.0082634	0.0211626	0.0157363	0.0151159	0.00928141	0.0231864	0.0178904	0.0172672	0.0113234	0.0128307	0.00711328	0.00626066	0.0	0.0270165	0.0216585	0.0210748	0.0152925	0.0288461	0.0236268	0.0231199	0.0172705	0.0382972	0.0330897	0.0322779	0.0268569	0.0192684	0.0138602	0.0131105	0.00724956	
oyster_0.008_1x_1	0.0314868	0.0282407	0.0288581	0.0221089	0.0323493	0.0292096	0.0297527	0.023092	0.0340974	0.0310689	0.0317911	0.0250752	0.036221	0.0327636	0.0336357	0.0270165	0.0	0.00748556	0.013737	0.0129246	0.0397775	0.0367014	0.0374264	0.030863	0.0487328	0.0454442	0.0460368	0.0397436	0.0305992	0.0272967	0.0278818	0.021102	
oyster_0.008_2x_1	0.0283302	0.023191	0.022595	0.0168043	0.0292259	0.0241263	0.0235248	0.0177885	0.0311177	0.0260368	0.0255666	0.0197427	0.0327959	0.027761	0.0274092	0.0216585	0.00748556	0.0	0.00526617	0.00708158	0.0365613	0.0316305	0.0311788	0.0254823	0.0457388	0.0406362	0.0401177	0.0346491	0.0273691	0.022208	0.0216473	0.0157954	
