sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1	
nematode_0.001_1x_1	0.0	0.0194722	0.0201162	0.0134497	0.0266536	0.0227825	0.0232661	0.016502	0.028468	0.0246542	0.0251679	0.0184723	0.0305182	0.0268787	0.027123	0.0206155	0.0322978	0.0285713	0.0291853	0.0223983	0.0341596	0.0306123	0.0309685	0.0243234	0.0440442	0.0403333	0.0405826	0.0342756	0.0246281	0.0207285	0.0212816	0.0144495	
nematode_0.001_2x_1	0.0194722	0.0	0.0133878	0.00766153	0.0226303	0.0172788	0.0165258	0.0107267	0.0247416	0.0191836	0.0184246	0.0126874	0.0268424	0.0213214	0.0203812	0.0147377	0.028473	0.0230965	0.0224683	0.0166765	0.0304858	0.0251152	0.0243026	0.0186084	0.0402162	0.0348499	0.0340822	0.0284494	0.0207078	0.0153131	0.0145711	0.00869582	
nematode_0.001_4x_1	0.0201162	0.0133878	0.0	0.00673478	0.0232001	0.0164852	0.0149397	0.00982078	0.0251486	0.0184623	0.0168948	0.0118319	0.0272207	0.0206069	0.0188308	0.0138435	0.0289271	0.022291	0.0208354	0.0157207	0.0307853	0.0242978	0.0227454	0.0176432	0.0405576	0.0341291	0.0324398	0.0275834	0.0212008	0.0146381	0.0129852	0.0078364	
nematode_0.001_8x_1	0.0134497	0.00766153	0.00673478	0.0	0.0165131	0.0107296	0.00987875	0.00399839	0.0184364	0.0127189	0.0118594	0.00605171	0.0205527	0.0148758	0.0137975	0.00811695	0.0223026	0.0166685	0.0158945	0.0100547	0.0243098	0.0187055	0.0178033	0.0120534	0.0343857	0.0287207	0.0277259	0.0222102	0.0144472	0.00876799	0.00789518	0.001932	
nematode_0.002_1x_1	0.0266536	0.0226303	0.0232001	0.0165131	0.0	0.019718	0.0201633	0.0135464	0.0296198	0.0256195	0.0260281	0.0194648	0.0315285	0.027655	0.0278914	0.0214456	0.033193	0.0294497	0.0298865	0.0233492	0.0351745	0.0314687	0.0317489	0.0253207	0.0449888	0.0410448	0.0410942	0.0350051	0.0254882	0.021773	0.0222253	0.015454	
nematode_0.002_2x_1	0.0227825	0.0172788	0.0164852	0.0107296	0.019718	0.0	0.0133493	0.00764773	0.0256932	0.0201007	0.0193636	0.0136726	0.0276192	0.0222174	0.0212761	0.0157353	0.0295103	0.0240123	0.0233316	0.0176534	0.0314259	0.026098	0.0251762	0.0195453	0.0411797	0.0358938	0.0350051	0.0293902	0.0217322	0.0163304	0.0155436	0.00970551	
nematode_0.002_4x_1	0.0232661	0.0165258	0.0149397	0.00987875	0.0201633	0.0133493	0.0	0.00669638	0.0261594	0.0194368	0.01783	0.0128282	0.028266	0.021542	0.0198022	0.0148173	0.0298844	0.0232889	0.0217758	0.0167358	0.031709	0.0251838	0.0235834	0.018558	0.0413843	0.035009	0.03321	0.0284622	0.0222051	0.0156467	0.0139634	0.00887446	
nematode_0.002_8x_1	0.016502	0.0107267	0.00982078	0.00399839	0.0135464	0.00764773	0.00669638	0.0	0.0194997	0.0136949	0.0127935	0.00707582	0.0215936	0.0158502	0.014802	0.00914594	0.0233706	0.017628	0.0167893	0.0110434	0.0252777	0.0196682	0.0186948	0.0130361	0.0352677	0.0295877	0.0286068	0.0231516	0.015456	0.0097547	0.00886368	0.00296948	
nematode_0.004_1x_1	0.028468	0.0247416	0.0251486	0.0184364	0.0296198	0.0256932	0.0261594	0.0194997	0.0	0.0196424	0.0201556	0.0136152	0.0334835	0.0298414	0.0299852	0.0235549	0.0350051	0.0314868	0.031774	0.0253536	0.0372688	0.0335316	0.0338842	0.0274111	0.0466862	0.0430267	0.0431118	0.036954	0.0275374	0.0237916	0.0242035	0.0174891	
nematode_0.004_2x_1	0.0246542	0.0191836	0.0184623	0.0127189	0.0256195	0.0201007	0.0194368	0.0136949	0.0196424	0.0	0.0132368	0.00761838	0.0296623	0.0241947	0.0232524	0.0176883	0.0313754	0.0259497	0.0253139	0.0195903	0.0331662	0.0276985	0.0271018	0.0213737	0.0427733	0.0374572	0.0366702	0.0312066	0.0236616	0.0182998	0.0175215	0.0116819	
