sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	
rotifer_0.001_1x_1	0.0	0.0194057	0.0199723	0.0139316	0.0274924	0.0235433	0.0234272	0.0170117	0.0294959	0.0253148	0.0253417	0.0189394	0.0315738	0.0272994	0.0274447	0.021066	0.0336432	0.0293953	0.0294856	0.0231124	0.035423	0.0313082	0.0312579	0.0249996	0.0454036	0.0413446	0.041431	0.0350896	0.0256786	0.0213593	0.0214712	0.014985	
rotifer_0.001_2x_1	0.0194057	0.0	0.0126291	0.00757774	0.0231705	0.0174412	0.0161821	0.0106524	0.0252517	0.0192832	0.0182118	0.0127172	0.0273524	0.02142	0.0203224	0.0148011	0.0293881	0.0234142	0.0222368	0.0166632	0.031141	0.0252206	0.0241104	0.0186924	0.0411574	0.0352944	0.0341647	0.0287375	0.0212466	0.0152802	0.0142399	0.00862306	
rotifer_0.001_4x_1	0.0199723	0.0126291	0.0	0.00632532	0.023238	0.016357	0.014327	0.00940425	0.0251904	0.0182287	0.0163701	0.0114319	0.027279	0.020284	0.0184164	0.0135079	0.0291964	0.022325	0.0204074	0.0154416	0.0312021	0.0242418	0.022341	0.0175422	0.0412792	0.03418	0.0322347	0.0274335	0.0213565	0.0142169	0.0123802	0.00738662	
rotifer_0.001_8x_1	0.0139316	0.00757774	0.00632532	0.0	0.0167995	0.0107559	0.00938968	0.00388442	0.0188416	0.0126605	0.0114342	0.00595122	0.0209193	0.0146983	0.0135225	0.00801994	0.0228657	0.0167668	0.0154644	0.00996086	0.0247179	0.0186566	0.0174562	0.0120119	0.0349761	0.0288591	0.0275411	0.0221211	0.0149638	0.00864716	0.00740517	0.00184357	
rotifer_0.002_1x_1	0.0274924	0.0231705	0.023238	0.0167995	0.0	0.0192617	0.0197534	0.0137872	0.0304374	0.0261761	0.0262836	0.0198479	0.0325555	0.0280908	0.028232	0.0218477	0.0343613	0.0301458	0.0302373	0.0238018	0.0363129	0.0322219	0.0320789	0.0257852	0.0462584	0.0420778	0.0420175	0.0357354	0.0265799	0.0220981	0.0223142	0.0157889	
rotifer_0.002_2x_1	0.0235433	0.0174412	0.016357	0.0107559	0.0192617	0.0	0.0126706	0.00764743	0.0261849	0.0203936	0.0192931	0.0137908	0.0282844	0.0223707	0.0214186	0.015796	0.0302863	0.0245007	0.0234379	0.0177857	0.0321776	0.0262386	0.0252408	0.0198231	0.0421081	0.0364095	0.0351705	0.0297496	0.0223395	0.0163262	0.0153141	0.00972247	
rotifer_0.002_4x_1	0.0234272	0.0161821	0.014327	0.00938968	0.0197534	0.0126706	0.0	0.00625632	0.0261673	0.0191585	0.0173224	0.0124276	0.0282621	0.0212781	0.0193759	0.0145381	0.0302075	0.023276	0.0213303	0.0163623	0.0321671	0.0251361	0.0232988	0.0184794	0.0422221	0.0351214	0.0331662	0.0283741	0.0223598	0.0151968	0.013334	0.00836082	
rotifer_0.002_8x_1	0.0170117	0.0106524	0.00940425	0.00388442	0.0137872	0.00764743	0.00625632	0.0	0.0197825	0.0136334	0.0124127	0.00694152	0.0219136	0.0157091	0.0145522	0.00901897	0.0238581	0.0177897	0.0164846	0.0109496	0.0257956	0.0196733	0.0184959	0.0130297	0.0359034	0.029855	0.0284739	0.0231192	0.0159343	0.0096028	0.00838828	0.00284475	
rotifer_0.004_1x_1	0.0294959	0.0252517	0.0251904	0.0188416	0.0304374	0.0261849	0.0261673	0.0197825	0.0	0.0192943	0.0198676	0.0138701	0.0345286	0.0299873	0.0301756	0.0237963	0.0362419	0.0320072	0.0320234	0.0256537	0.0384129	0.0341545	0.0342271	0.0279066	0.0481587	0.0439942	0.0440884	0.0378742	0.0286651	0.0241517	0.0241581	0.0177692	
rotifer_0.004_2x_1	0.0253148	0.0192832	0.0182287	0.0126605	0.0261761	0.0203936	0.0191585	0.0136334	0.0192943	0.0	0.0125915	0.00758879	0.0301671	0.0241613	0.023219	0.0176641	0.0320951	0.0262607	0.0252055	0.0196355	0.0339824	0.0281874	0.0270917	0.0216873	0.0441502	0.0382229	0.0370359	0.0316589	0.0242178	0.018284	0.017286	0.0116234	
