sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1	
nematode_0.001_1x_1	0.0	0.0196142	0.0200833	0.0135154	0.0268025	0.0228419	0.023295	0.0165179	0.0287286	0.0248007	0.0251461	0.0184971	0.0305873	0.0266797	0.0270981	0.0204644	0.0325058	0.0287028	0.0290024	0.0225546	0.0343613	0.0306622	0.0309883	0.0245395	0.0437136	0.0400309	0.0404893	0.0343126	0.0246305	0.0208287	0.021196	0.0145052	
nematode_0.001_2x_1	0.0196142	0.0	0.0133449	0.00765913	0.0228062	0.0173169	0.0165798	0.0106878	0.0248459	0.019298	0.0185237	0.0127424	0.0266006	0.0211714	0.0205738	0.0146983	0.0288531	0.0233499	0.0225722	0.0168996	0.0304105	0.0252047	0.0244958	0.0187342	0.0402772	0.0347597	0.0340215	0.0284867	0.020816	0.0152644	0.0145734	0.00871003	
nematode_0.001_4x_1	0.0200833	0.0133449	0.0	0.00669498	0.0232585	0.016529	0.0149286	0.00975436	0.0252013	0.0183894	0.0168802	0.0117407	0.0268924	0.0203714	0.0188128	0.0136856	0.0290256	0.0223838	0.0207078	0.0157641	0.0307187	0.024329	0.0226914	0.0176979	0.0405076	0.0338654	0.0324033	0.027528	0.0212411	0.0145127	0.0128774	0.00780787	
nematode_0.001_8x_1	0.0135154	0.00765913	0.00669498	0.0	0.0165867	0.0107715	0.0098288	0.00398497	0.0186049	0.0128218	0.0118482	0.00607601	0.0203766	0.014712	0.0138918	0.00806682	0.0226509	0.0168646	0.0158726	0.0102357	0.0243282	0.0188326	0.0178619	0.0121785	0.0344127	0.0285743	0.0277335	0.0222751	0.0144289	0.00867615	0.00779604	0.00195465	
nematode_0.002_1x_1	0.0268025	0.0228062	0.0232585	0.0165867	0.0	0.0198365	0.020295	0.0136018	0.0294404	0.0257508	0.0261313	0.019524	0.0316543	0.0277297	0.0281487	0.0215316	0.033779	0.0298519	0.0302298	0.0237955	0.0347806	0.0316794	0.0319956	0.0254823	0.0451249	0.0413446	0.0415889	0.0354284	0.0256512	0.0218597	0.0222541	0.0155331	
nematode_0.002_2x_1	0.0228419	0.0173169	0.016529	0.0107715	0.0198365	0.0	0.013419	0.0076991	0.0258682	0.0202651	0.0195453	0.0137913	0.0274915	0.0222975	0.0214622	0.015702	0.0297111	0.0242154	0.0234065	0.017834	0.0312869	0.0261357	0.0253409	0.0197061	0.0414085	0.0358309	0.0349932	0.0295908	0.0218597	0.0163429	0.0155811	0.00976512	
nematode_0.002_4x_1	0.023295	0.0165798	0.0149286	0.0098288	0.020295	0.013419	0.0	0.0066933	0.0263393	0.0194169	0.0178551	0.0127546	0.0278399	0.0214283	0.0197199	0.0147329	0.0300749	0.0234494	0.0217097	0.0168646	0.0317763	0.0252887	0.0236322	0.0187038	0.041405	0.0347493	0.0332442	0.0283839	0.0222303	0.0155192	0.0139099	0.00883953	
nematode_0.002_8x_1	0.0165179	0.0106878	0.00975436	0.00398497	0.0136018	0.0076991	0.0066933	0.0	0.0195715	0.0137007	0.0127665	0.00705684	0.0213138	0.0156929	0.0147901	0.00898929	0.0235433	0.0177715	0.0168097	0.0111668	0.0252206	0.0197054	0.018736	0.0131213	0.0352224	0.0294301	0.0285073	0.023135	0.0154292	0.00966717	0.00875307	0.00296174	
nematode_0.004_1x_1	0.0287286	0.0248459	0.0252013	0.0186049	0.0294404	0.0258682	0.0263393	0.0195715	0.0	0.0198269	0.020208	0.0136392	0.0333592	0.0296084	0.0300506	0.0234479	0.0353988	0.0316896	0.0320476	0.02557	0.0371847	0.0335341	0.0339635	0.0274812	0.0468598	0.0430914	0.0434006	0.0372195	0.0276673	0.0238041	0.0242706	0.0175865	
nematode_0.004_2x_1	0.0248007	0.019298	0.0183894	0.0128218	0.0257508	0.0202651	0.0194169	0.0137007	0.0198269	0.0	0.0132351	0.00765943	0.0294373	0.0241223	0.0231902	0.0176325	0.0316543	0.026063	0.0251027	0.0196619	0.0331674	0.0278933	0.0272327	0.0215775	0.0432083	0.0375688	0.0367938	0.0313541	0.0237908	0.0182037	0.0173939	0.0117966	
