sample	rotifer_0.001_1x	rotifer_0.001_2x	rotifer_0.001_4x	rotifer_0.001_8x	rotifer_0.002_1x	rotifer_0.002_2x	rotifer_0.002_4x	rotifer_0.002_8x	rotifer_0.004_1x	rotifer_0.004_2x	rotifer_0.004_4x	rotifer_0.004_8x	rotifer_0.006_1x	rotifer_0.006_2x	rotifer_0.006_4x	rotifer_0.006_8x	rotifer_0.008_1x	rotifer_0.008_2x	rotifer_0.008_4x	rotifer_0.008_8x	rotifer_0.01_1x	rotifer_0.01_2x	rotifer_0.01_4x	rotifer_0.01_8x	rotifer_0.02_1x	rotifer_0.02_2x	rotifer_0.02_4x	rotifer_0.02_8x	rotifer_0.0_1x	rotifer_0.0_2x	rotifer_0.0_4x	rotifer_0.0_8x
rotifer_0.001_1x	0.0	0.0	0.0	0.0	0.00304	0.00296	0.00288	0.0	0.0049	0.00519	0.00493	0.0	0.00694	0.00705	0.00689	0.0	0.00908	0.00881	0.00887	0.0	0.01093	0.01103	0.01086	0.0	0.02078	0.02044	0.02026	0.0095	0.00097	0.00091	0.00091	0.0
rotifer_0.001_2x	0.0	0.0	0.0	0.0	0.00302	0.00302	0.00284	0.0	0.00497	0.00507	0.00479	0.0	0.0069	0.00696	0.0068	0.0	0.00879	0.00881	0.00876	0.0	0.01105	0.01097	0.01087	0.00144	0.02078	0.02037	0.02016	0.01107	0.00086	0.00089	0.00083	0.0
rotifer_0.001_4x	0.0	0.0	0.0	0.0	0.00306	0.003	0.00289	0.0	0.00496	0.00495	0.00475	0.0	0.00697	0.00695	0.00675	0.0	0.00874	0.00889	0.00883	0.00071	0.01097	0.01108	0.01092	0.00289	0.02081	0.02043	0.02031	0.01256	0.00087	0.00088	0.00077	0.0
rotifer_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00079	0.0	0.0	0.00168	0.00299	0.0	0.01022	0.01143	0.0127	0.00487	0.0	0.0	0.0	0.0
rotifer_0.002_1x	0.00304	0.00306	0.00311	0.0	0.0	0.0	0.0	0.0	0.00581	0.00607	0.00596	0.0	0.00791	0.0081	0.008	0.0	0.0099	0.00999	0.00994	0.0	0.01205	0.01202	0.01202	0.0007	0.02178	0.02158	0.02157	0.01054	0.00212	0.00204	0.002	0.0
rotifer_0.002_2x	0.00292	0.00302	0.00301	0.0	0.0	0.0	0.0	0.0	0.00608	0.00611	0.00589	0.0	0.00803	0.00805	0.00784	0.0	0.00976	0.00989	0.00989	0.00039	0.01192	0.012	0.01196	0.00252	0.02207	0.0213	0.02132	0.01231	0.0021	0.00195	0.00191	0.0
rotifer_0.002_4x	0.00283	0.00282	0.00289	0.0	0.0	0.0	0.0	0.0	0.00592	0.00594	0.00572	0.0	0.00786	0.00788	0.00768	0.0	0.00955	0.00988	0.00979	0.0017	0.01179	0.01192	0.01181	0.00382	0.02172	0.02129	0.02122	0.01352	0.002	0.00187	0.00173	0.0
rotifer_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.00178	0.0	0.00091	0.00266	0.00395	0.0	0.01123	0.01238	0.01366	0.00587	0.0	0.0	0.0	0.0
rotifer_0.004_1x	0.0049	0.00503	0.00504	0.0	0.00581	0.00617	0.00603	0.0	0.0	0.0	0.0	0.0	0.00989	0.0101	0.00991	0.0	0.01167	0.01192	0.012	0.00074	0.01368	0.01406	0.01396	0.00278	0.02333	0.02307	0.0231	0.01227	0.00405	0.00406	0.00397	0.0
rotifer_0.004_2x	0.00512	0.00507	0.00497	0.0	0.00598	0.00611	0.00597	0.0	0.0	0.0	0.0	0.0	0.00985	0.01003	0.00991	0.0005	0.01154	0.01188	0.01183	0.00239	0.01396	0.01399	0.01392	0.00453	0.0238	0.0233	0.02336	0.01425	0.00402	0.00405	0.00394	0.0
rotifer_0.004_4x	0.00484	0.00476	0.00474	0.0	0.00586	0.00587	0.00572	0.0	0.0	0.0	0.0	0.0	0.0097	0.00982	0.00966	0.00168	0.01144	0.01171	0.01165	0.00364	0.01369	0.01389	0.01376	0.0058	0.02347	0.02312	0.02312	0.01536	0.00385	0.00385	0.00366	0.0
rotifer_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.00168	0.0	0.00051	0.00237	0.0037	0.0	0.00284	0.00465	0.00588	0.0	0.01302	0.01425	0.01551	0.00774	0.0	0.0	0.0	0.0
rotifer_0.006_1x	0.00694	0.00699	0.00709	0.0	0.00791	0.00814	0.008	0.0	0.00989	0.00999	0.00987	0.0	0.0	0.0	0.0	0.0	0.01369	0.01379	0.01396	0.00276	0.01551	0.01586	0.01598	0.00471	0.02545	0.02499	0.02499	0.01417	0.00612	0.0059	0.00605	0.0
rotifer_0.006_2x	0.00695	0.00696	0.00697	0.0	0.00798	0.00805	0.00791	0.0	0.00996	0.01003	0.00986	0.0005	0.0	0.0	0.0	0.0	0.01368	0.0137	0.01373	0.00445	0.01575	0.016	0.01587	0.0066	0.02561	0.02518	0.02505	0.01612	0.00594	0.00597	0.0059	0.0
rotifer_0.006_4x	0.00677	0.00677	0.00674	0.0	0.00786	0.00781	0.00768	0.0	0.00973	0.00987	0.00966	0.00167	0.0	0.0	0.0	0.0	0.01349	0.01357	0.01354	0.00561	0.01553	0.01582	0.01568	0.0078	0.02537	0.02506	0.02504	0.01734	0.00572	0.00576	0.0057	0.0
