sample	leech_0.001_1x	leech_0.001_2x	leech_0.001_4x	leech_0.001_8x	leech_0.002_1x	leech_0.002_2x	leech_0.002_4x	leech_0.002_8x	leech_0.004_1x	leech_0.004_2x	leech_0.004_4x	leech_0.004_8x	leech_0.006_1x	leech_0.006_2x	leech_0.006_4x	leech_0.006_8x	leech_0.008_1x	leech_0.008_2x	leech_0.008_4x	leech_0.008_8x	leech_0.01_1x	leech_0.01_2x	leech_0.01_4x	leech_0.01_8x	leech_0.02_1x	leech_0.02_2x	leech_0.02_4x	leech_0.02_8x	leech_0.0_1x	leech_0.0_2x	leech_0.0_4x	leech_0.0_8x
leech_0.001_1x	0.0	0.0	0.0	0.0	0.00272	0.00244	0.0025	0.0	0.00495	0.0047	0.00446	0.0	0.00681	0.00651	0.00646	0.0	0.00863	0.00854	0.00843	0.0	0.01054	0.01034	0.01038	0.0	0.02067	0.02034	0.02037	0.01006	0.00075	0.00072	0.0005	0.0
leech_0.001_2x	0.0	0.0	0.0	0.0	0.00274	0.00276	0.0027	0.0	0.00485	0.0048	0.00462	0.0	0.00672	0.00682	0.0068	0.0	0.00872	0.00877	0.00867	0.0	0.01044	0.01064	0.01064	0.0017	0.02048	0.02047	0.02059	0.01186	0.00066	0.0008	0.00078	0.0
leech_0.001_4x	0.0	0.0	0.0	0.0	0.00265	0.00252	0.00256	0.0	0.0045	0.0047	0.00448	0.0	0.0064	0.0066	0.00653	0.0	0.00876	0.00865	0.00852	0.0009	0.01021	0.01043	0.01041	0.00279	0.02043	0.02042	0.02037	0.01292	0.00055	0.00058	0.0006	0.0
leech_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00101	0.0	0.0	0.00172	0.003	0.0	0.01035	0.01195	0.01317	0.00573	0.0	0.0	0.0	0.0
leech_0.002_1x	0.00272	0.00277	0.00268	0.0	0.0	0.0	0.0	0.0	0.00587	0.00586	0.00569	0.0	0.00768	0.00765	0.00758	0.0	0.00968	0.00984	0.00971	0.0	0.01144	0.01149	0.01151	0.00085	0.0216	0.02124	0.02133	0.01082	0.00162	0.00165	0.00169	0.0
leech_0.002_2x	0.00242	0.00276	0.00253	0.0	0.0	0.0	0.0	0.0	0.0056	0.00566	0.00547	0.0	0.00763	0.00766	0.00757	0.0	0.00977	0.00965	0.00951	0.00067	0.0113	0.0116	0.01145	0.00261	0.02134	0.02151	0.0214	0.01282	0.00166	0.00163	0.00162	0.0
leech_0.002_4x	0.00248	0.0027	0.00256	0.0	0.0	0.0	0.0	0.0	0.0056	0.00571	0.00554	0.0	0.00746	0.00777	0.00757	0.0	0.00976	0.00966	0.00955	0.00197	0.01132	0.01154	0.01144	0.0039	0.02143	0.02139	0.02144	0.01394	0.00152	0.00161	0.00166	0.0
leech_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00082	0.002	0.0	0.00089	0.00275	0.00397	0.0	0.0113	0.01288	0.01415	0.00671	0.0	0.0	0.0	0.0
leech_0.004_1x	0.00495	0.00489	0.00455	0.0	0.00587	0.00565	0.00567	0.0	0.0	0.0	0.0	0.0	0.00949	0.0097	0.00952	0.0	0.01183	0.01176	0.0115	0.001	0.01363	0.01344	0.01342	0.00294	0.02376	0.02343	0.02334	0.01316	0.0036	0.00374	0.00363	0.0
leech_0.004_2x	0.00466	0.0048	0.00471	0.0	0.00581	0.00566	0.00573	0.0	0.0	0.0	0.0	0.0	0.00979	0.00966	0.0097	0.0008	0.01184	0.01179	0.01156	0.00279	0.01324	0.01351	0.01352	0.00465	0.02358	0.02344	0.02346	0.01483	0.00374	0.00377	0.00381	0.0
leech_0.004_4x	0.00441	0.00461	0.00448	0.0	0.00562	0.00545	0.00554	0.0	0.0	0.0	0.0	0.0	0.00952	0.00955	0.00948	0.00194	0.01158	0.01158	0.0114	0.00391	0.01306	0.01335	0.01328	0.00576	0.02332	0.02328	0.02328	0.01583	0.00355	0.00359	0.0036	0.0
leech_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071	0.00197	0.0	0.00125	0.00282	0.00396	0.0	0.00285	0.00465	0.00594	0.0	0.0132	0.01482	0.01606	0.00862	0.0	0.0	0.0	0.0
leech_0.006_1x	0.00681	0.00679	0.00648	0.0	0.00768	0.0077	0.00754	0.0	0.00949	0.00988	0.00963	0.0	0.0	0.0	0.0	0.0	0.0139	0.0136	0.01344	0.00311	0.01553	0.01544	0.01549	0.005	0.0254	0.02548	0.02518	0.01497	0.00558	0.00589	0.00568	0.0
leech_0.006_2x	0.00645	0.00682	0.00662	0.0	0.00758	0.00766	0.00779	0.0	0.00961	0.00966	0.00958	0.00071	0.0	0.0	0.0	0.0	0.01397	0.0138	0.01359	0.00486	0.01526	0.01561	0.01548	0.00675	0.02536	0.02541	0.02532	0.01684	0.00564	0.00572	0.00579	0.0
leech_0.006_4x	0.00639	0.00678	0.00653	0.0	0.00749	0.00755	0.00757	0.0	0.00941	0.00967	0.00948	0.00196	0.0	0.0	0.0	0.0	0.01378	0.01361	0.01341	0.006	0.01509	0.0154	0.0153	0.00781	0.02533	0.02526	0.0253	0.01789	0.00557	0.00565	0.0057	0.0
leech_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008	0.00195	0.0	0.0	0.0	0.0	0.0	0.00336	0.00494	0.00601	0.0	0.00483	0.00676	0.00796	0.00043	0.0152	0.01684	0.01798	0.01071	0.0	0.0	0.0	0.0
leech_0.008_1x	0.00863	0.0088	0.00886	0.0	0.00967	0.00986	0.00988	0.0	0.01183	0.01195	0.01171	0.00126	0.0139	0.0141	0.01394	0.00338	0.0	0.0	0.0	0.0	0.01748	0.0177	0.01766	0.00725	0.0274	0.02756	0.02736	0.01717	0.00791	0.00783	0.00796	0.0
leech_0.008_2x	0.00847	0.00877	0.00868	0.0	0.00975	0.00965	0.00969	0.00082	0.01165	0.01179	0.01161	0.00281	0.01347	0.0138	0.01365	0.00493	0.0	0.0	0.0	0.0	0.01713	0.01737	0.01744	0.00874	0.0269	0.02727	0.02713	0.01859	0.0076	0.00779	0.00784	0.0
leech_0.008_4x	0.00834	0.00865	0.00852	0.00101	0.0096	0.00949	0.00955	0.00199	0.01137	0.01154	0.0114	0.00394	0.01329	0.01356	0.01341	0.00598	0.0	0.0	0.0	0.0	0.01703	0.01722	0.01725	0.0098	0.02704	0.0272	0.02702	0.01977	0.00772	0.00754	0.00762	0.0
leech_0.008_8x	0.0	0.0	0.0009	0.0	0.0	0.00067	0.00198	0.0	0.001	0.0028	0.00393	0.0	0.00309	0.00487	0.00603	0.0	0.0	0.0	0.0	0.0	0.0068	0.00864	0.00989	0.00242	0.01701	0.01875	0.01984	0.01258	0.0	0.0	0.0	0.0
leech_0.01_1x	0.01054	0.01054	0.01033	0.0	0.01144	0.0114	0.01145	0.0009	0.01363	0.01336	0.01321	0.00287	0.01553	0.0154	0.01526	0.00486	0.01748	0.01729	0.01722	0.00684	0.0	0.0	0.0	0.0	0.02901	0.02882	0.02862	0.01854	0.00952	0.00962	0.00947	0.0
