sample	nematode_0.001_1x	nematode_0.001_2x	nematode_0.001_4x	nematode_0.001_8x	nematode_0.002_1x	nematode_0.002_2x	nematode_0.002_4x	nematode_0.002_8x	nematode_0.004_1x	nematode_0.004_2x	nematode_0.004_4x	nematode_0.004_8x	nematode_0.006_1x	nematode_0.006_2x	nematode_0.006_4x	nematode_0.006_8x	nematode_0.008_1x	nematode_0.008_2x	nematode_0.008_4x	nematode_0.008_8x	nematode_0.01_1x	nematode_0.01_2x	nematode_0.01_4x	nematode_0.01_8x	nematode_0.02_1x	nematode_0.02_2x	nematode_0.02_4x	nematode_0.02_8x	nematode_0.0_1x	nematode_0.0_2x	nematode_0.0_4x	nematode_0.0_8x
nematode_0.001_1x	0.0	0.0	0.0	0.0	0.00297	0.00298	0.00274	0.0	0.00478	0.00471	0.00462	0.0	0.00674	0.00681	0.00641	0.0	0.00865	0.00864	0.00843	0.0	0.01068	0.01067	0.01014	0.0	0.0203	0.02013	0.01941	0.00799	0.00108	0.0009	0.0009	0.0
nematode_0.001_2x	0.0	0.0	0.0	0.0	0.00277	0.00258	0.00226	0.0	0.00452	0.00442	0.00413	0.0	0.00655	0.00647	0.006	0.0	0.00855	0.00836	0.00797	0.0	0.01055	0.01043	0.00983	0.0	0.02026	0.01993	0.01921	0.00958	0.00091	0.00051	0.00038	0.0
nematode_0.001_4x	0.0	0.0	0.0	0.0	0.00262	0.00232	0.00204	0.0	0.00445	0.00427	0.00397	0.0	0.00648	0.00641	0.00581	0.0	0.00844	0.00823	0.00792	0.0	0.01027	0.01008	0.0096	0.00123	0.02012	0.01977	0.01904	0.01091	0.00069	0.0	0.0	0.0
nematode_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00075	0.00175	0.0	0.0093	0.01091	0.0117	0.00357	0.0	0.0	0.0	0.0
nematode_0.002_1x	0.00297	0.00279	0.00262	0.0	0.0	0.0	0.0	0.0	0.00553	0.00572	0.00548	0.0	0.00772	0.00793	0.00736	0.0	0.00935	0.00974	0.00936	0.0	0.01136	0.01151	0.01092	0.0	0.02087	0.02068	0.02007	0.00867	0.00206	0.00189	0.00178	0.0
nematode_0.002_2x	0.00296	0.00257	0.00231	0.0	0.0	0.0	0.0	0.0	0.00551	0.00542	0.00515	0.0	0.00736	0.00771	0.00701	0.0	0.00952	0.00946	0.00915	0.0	0.01141	0.01132	0.0108	0.00095	0.02101	0.02065	0.02005	0.01042	0.00182	0.00159	0.00146	0.0
nematode_0.002_4x	0.00273	0.00227	0.00204	0.0	0.0	0.0	0.0	0.0	0.00542	0.00525	0.00495	0.0	0.00735	0.00739	0.0067	0.0	0.00942	0.00924	0.00889	0.0005	0.01125	0.01111	0.01054	0.00225	0.0209	0.02059	0.0199	0.01172	0.00168	0.0013	0.0012	0.0
nematode_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.0	0.00165	0.00264	0.0	0.01007	0.01163	0.01254	0.00439	0.0	0.0	0.0	0.0
nematode_0.004_1x	0.00477	0.00456	0.00447	0.0	0.00553	0.00555	0.00545	0.0	0.0	0.0	0.0	0.0	0.00953	0.00948	0.00924	0.0	0.0114	0.01146	0.01118	0.0	0.01315	0.01334	0.01273	0.00118	0.02266	0.0223	0.02174	0.01046	0.00386	0.00367	0.00364	0.0
nematode_0.004_2x	0.00466	0.00441	0.00425	0.0	0.00567	0.00542	0.00523	0.0	0.0	0.0	0.0	0.0	0.00947	0.00957	0.00902	0.0	0.0113	0.01132	0.01103	0.00113	0.01305	0.01316	0.01266	0.00289	0.02258	0.0223	0.02167	0.01218	0.00382	0.00347	0.00344	0.0
nematode_0.004_4x	0.0046	0.00414	0.00396	0.0	0.00545	0.00516	0.00495	0.0	0.0	0.0	0.0	0.0	0.00934	0.00932	0.00862	0.00049	0.01118	0.01113	0.01073	0.00242	0.01306	0.01292	0.01234	0.00415	0.02257	0.02222	0.02165	0.01356	0.0036	0.00326	0.00315	0.0
nematode_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00057	0.0	0.0	0.00154	0.0027	0.0	0.00168	0.0035	0.00448	0.0	0.01167	0.0133	0.01427	0.00615	0.0	0.0	0.0	0.0
nematode_0.006_1x	0.00674	0.0066	0.00651	0.0	0.00772	0.00742	0.00738	0.0	0.00953	0.00955	0.0094	0.0	0.0	0.0	0.0	0.0	0.01324	0.0132	0.01309	0.00145	0.01498	0.01505	0.01463	0.00311	0.0245	0.02425	0.0235	0.01226	0.0056	0.00565	0.00571	0.0
nematode_0.006_2x	0.00674	0.00646	0.00638	0.0	0.00785	0.0077	0.00736	0.0	0.00939	0.00956	0.00929	0.0	0.0	0.0	0.0	0.0	0.01343	0.01348	0.0131	0.00337	0.01531	0.01499	0.0146	0.00493	0.02459	0.02448	0.02371	0.01439	0.00595	0.00551	0.00559	0.0
nematode_0.006_4x	0.00636	0.006	0.00578	0.0	0.0073	0.00701	0.00668	0.0	0.00917	0.00903	0.0086	0.00056	0.0	0.0	0.0	0.0	0.01299	0.01279	0.01236	0.00427	0.01489	0.01464	0.01411	0.00596	0.02434	0.02398	0.02326	0.0153	0.00536	0.00505	0.00495	0.0
nematode_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0	0.00164	0.00333	0.00454	0.0	0.00354	0.00532	0.00628	0.0	0.01355	0.01522	0.01593	0.00799	0.0	0.0	0.0	0.0
nematode_0.008_1x	0.00865	0.00862	0.00847	0.0	0.00935	0.00959	0.00946	0.0	0.01139	0.01139	0.01125	0.0	0.01324	0.01356	0.01309	0.00162	0.0	0.0	0.0	0.0	0.01688	0.01697	0.01657	0.00516	0.02584	0.02607	0.02544	0.01432	0.00758	0.00766	0.00767	0.0
nematode_0.008_2x	0.00855	0.00834	0.00819	0.0	0.00965	0.00944	0.00919	0.0	0.01134	0.01131	0.01109	0.00151	0.01307	0.01348	0.01277	0.00327	0.0	0.0	0.0	0.0	0.01686	0.01679	0.01644	0.00695	0.02615	0.0263	0.02549	0.0163	0.0076	0.00756	0.00744	0.0
nematode_0.008_4x	0.00837	0.00797	0.00789	0.0	0.00929	0.00915	0.00886	0.00085	0.01109	0.01103	0.01071	0.00266	0.01299	0.01312	0.01236	0.00447	0.0	0.0	0.0	0.0	0.01665	0.01648	0.01605	0.00808	0.02622	0.02601	0.02521	0.01745	0.00742	0.00717	0.00702	0.0
nematode_0.008_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.00051	0.0	0.0	0.00114	0.00245	0.0	0.00146	0.00342	0.00433	0.0	0.0	0.0	0.0	0.0	0.00539	0.00719	0.00825	0.0	0.0154	0.01717	0.01789	0.01007	0.0	0.0	0.0	0.0
nematode_0.01_1x	0.01067	0.01063	0.01031	0.0	0.01136	0.0115	0.0113	0.0	0.01314	0.01316	0.01313	0.00166	0.01498	0.01546	0.01501	0.0035	0.01688	0.01702	0.01678	0.00535	0.0	0.0	0.0	0.0	0.02772	0.02755	0.02716	0.01612	0.00966	0.00971	0.00962	0.0
nematode_0.01_2x	0.01056	0.01041	0.01002	0.00073	0.01139	0.0113	0.01106	0.00162	0.0132	0.01314	0.01287	0.00343	0.0149	0.01499	0.01462	0.00523	0.01681	0.01679	0.01645	0.00707	0.0	0.0	0.0	0.0	0.02778	0.02764	0.02715	0.01794	0.00957	0.00948	0.00931	0.0
nematode_0.01_4x	0.01006	0.00982	0.00956	0.00172	0.01083	0.0108	0.01051	0.0026	0.01263	0.01267	0.01232	0.00441	0.01452	0.01462	0.01411	0.00619	0.01644	0.01646	0.01605	0.00813	0.0	0.0	0.0	0.0	0.02761	0.0275	0.02678	0.01907	0.00892	0.00893	0.00878	0.00084
nematode_0.01_8x	0.0	0.0	0.00125	0.0	0.0	0.00096	0.00227	0.0	0.00119	0.00294	0.0042	0.0	0.00313	0.00501	0.00603	0.0	0.00519	0.00705	0.00818	0.0	0.0	0.0	0.0	0.0	0.01692	0.01857	0.01944	0.01163	0.0	0.0	0.00042	0.0
nematode_0.02_1x	0.02028	0.02041	0.0202	0.00919	0.02085	0.02117	0.02101	0.00997	0.02264	0.02278	0.02271	0.01157	0.02449	0.02482	0.02453	0.01344	0.02584	0.0264	0.02642	0.01529	0.02772	0.02804	0.02782	0.01684	0.0	0.0	0.0	0.0	0.01924	0.01924	0.01941	0.00828
nematode_0.02_2x	0.01992	0.01989	0.01967	0.0107	0.02047	0.02062	0.02051	0.01142	0.02207	0.02228	0.02215	0.01308	0.02401	0.02448	0.02395	0.01497	0.02582	0.02629	0.02597	0.01691	0.02729	0.02764	0.02747	0.01832	0.0	0.0	0.0	0.0	0.0187	0.01885	0.01891	0.00983
nematode_0.02_4x	0.01925	0.0192	0.01898	0.01151	0.01991	0.02005	0.01986	0.01234	0.02157	0.02169	0.02162	0.01406	0.02331	0.02375	0.02327	0.01571	0.02524	0.02552	0.02522	0.01766	0.02695	0.02719	0.02679	0.01921	0.0	0.0	0.0	0.0	0.01801	0.01819	0.01821	0.01071
nematode_0.02_8x	0.00803	0.0097	0.011	0.00355	0.00872	0.01055	0.01183	0.00437	0.01052	0.01234	0.0137	0.00613	0.01232	0.01459	0.01549	0.00797	0.01439	0.01653	0.01766	0.01005	0.01619	0.01819	0.0193	0.01163	0.0	0.0	0.0	0.0	0.00689	0.00865	0.0102	0.00265
nematode_0.0_1x	0.00108	0.00092	0.00069	0.0	0.00206	0.00184	0.00168	0.0	0.00387	0.00385	0.00362	0.0	0.0056	0.00601	0.0054	0.0	0.00759	0.00768	0.00748	0.0	0.00967	0.00968	0.009	0.0	0.01926	0.0189	0.01817	0.00685	0.0	0.0	0.0	0.0
nematode_0.0_2x	0.00089	0.00051	0.0	0.0	0.00188	0.00159	0.00129	0.0	0.00364	0.00347	0.00325	0.0	0.00561	0.00553	0.00506	0.0	0.00761	0.00758	0.00718	0.0	0.00964	0.00951	0.00893	0.0	0.01911	0.01889	0.0182	0.00855	0.0	0.0	0.0	0.0
nematode_0.0_4x	0.0009	0.00039	0.0	0.0	0.00178	0.00147	0.0012	0.0	0.00363	0.00346	0.00316	0.0	0.0057	0.00563	0.00497	0.0	0.00765	0.00748	0.00705	0.0	0.0096	0.00937	0.00882	0.00041	0.01935	0.01903	0.01828	0.01012	0.0	0.0	0.0	0.0
nematode_0.0_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00086	0.0	0.00838	0.01003	0.0109	0.00267	0.0	0.0	0.0	0.0
