sample	oyster_0.001_1x	oyster_0.001_2x	oyster_0.001_4x	oyster_0.001_8x	oyster_0.002_1x	oyster_0.002_2x	oyster_0.002_4x	oyster_0.002_8x	oyster_0.004_1x	oyster_0.004_2x	oyster_0.004_4x	oyster_0.004_8x	oyster_0.006_1x	oyster_0.006_2x	oyster_0.006_4x	oyster_0.006_8x	oyster_0.008_1x	oyster_0.008_2x	oyster_0.008_4x	oyster_0.008_8x	oyster_0.01_1x	oyster_0.01_2x	oyster_0.01_4x	oyster_0.01_8x	oyster_0.02_1x	oyster_0.02_2x	oyster_0.02_4x	oyster_0.02_8x	oyster_0.0_1x	oyster_0.0_2x	oyster_0.0_4x	oyster_0.0_8x
oyster_0.001_1x	0.0	0.0	0.0	0.0	0.00289	0.00282	0.00214	0.0	0.00487	0.00444	0.00383	0.0	0.00682	0.00631	0.00562	0.0	0.00888	0.00825	0.00732	0.0	0.01052	0.01016	0.00928	0.0	0.01959	0.01901	0.01844	0.0059	0.00111	0.00073	0.0	0.0
oyster_0.001_2x	0.0	0.0	0.0	0.0	0.00264	0.00229	0.0015	0.0	0.00454	0.00396	0.00334	0.0	0.0065	0.00585	0.00517	0.0	0.00856	0.00772	0.00691	0.0	0.01025	0.00971	0.00889	0.0	0.01954	0.01907	0.01828	0.00785	0.00071	0.0	0.0	0.0
oyster_0.001_4x	0.0	0.0	0.0	0.0	0.00207	0.00168	0.00098	0.0	0.00425	0.00355	0.00295	0.0	0.00614	0.00546	0.00469	0.0	0.00816	0.00729	0.00654	0.0	0.00998	0.00934	0.00847	0.0	0.01956	0.01885	0.01781	0.00919	0.0	0.0	0.0	0.0
oyster_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00733	0.00901	0.01001	0.00121	0.0	0.0	0.0	0.0
oyster_0.002_1x	0.00289	0.00269	0.0021	0.0	0.0	0.0	0.0	0.0	0.00554	0.00531	0.00472	0.0	0.00787	0.00735	0.00653	0.0	0.00946	0.00902	0.0083	0.0	0.01149	0.01106	0.01022	0.0	0.02039	0.01965	0.01891	0.00652	0.00185	0.00151	0.00111	0.0
oyster_0.002_2x	0.00276	0.00228	0.00168	0.0	0.0	0.0	0.0	0.0	0.00543	0.00485	0.00432	0.0	0.00762	0.00694	0.00615	0.0	0.00943	0.00879	0.00798	0.0	0.0114	0.01085	0.00997	0.0	0.02029	0.01971	0.01895	0.00845	0.00169	0.00108	0.00062	0.0
oyster_0.002_4x	0.0021	0.0015	0.00098	0.0	0.0	0.0	0.0	0.0	0.00498	0.0043	0.00376	0.0	0.00699	0.00634	0.00552	0.0	0.00891	0.00819	0.00739	0.0	0.01085	0.01027	0.00937	0.00037	0.02019	0.01946	0.01853	0.00991	0.00099	0.0	0.0	0.0
oyster_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00065	0.0	0.00807	0.00971	0.01073	0.00201	0.0	0.0	0.0	0.0
oyster_0.004_1x	0.00487	0.00462	0.00432	0.0	0.00554	0.00555	0.00507	0.0	0.0	0.0	0.0	0.0	0.00962	0.00926	0.00859	0.0	0.01154	0.01112	0.01034	0.0	0.0132	0.01298	0.01222	0.0	0.02221	0.02174	0.0213	0.00891	0.00389	0.00351	0.00327	0.0
oyster_0.004_2x	0.00434	0.00395	0.00354	0.0	0.0052	0.00485	0.00428	0.0	0.0	0.0	0.0	0.0	0.00926	0.00853	0.00787	0.0	0.01103	0.0104	0.00968	0.0	0.01277	0.01238	0.0116	0.001	0.02199	0.02163	0.02097	0.01059	0.00347	0.0029	0.00251	0.0
