sample	oyster_0.001_1x	oyster_0.001_2x	oyster_0.001_4x	oyster_0.001_8x	oyster_0.002_1x	oyster_0.002_2x	oyster_0.002_4x	oyster_0.002_8x	oyster_0.004_1x	oyster_0.004_2x	oyster_0.004_4x	oyster_0.004_8x	oyster_0.006_1x	oyster_0.006_2x	oyster_0.006_4x	oyster_0.006_8x	oyster_0.008_1x	oyster_0.008_2x	oyster_0.008_4x	oyster_0.008_8x	oyster_0.01_1x	oyster_0.01_2x	oyster_0.01_4x	oyster_0.01_8x	oyster_0.02_1x	oyster_0.02_2x	oyster_0.02_4x	oyster_0.02_8x	oyster_0.0_1x	oyster_0.0_2x	oyster_0.0_4x	oyster_0.0_8x
oyster_0.001_1x	0.0	0.0	0.0	0.0	0.00305	0.00296	0.00272	0.0	0.00504	0.00491	0.00453	0.0	0.0069	0.00678	0.00632	0.0	0.00908	0.00872	0.00802	0.0	0.01073	0.01063	0.00997	0.0	0.01979	0.01947	0.0191	0.00665	0.00127	0.00109	0.00087	0.0
oyster_0.001_2x	0.0	0.0	0.0	0.0	0.00295	0.00257	0.00222	0.0	0.00484	0.00456	0.00417	0.0	0.00673	0.00646	0.006	0.0	0.0089	0.00833	0.00774	0.0	0.0106	0.01032	0.00971	0.0	0.01989	0.01967	0.01908	0.00871	0.00101	0.00058	0.0	0.0
oyster_0.001_4x	0.0	0.0	0.0	0.0	0.0026	0.00222	0.00197	0.0	0.00478	0.00438	0.00401	0.0	0.00661	0.0063	0.00575	0.0	0.00874	0.00814	0.0076	0.0	0.01056	0.01018	0.00953	0.00054	0.02014	0.0197	0.01884	0.01028	0.00088	0.0	0.0	0.0
oyster_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00101	0.0	0.00813	0.01002	0.01113	0.00231	0.0	0.0	0.0	0.0
oyster_0.002_1x	0.00305	0.00301	0.00265	0.0	0.0	0.0	0.0	0.0	0.00571	0.00578	0.00543	0.0	0.00795	0.00782	0.00723	0.0	0.00966	0.00949	0.009	0.0	0.01169	0.01153	0.01091	0.0	0.02059	0.02012	0.01957	0.00727	0.00201	0.00187	0.00171	0.0
oyster_0.002_2x	0.0029	0.00257	0.00222	0.0	0.0	0.0	0.0	0.0	0.00558	0.0053	0.005	0.0	0.0077	0.00739	0.00683	0.0	0.00963	0.00925	0.00866	0.0	0.0116	0.01132	0.01065	0.0	0.02052	0.02019	0.01962	0.0092	0.00183	0.00142	0.00121	0.0
oyster_0.002_4x	0.00267	0.00222	0.00197	0.0	0.0	0.0	0.0	0.0	0.00555	0.00516	0.00486	0.0	0.00749	0.00721	0.00661	0.0	0.00952	0.00906	0.00847	0.0	0.01146	0.01114	0.01045	0.0015	0.02079	0.02032	0.01958	0.01102	0.00155	0.00112	0.00102	0.0
oyster_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00073	0.00184	0.0	0.00886	0.01071	0.01183	0.00309	0.0	0.0	0.0	0.0
oyster_0.004_1x	0.00503	0.00494	0.00487	0.0	0.0057	0.0057	0.00566	0.0	0.0	0.0	0.0	0.0	0.0097	0.00973	0.0093	0.0	0.01174	0.0116	0.01104	0.0	0.01341	0.01345	0.01291	0.0	0.02241	0.02221	0.02197	0.00966	0.00405	0.00388	0.00388	0.0
oyster_0.004_2x	0.00478	0.00454	0.00436	0.0	0.00564	0.00528	0.00515	0.0	0.0	0.0	0.0	0.0	0.00962	0.00927	0.00884	0.0	0.01151	0.01114	0.01064	0.0	0.01325	0.01312	0.01255	0.00203	0.02246	0.02235	0.02189	0.01158	0.00391	0.00354	0.00338	0.0
oyster_0.004_4x	0.00442	0.00415	0.00399	0.0	0.00529	0.00498	0.00484	0.0	0.0	0.0	0.0	0.0	0.00926	0.00904	0.00852	0.0	0.0114	0.01089	0.01034	0.00149	0.01308	0.01289	0.01232	0.00348	0.02258	0.02222	0.02147	0.01296	0.00359	0.00313	0.003	0.0
oyster_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.00165	0.0	0.00084	0.00259	0.00376	0.0	0.01068	0.01251	0.01361	0.00503	0.0	0.0	0.0	0.0
oyster_0.006_1x	0.00688	0.00685	0.00673	0.0	0.00794	0.00785	0.00764	0.0	0.0097	0.00984	0.00949	0.0	0.0	0.0	0.0	0.0	0.01366	0.01347	0.01289	0.00038	0.01509	0.01515	0.01468	0.00225	0.02427	0.02413	0.02361	0.01146	0.00595	0.00595	0.00583	0.0
oyster_0.006_2x	0.00661	0.00642	0.00627	0.0	0.00763	0.00736	0.00719	0.0	0.0095	0.00927	0.00905	0.0	0.0	0.0	0.0	0.0	0.01349	0.01325	0.01259	0.00219	0.01504	0.01496	0.01438	0.00397	0.02431	0.02413	0.02338	0.01342	0.00576	0.00549	0.00533	0.0
oyster_0.006_4x	0.00616	0.00596	0.00572	0.0	0.00705	0.0068	0.00658	0.0	0.00907	0.00882	0.00852	0.0	0.0	0.0	0.0	0.0	0.01304	0.01261	0.01201	0.00334	0.01472	0.01447	0.01388	0.00522	0.02415	0.02379	0.02291	0.01462	0.00516	0.00488	0.00474	0.0
