sample	SRR1607346	SRR1607348	SRR1607350	SRR1607351	SRR1607354	SRR1607356	SRR1607357	SRR1607359	SRR1607361	SRR1607363
SRR1607346	0.0	0.00065	0.00067	0.00109	0.00087	0.00089	0.00073	0.00059	0.00058	0.00065
SRR1607348	0.00065	0.0	0.00046	0.00077	0.0007	0.00063	0.00065	0.00038	0.0	0.00041
SRR1607350	0.00067	0.00046	0.0	0.00075	0.00072	0.00072	0.00069	0.0	0.0	0.00042
SRR1607351	0.00109	0.00077	0.00075	0.0	0.00082	0.00094	0.00054	0.00078	0.00054	0.00083
SRR1607354	0.00087	0.0007	0.00072	0.00082	0.0	0.00035	0.00122	0.00063	0.00048	0.00064
SRR1607356	0.00089	0.00063	0.00073	0.00095	0.00035	0.0	0.00052	0.00054	0.00041	0.00068
SRR1607357	0.00073	0.00065	0.00069	0.00054	0.00122	0.00052	0.0	0.00073	0.00048	0.00071
SRR1607359	0.0006	0.00038	0.0	0.00078	0.00063	0.00054	0.00073	0.0	0.0	0.0
SRR1607361	0.00058	0.0	0.0	0.00054	0.00048	0.00041	0.00048	0.0	0.0	0.0
SRR1607363	0.00065	0.00041	0.00042	0.00083	0.00064	0.00068	0.00071	0.0	0.0	0.0
