sample	nematode_0.001_1x	nematode_0.001_2x	nematode_0.001_4x	nematode_0.001_8x	nematode_0.002_1x	nematode_0.002_2x	nematode_0.002_4x	nematode_0.002_8x	nematode_0.004_1x	nematode_0.004_2x	nematode_0.004_4x	nematode_0.004_8x	nematode_0.006_1x	nematode_0.006_2x	nematode_0.006_4x	nematode_0.006_8x	nematode_0.008_1x	nematode_0.008_2x	nematode_0.008_4x	nematode_0.008_8x	nematode_0.01_1x	nematode_0.01_2x	nematode_0.01_4x	nematode_0.01_8x	nematode_0.02_1x	nematode_0.02_2x	nematode_0.02_4x	nematode_0.02_8x	nematode_0.0_1x	nematode_0.0_2x	nematode_0.0_4x	nematode_0.0_8x
nematode_0.001_1x	0.0	0.0	0.0	0.0	0.00311	0.00289	0.00256	0.0	0.00504	0.00499	0.0045	0.0	0.00674	0.00677	0.00619	0.0	0.00852	0.0085	0.00822	0.0	0.01066	0.01027	0.00986	0.0	0.01999	0.01986	0.01887	0.00763	0.00103	0.00091	0.0006	0.0
nematode_0.001_2x	0.0	0.0	0.0	0.0	0.00289	0.00244	0.00209	0.0	0.00477	0.00466	0.004	0.0	0.0066	0.00646	0.00586	0.0	0.00859	0.00825	0.00776	0.0	0.01046	0.00992	0.00937	0.0	0.02012	0.01975	0.01873	0.00916	0.00079	0.0005	0.0	0.0
nematode_0.001_4x	0.0	0.0	0.0	0.0	0.0027	0.00221	0.00187	0.0	0.0045	0.00428	0.00378	0.0	0.00627	0.00624	0.00557	0.0	0.00842	0.00807	0.00764	0.0	0.01029	0.00982	0.00917	0.0009	0.01976	0.01957	0.01869	0.01043	0.00059	0.0	0.0	0.0
nematode_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129	0.0	0.00904	0.01074	0.01127	0.00317	0.0	0.0	0.0	0.0
nematode_0.002_1x	0.00311	0.0029	0.00269	0.0	0.0	0.0	0.0	0.0	0.00604	0.00596	0.00555	0.0	0.0076	0.00778	0.00734	0.0	0.00965	0.00974	0.00932	0.0	0.0116	0.01127	0.01069	0.0	0.02101	0.02071	0.01982	0.00861	0.00216	0.00198	0.00173	0.0
nematode_0.002_2x	0.00287	0.00243	0.00219	0.0	0.0	0.0	0.0	0.0	0.0057	0.00562	0.00508	0.0	0.00742	0.00762	0.00691	0.0	0.00953	0.00937	0.00887	0.0	0.01133	0.01102	0.01031	0.00066	0.02105	0.02064	0.01976	0.01019	0.00177	0.00151	0.00125	0.0
nematode_0.002_4x	0.00257	0.00211	0.00186	0.0	0.0	0.0	0.0	0.0	0.00554	0.00535	0.0048	0.0	0.00716	0.00723	0.00655	0.0	0.00951	0.00906	0.00864	0.0	0.01108	0.01067	0.01005	0.00184	0.02079	0.02053	0.01964	0.0114	0.00156	0.00114	0.00088	0.0
nematode_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00057	0.0	0.0	0.00122	0.00218	0.0	0.00995	0.01158	0.0121	0.0041	0.0	0.0	0.0	0.0
nematode_0.004_1x	0.00504	0.00479	0.00448	0.0	0.00603	0.00573	0.00553	0.0	0.0	0.0	0.0	0.0	0.00967	0.00962	0.00924	0.0	0.01142	0.01139	0.01093	0.0	0.01337	0.01322	0.01253	0.00118	0.02275	0.02255	0.02144	0.01037	0.00392	0.00389	0.00362	0.0
nematode_0.004_2x	0.00496	0.00465	0.00423	0.0	0.00592	0.00561	0.0053	0.0	0.0	0.0	0.0	0.0	0.00948	0.00966	0.00909	0.0	0.01152	0.0113	0.01098	0.00105	0.01341	0.013	0.01245	0.00283	0.02293	0.02261	0.02167	0.01223	0.00391	0.00374	0.00332	0.0
nematode_0.004_4x	0.00449	0.00401	0.00376	0.0	0.00554	0.0051	0.00478	0.0	0.0	0.0	0.0	0.0	0.00901	0.0091	0.00843	0.0	0.01124	0.01079	0.01037	0.00202	0.01296	0.01255	0.01198	0.00378	0.02231	0.02222	0.02131	0.01312	0.00342	0.00308	0.00283	0.0
nematode_0.004_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115	0.00232	0.0	0.00152	0.00298	0.00398	0.0	0.0116	0.01329	0.01383	0.00583	0.0	0.0	0.0	0.0
nematode_0.006_1x	0.00673	0.00663	0.00624	0.0	0.00759	0.00746	0.00715	0.0	0.00967	0.00955	0.00903	0.0	0.0	0.0	0.0	0.0	0.01315	0.01298	0.01259	0.00095	0.0148	0.01459	0.0142	0.00271	0.02436	0.02408	0.02318	0.01201	0.00566	0.00557	0.0053	0.0
nematode_0.006_2x	0.00672	0.00644	0.00618	0.0	0.00771	0.0076	0.00717	0.0	0.00955	0.00966	0.00907	0.0	0.0	0.0	0.0	0.0	0.0132	0.01306	0.0127	0.00289	0.01517	0.01464	0.01424	0.00464	0.02453	0.02433	0.02335	0.014	0.00578	0.00558	0.00534	0.0
nematode_0.006_4x	0.00617	0.00587	0.00554	0.0	0.00733	0.00692	0.00653	0.0	0.00922	0.00913	0.00843	0.0	0.0	0.0	0.0	0.0	0.01289	0.01263	0.01219	0.00388	0.01461	0.01427	0.01377	0.00563	0.02394	0.02387	0.02294	0.01496	0.00525	0.00496	0.00468	0.0
nematode_0.006_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00136	0.00298	0.00415	0.0	0.00329	0.00483	0.00585	0.0	0.0134	0.01508	0.01563	0.00768	0.0	0.0	0.0	0.0
nematode_0.008_1x	0.00851	0.00862	0.0084	0.0	0.00964	0.00958	0.00949	0.0	0.01142	0.01161	0.01127	0.0	0.01315	0.0133	0.01293	0.00134	0.0	0.0	0.0	0.0	0.01689	0.01691	0.01646	0.00499	0.02612	0.02597	0.02521	0.01401	0.00781	0.00768	0.00744	0.0
nematode_0.008_2x	0.00843	0.00823	0.00799	0.0	0.00966	0.00935	0.00898	0.0	0.0113	0.0113	0.01075	0.00112	0.01288	0.01306	0.01258	0.00291	0.0	0.0	0.0	0.0	0.01666	0.01667	0.01603	0.00659	0.02585	0.02587	0.02495	0.01557	0.00749	0.00732	0.00706	0.0
nematode_0.008_4x	0.0082	0.00778	0.0076	0.0	0.0093	0.00889	0.00861	0.00056	0.01089	0.01102	0.01037	0.00228	0.01255	0.01276	0.01219	0.00407	0.0	0.0	0.0	0.0	0.01636	0.01625	0.01568	0.00772	0.02557	0.02566	0.02481	0.01686	0.00722	0.00692	0.00669	0.0
nematode_0.008_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00108	0.00205	0.0	0.00096	0.00296	0.00395	0.0	0.0	0.0	0.0	0.0	0.00503	0.00675	0.0077	0.0	0.01489	0.01669	0.01735	0.00939	0.0	0.0	0.0	0.0
