sample	leech_0.001_1x	leech_0.001_2x	leech_0.001_4x	leech_0.001_8x	leech_0.002_1x	leech_0.002_2x	leech_0.002_4x	leech_0.002_8x	leech_0.004_1x	leech_0.004_2x	leech_0.004_4x	leech_0.004_8x	leech_0.006_1x	leech_0.006_2x	leech_0.006_4x	leech_0.006_8x	leech_0.008_1x	leech_0.008_2x	leech_0.008_4x	leech_0.008_8x	leech_0.01_1x	leech_0.01_2x	leech_0.01_4x	leech_0.01_8x	leech_0.02_1x	leech_0.02_2x	leech_0.02_4x	leech_0.02_8x	leech_0.0_1x	leech_0.0_2x	leech_0.0_4x	leech_0.0_8x
leech_0.001_1x	0.0	0.0	0.0	0.0	0.00286	0.00306	0.00303	0.00295	0.00503	0.00473	0.00482	0.00481	0.0068	0.00685	0.00671	0.00676	0.00886	0.00898	0.00893	0.00887	0.01054	0.01077	0.0109	0.01088	0.02058	0.02057	0.02071	0.02072	0.00075	0.00077	0.00087	0.00076
leech_0.001_2x	0.0	0.0	0.0	0.0	0.00274	0.00283	0.00285	0.00279	0.00491	0.00464	0.00473	0.00468	0.00653	0.00662	0.00659	0.00668	0.00863	0.00879	0.00871	0.00869	0.01067	0.01055	0.01069	0.0107	0.02035	0.02041	0.02072	0.02066	0.0008	0.00067	0.00077	0.00069
leech_0.001_4x	0.0	0.0	0.0	0.0	0.00267	0.00278	0.00295	0.00286	0.00492	0.00471	0.00483	0.00479	0.00669	0.00674	0.00667	0.00681	0.00869	0.00876	0.0088	0.00878	0.01089	0.01069	0.01079	0.01087	0.02036	0.02055	0.02069	0.0206	0.00075	0.00081	0.00081	0.00081
leech_0.001_8x	0.0	0.0	0.0	0.0	0.00278	0.00297	0.00303	0.00292	0.00508	0.00481	0.00491	0.00491	0.00678	0.00683	0.00679	0.00684	0.00878	0.00888	0.00892	0.00881	0.01088	0.01086	0.01092	0.01091	0.02068	0.02076	0.02074	0.02077	0.00093	0.00092	0.00093	0.00091
leech_0.002_1x	0.00286	0.00276	0.00271	0.0028	0.0	0.0	0.0	0.0	0.00584	0.0056	0.00574	0.00572	0.00798	0.0077	0.00767	0.00776	0.00976	0.00969	0.00981	0.00964	0.01143	0.01161	0.01161	0.01158	0.02136	0.02162	0.02193	0.0218	0.00179	0.0018	0.00189	0.00175
leech_0.002_2x	0.00303	0.00283	0.00279	0.00296	0.0	0.0	0.0	0.0	0.00594	0.00578	0.00588	0.00592	0.00765	0.00778	0.0078	0.00794	0.00966	0.00984	0.00986	0.00983	0.01182	0.0118	0.01183	0.01189	0.02128	0.02153	0.02176	0.02171	0.00191	0.00187	0.0019	0.0019
leech_0.002_4x	0.00299	0.00284	0.00295	0.00302	0.0	0.0	0.0	0.0	0.00621	0.00591	0.00594	0.00593	0.0079	0.00794	0.00782	0.00792	0.00991	0.00997	0.00994	0.00991	0.01194	0.01191	0.01188	0.01198	0.02154	0.02176	0.02188	0.02181	0.00204	0.00194	0.00202	0.00194
leech_0.002_8x	0.00293	0.00279	0.00287	0.00292	0.0	0.0	0.0	0.0	0.00614	0.00584	0.00593	0.00586	0.00774	0.00783	0.00781	0.0078	0.00978	0.00994	0.00993	0.0098	0.01181	0.01185	0.01191	0.0118	0.02164	0.02178	0.02166	0.02167	0.00199	0.00193	0.00196	0.00189
leech_0.004_1x	0.00503	0.00495	0.00498	0.00513	0.00584	0.006	0.00628	0.00619	0.0	0.0	0.0	0.0	0.00984	0.00984	0.00985	0.0099	0.01221	0.01198	0.01206	0.012	0.01376	0.01386	0.01412	0.01409	0.02357	0.02342	0.02395	0.02398	0.00389	0.00396	0.00408	0.00404
leech_0.004_2x	0.00469	0.00464	0.00473	0.00481	0.00555	0.00578	0.00592	0.00583	0.0	0.0	0.0	0.0	0.00947	0.00975	0.00964	0.00968	0.01156	0.01168	0.01175	0.01171	0.01343	0.01361	0.01374	0.01374	0.02314	0.02317	0.0234	0.02326	0.00377	0.00373	0.00376	0.00371
leech_0.004_4x	0.00476	0.00472	0.00483	0.00489	0.00567	0.00586	0.00594	0.00591	0.0	0.0	0.0	0.0	0.00973	0.00975	0.00969	0.00974	0.01183	0.01177	0.01188	0.01179	0.01374	0.01365	0.01377	0.01383	0.02339	0.02344	0.02376	0.02354	0.00377	0.00385	0.00386	0.00383
leech_0.004_8x	0.00477	0.00469	0.00481	0.00491	0.00567	0.00592	0.00595	0.00586	0.0	0.0	0.0	0.0	0.00964	0.00978	0.00967	0.00974	0.0117	0.01182	0.01187	0.01184	0.01371	0.01369	0.01379	0.01373	0.02344	0.02356	0.02367	0.02364	0.00387	0.00382	0.00387	0.00386
leech_0.006_1x	0.0068	0.0066	0.00677	0.00684	0.00798	0.00772	0.008	0.00781	0.00984	0.00956	0.00985	0.00972	0.0	0.0	0.0	0.0	0.01352	0.01368	0.01353	0.01349	0.01533	0.01537	0.01571	0.01569	0.02465	0.02486	0.02525	0.02522	0.00565	0.00564	0.00589	0.00576
leech_0.006_2x	0.00679	0.00662	0.00676	0.00683	0.00763	0.00778	0.00797	0.00782	0.00975	0.00975	0.00978	0.00977	0.0	0.0	0.0	0.0	0.01338	0.01364	0.01366	0.01357	0.01552	0.01552	0.01564	0.01568	0.02504	0.02514	0.0254	0.02543	0.00562	0.00575	0.00577	0.00579
leech_0.006_4x	0.00663	0.00657	0.00667	0.00677	0.00758	0.00778	0.00782	0.00778	0.00973	0.00961	0.00969	0.00963	0.0	0.0	0.0	0.0	0.01335	0.01352	0.01356	0.01346	0.01537	0.01535	0.01548	0.01551	0.025	0.02522	0.02534	0.02523	0.00561	0.00569	0.00574	0.00571
leech_0.006_8x	0.00671	0.00668	0.00683	0.00685	0.00769	0.00795	0.00795	0.0078	0.00981	0.00969	0.00978	0.00974	0.0	0.0	0.0	0.0	0.0134	0.01365	0.01366	0.01354	0.01549	0.01556	0.01563	0.01556	0.02527	0.02539	0.02535	0.02546	0.00583	0.00578	0.00587	0.00579
leech_0.008_1x	0.00886	0.00872	0.0088	0.00886	0.00976	0.00976	0.01003	0.00987	0.01221	0.01167	0.01198	0.0118	0.01352	0.01351	0.01352	0.01352	0.0	0.0	0.0	0.0	0.01761	0.0175	0.01748	0.01748	0.02696	0.02693	0.02739	0.02727	0.00782	0.00782	0.00789	0.00775
leech_0.008_2x	0.0089	0.0088	0.00879	0.00887	0.0096	0.00984	0.01001	0.00993	0.01187	0.01168	0.01181	0.01182	0.01355	0.01364	0.01357	0.01364	0.0	0.0	0.0	0.0	0.01757	0.01759	0.01769	0.01777	0.02725	0.02724	0.0275	0.02738	0.00796	0.0079	0.00794	0.00783
