sample	club-moss_0.001_1x	club-moss_0.001_2x	club-moss_0.001_4x	club-moss_0.001_8x	club-moss_0.002_1x	club-moss_0.002_2x	club-moss_0.002_4x	club-moss_0.002_8x	club-moss_0.004_1x	club-moss_0.004_2x	club-moss_0.004_4x	club-moss_0.004_8x	club-moss_0.006_1x	club-moss_0.006_2x	club-moss_0.006_4x	club-moss_0.006_8x	club-moss_0.008_1x	club-moss_0.008_2x	club-moss_0.008_4x	club-moss_0.008_8x	club-moss_0.01_1x	club-moss_0.01_2x	club-moss_0.01_4x	club-moss_0.01_8x	club-moss_0.02_1x	club-moss_0.02_2x	club-moss_0.02_4x	club-moss_0.02_8x	club-moss_0.0_1x	club-moss_0.0_2x	club-moss_0.0_4x	club-moss_0.0_8x
club-moss_0.001_1x	0.0	0.0	0.00502	0.00904	0.00213	0.00157	0.00745	0.01109	0.0038	0.00309	0.00898	0.01217	0.00535	0.00451	0.01058	0.01351	0.00731	0.00645	0.0119	0.01472	0.00863	0.00772	0.01345	0.016	0.0168	0.01619	0.02047	0.02241	0.00045	0.0	0.00556	0.00984
club-moss_0.001_2x	0.0	0.0	0.00264	0.00661	0.00129	0.00057	0.00489	0.00872	0.00314	0.00225	0.00638	0.00972	0.00462	0.00377	0.00779	0.01095	0.00655	0.00558	0.00915	0.01214	0.00793	0.00712	0.01058	0.01338	0.01639	0.01571	0.01762	0.0198	0.0	0.0	0.00331	0.00751
club-moss_0.001_4x	0.00507	0.00271	0.0	0.00508	0.00738	0.00513	0.00567	0.00883	0.00904	0.00669	0.00693	0.00968	0.01026	0.00797	0.00815	0.01064	0.01218	0.00987	0.0093	0.01158	0.01347	0.01118	0.01061	0.01269	0.02176	0.0196	0.01713	0.01895	0.00542	0.00361	0.00467	0.008
club-moss_0.001_8x	0.00971	0.00724	0.00539	0.0	0.01207	0.0098	0.00911	0.0133	0.01377	0.01144	0.01034	0.01385	0.01511	0.01265	0.01138	0.01458	0.01698	0.01481	0.01237	0.01534	0.01837	0.01594	0.01368	0.01634	0.02657	0.02474	0.02	0.02237	0.01003	0.00815	0.00877	0.01283
club-moss_0.002_1x	0.00213	0.00132	0.00734	0.01129	0.0	0.0	0.0054	0.00915	0.00449	0.0037	0.00963	0.01302	0.00605	0.0051	0.01123	0.01434	0.00779	0.00708	0.01278	0.01558	0.00927	0.00854	0.01417	0.01681	0.01745	0.01696	0.02129	0.0232	0.00118	0.00053	0.00635	0.01064
club-moss_0.002_2x	0.00154	0.00057	0.005	0.00899	0.0	0.0	0.00271	0.00645	0.00374	0.00287	0.00712	0.01053	0.00532	0.00442	0.00848	0.01175	0.00725	0.00633	0.0099	0.01292	0.0087	0.0079	0.01134	0.01424	0.01698	0.01615	0.01829	0.02049	0.0004	0.0	0.00412	0.00834
club-moss_0.002_4x	0.00743	0.00498	0.00562	0.00853	0.00539	0.00276	0.0	0.00309	0.00974	0.00738	0.00726	0.00976	0.01096	0.00865	0.00848	0.0106	0.01288	0.01053	0.00961	0.01164	0.01414	0.01181	0.01085	0.01278	0.02233	0.01996	0.01721	0.01879	0.00626	0.00432	0.00507	0.0081
club-moss_0.002_8x	0.01185	0.00949	0.00931	0.01328	0.0098	0.00703	0.00331	0.0	0.01427	0.01196	0.01052	0.01394	0.01559	0.01313	0.0116	0.01465	0.01749	0.01523	0.01266	0.01539	0.01887	0.01635	0.01393	0.01646	0.02701	0.02512	0.02012	0.02239	0.01065	0.00866	0.00902	0.01295
club-moss_0.004_1x	0.00381	0.00322	0.00903	0.01293	0.0045	0.00382	0.00983	0.01344	0.0	0.0	0.0056	0.00882	0.00799	0.00711	0.01303	0.01587	0.00949	0.00882	0.01437	0.01688	0.01079	0.01014	0.01575	0.01825	0.01867	0.01819	0.02254	0.02453	0.00292	0.00247	0.00806	0.01218
club-moss_0.004_2x	0.00305	0.00226	0.00655	0.01057	0.00364	0.00288	0.0073	0.01108	0.0	0.0	0.0027	0.00615	0.00685	0.00616	0.01009	0.01347	0.00895	0.00795	0.01148	0.01449	0.01026	0.00942	0.01281	0.0157	0.01839	0.01785	0.01995	0.02223	0.00198	0.00146	0.00573	0.01
