sample	leech_0.001_1x	leech_0.001_2x	leech_0.001_4x	leech_0.001_8x	leech_0.002_1x	leech_0.002_2x	leech_0.002_4x	leech_0.002_8x	leech_0.004_1x	leech_0.004_2x	leech_0.004_4x	leech_0.004_8x	leech_0.006_1x	leech_0.006_2x	leech_0.006_4x	leech_0.006_8x	leech_0.008_1x	leech_0.008_2x	leech_0.008_4x	leech_0.008_8x	leech_0.01_1x	leech_0.01_2x	leech_0.01_4x	leech_0.01_8x	leech_0.02_1x	leech_0.02_2x	leech_0.02_4x	leech_0.02_8x	leech_0.0_1x	leech_0.0_2x	leech_0.0_4x	leech_0.0_8x
leech_0.001_1x	0.0	0.0	0.0	0.0	0.00278	0.00293	0.00284	0.00274	0.00495	0.0046	0.00463	0.0046	0.00672	0.00673	0.00652	0.00655	0.00888	0.00885	0.00874	0.00865	0.01049	0.01064	0.01071	0.01067	0.02054	0.02045	0.02053	0.02051	0.00067	0.00065	0.00068	0.00055
leech_0.001_2x	0.0	0.0	0.0	0.0	0.00261	0.00266	0.00261	0.00253	0.00478	0.00447	0.0045	0.00443	0.00641	0.00645	0.00636	0.00642	0.00861	0.00862	0.00848	0.00843	0.01057	0.01037	0.01046	0.01044	0.02026	0.02024	0.02049	0.02041	0.00067	0.0005	0.00053	0.00043
leech_0.001_4x	0.0	0.0	0.0	0.0	0.00249	0.00255	0.00266	0.00255	0.00474	0.00448	0.00454	0.00448	0.0065	0.00651	0.00638	0.0065	0.0086	0.00853	0.0085	0.00847	0.01073	0.01046	0.0105	0.01056	0.02021	0.02033	0.02041	0.0203	0.00056	0.00057	0.00052	0.00049
leech_0.001_8x	0.0	0.0	0.0	0.0	0.00257	0.00271	0.00272	0.00259	0.00488	0.00456	0.0046	0.00458	0.00658	0.00658	0.00648	0.00652	0.00867	0.00863	0.00861	0.00849	0.0107	0.01061	0.01061	0.01059	0.02051	0.02052	0.02044	0.02046	0.00072	0.00067	0.00061	0.00059
leech_0.002_1x	0.00278	0.00263	0.00252	0.00259	0.0	0.0	0.0	0.0	0.00576	0.00547	0.00555	0.0055	0.0079	0.00757	0.00748	0.00754	0.00978	0.00956	0.00962	0.00943	0.01137	0.01148	0.01142	0.01136	0.02131	0.0215	0.02175	0.02159	0.00171	0.00167	0.0017	0.00154
leech_0.002_2x	0.00291	0.00266	0.00256	0.00271	0.0	0.0	0.0	0.0	0.00581	0.0056	0.00564	0.00566	0.00752	0.00761	0.00757	0.00769	0.00964	0.00967	0.00962	0.00957	0.01172	0.01163	0.0116	0.01164	0.02119	0.02136	0.02153	0.02146	0.00178	0.0017	0.00166	0.00165
leech_0.002_4x	0.00281	0.00261	0.00266	0.00271	0.0	0.0	0.0	0.0	0.00602	0.00567	0.00565	0.00561	0.00771	0.00771	0.00753	0.0076	0.00982	0.00974	0.00965	0.0096	0.01178	0.01168	0.01159	0.01168	0.02139	0.02153	0.0216	0.0215	0.00186	0.00171	0.00173	0.00163
leech_0.002_8x	0.00272	0.00254	0.00256	0.00259	0.0	0.0	0.0	0.0	0.00594	0.00558	0.00562	0.00553	0.00754	0.00758	0.0075	0.00747	0.00968	0.00969	0.00963	0.00948	0.01163	0.0116	0.01161	0.01148	0.02148	0.02155	0.02137	0.02136	0.00178	0.00167	0.00165	0.00156
leech_0.004_1x	0.00495	0.00482	0.00479	0.00491	0.00577	0.00587	0.00609	0.00598	0.0	0.0	0.0	0.0	0.00976	0.00971	0.00966	0.00968	0.01223	0.01185	0.01187	0.01179	0.01371	0.01374	0.01393	0.01388	0.02353	0.0233	0.02377	0.02377	0.00381	0.00383	0.00388	0.00382
leech_0.004_2x	0.00456	0.00447	0.00449	0.00455	0.00542	0.0056	0.00569	0.00557	0.0	0.0	0.0	0.0	0.00934	0.00958	0.0094	0.00942	0.01154	0.0115	0.01152	0.01145	0.01333	0.01344	0.0135	0.01348	0.02305	0.023	0.02317	0.02301	0.00364	0.00356	0.00353	0.00345
