sample	moss_0.001_1x	moss_0.001_2x	moss_0.001_4x	moss_0.001_8x	moss_0.002_1x	moss_0.002_2x	moss_0.002_4x	moss_0.002_8x	moss_0.004_1x	moss_0.004_2x	moss_0.004_4x	moss_0.004_8x	moss_0.006_1x	moss_0.006_2x	moss_0.006_4x	moss_0.006_8x	moss_0.008_1x	moss_0.008_2x	moss_0.008_4x	moss_0.008_8x	moss_0.01_1x	moss_0.01_2x	moss_0.01_4x	moss_0.01_8x	moss_0.02_1x	moss_0.02_2x	moss_0.02_4x	moss_0.02_8x	moss_0.0_1x	moss_0.0_2x	moss_0.0_4x	moss_0.0_8x
moss_0.001_1x	0.0	0.0	0.0	0.0	0.00237	0.0013	0.0	0.0	0.0043	0.00319	0.0019	0.00183	0.00634	0.0049	0.00379	0.0035	0.00826	0.00681	0.00572	0.00552	0.00991	0.00901	0.0077	0.00726	0.01906	0.0183	0.01719	0.01656	0.0	0.0	0.0	0.0
moss_0.001_2x	0.0	0.0	0.0	0.0	0.00128	0.0	0.0	0.0	0.00324	0.00213	0.00084	0.00077	0.00539	0.00392	0.00276	0.00261	0.00737	0.00586	0.00483	0.00462	0.00916	0.0081	0.00672	0.00642	0.01861	0.01745	0.01631	0.01592	0.0	0.0	0.0	0.0
moss_0.001_4x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00223	0.00112	0.0	0.00047	0.00438	0.00293	0.00199	0.00227	0.00649	0.00505	0.00399	0.00434	0.00849	0.00722	0.00596	0.00627	0.01815	0.01699	0.01611	0.01602	0.0	0.0	0.0	0.0
moss_0.001_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00218	0.00109	0.00044	0.00186	0.00441	0.00296	0.00235	0.00354	0.00667	0.00525	0.00438	0.00554	0.00853	0.00724	0.00654	0.00751	0.01866	0.01751	0.01689	0.01755	0.0	0.0	0.0	0.0
moss_0.002_1x	0.00237	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.00538	0.00415	0.00266	0.00239	0.00707	0.00572	0.00446	0.00419	0.00919	0.00774	0.0064	0.00599	0.01088	0.00965	0.00828	0.0078	0.01958	0.01885	0.01775	0.01694	0.00122	0.0	0.0	0.0
moss_0.002_2x	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00429	0.00311	0.00185	0.00158	0.00636	0.00486	0.00367	0.00344	0.0083	0.00685	0.00558	0.00531	0.00998	0.00878	0.00746	0.00703	0.01926	0.01827	0.01707	0.01664	0.0	0.0	0.0	0.0
moss_0.002_4x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00318	0.00201	0.00098	0.0013	0.00529	0.00383	0.00288	0.00314	0.00736	0.00592	0.00483	0.00506	0.00931	0.00798	0.00685	0.00694	0.01881	0.01779	0.01673	0.01676	0.0	0.0	0.0	0.0
moss_0.002_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00314	0.00196	0.00127	0.00269	0.0053	0.00388	0.00327	0.00441	0.00742	0.00615	0.00539	0.00653	0.00946	0.00816	0.00744	0.0084	0.01925	0.01829	0.0175	0.01822	0.0	0.0	0.0	0.0
moss_0.004_1x	0.00427	0.00325	0.00212	0.0019	0.00536	0.00431	0.00304	0.00275	0.0	0.0	0.0	0.0	0.00913	0.0079	0.00677	0.00644	0.01085	0.00971	0.00845	0.00811	0.01277	0.01182	0.01036	0.00988	0.02134	0.02057	0.01969	0.01914	0.00325	0.00231	0.00125	0.00097
moss_0.004_2x	0.00314	0.00212	0.00106	0.00095	0.0041	0.00309	0.00191	0.00171	0.0	0.0	0.0	0.0	0.00826	0.0068	0.00554	0.0053	0.0101	0.00885	0.00764	0.00729	0.01192	0.01084	0.00947	0.00901	0.02089	0.01983	0.01872	0.01824	0.00197	0.00109	0.0	0.0
