sample	club-moss_0.001_1x	club-moss_0.001_2x	club-moss_0.001_4x	club-moss_0.001_8x	club-moss_0.002_1x	club-moss_0.002_2x	club-moss_0.002_4x	club-moss_0.002_8x	club-moss_0.004_1x	club-moss_0.004_2x	club-moss_0.004_4x	club-moss_0.004_8x	club-moss_0.006_1x	club-moss_0.006_2x	club-moss_0.006_4x	club-moss_0.006_8x	club-moss_0.008_1x	club-moss_0.008_2x	club-moss_0.008_4x	club-moss_0.008_8x	club-moss_0.01_1x	club-moss_0.01_2x	club-moss_0.01_4x	club-moss_0.01_8x	club-moss_0.02_1x	club-moss_0.02_2x	club-moss_0.02_4x	club-moss_0.02_8x	club-moss_0.0_1x	club-moss_0.0_2x	club-moss_0.0_4x	club-moss_0.0_8x
club-moss_0.001_1x	0.0	0.0	0.00501	0.00904	0.00205	0.00136	0.00727	0.01113	0.00366	0.00285	0.00891	0.01213	0.00541	0.00456	0.01051	0.01356	0.00677	0.00596	0.01195	0.01498	0.00848	0.00764	0.01349	0.01605	0.01712	0.0164	0.02065	0.02269	0.0	0.0	0.00549	0.0097
club-moss_0.001_2x	0.0	0.0	0.00269	0.00664	0.00125	0.00073	0.00487	0.00868	0.00303	0.00225	0.00638	0.00978	0.00475	0.00392	0.00784	0.01102	0.00624	0.00541	0.0093	0.01223	0.00824	0.007	0.01068	0.01328	0.01659	0.01583	0.01794	0.02003	0.0	0.0	0.00335	0.0074
club-moss_0.001_4x	0.00505	0.00277	0.0	0.00508	0.00702	0.00519	0.00565	0.00887	0.00878	0.00657	0.00691	0.0096	0.0106	0.00819	0.00811	0.01058	0.01171	0.00962	0.00938	0.01148	0.01383	0.01121	0.01073	0.01256	0.02221	0.01972	0.01758	0.01911	0.00546	0.00362	0.00473	0.00794
club-moss_0.001_8x	0.00971	0.00727	0.00538	0.0	0.01156	0.00984	0.00907	0.01323	0.01325	0.01134	0.01018	0.01385	0.01515	0.01285	0.01134	0.01456	0.01654	0.01442	0.01247	0.01528	0.01871	0.01597	0.01364	0.01616	0.02721	0.02481	0.02033	0.0225	0.01	0.00818	0.00874	0.01263
club-moss_0.002_1x	0.00205	0.00128	0.00698	0.01081	0.0	0.0	0.00496	0.0088	0.00432	0.0036	0.0095	0.01269	0.00625	0.00523	0.01103	0.0141	0.00744	0.00655	0.01251	0.01532	0.0092	0.0084	0.01389	0.01649	0.01771	0.0169	0.02132	0.02322	0.00105	0.0007	0.00612	0.01011
club-moss_0.002_2x	0.00134	0.00073	0.00506	0.00904	0.0	0.0	0.00272	0.00664	0.00382	0.00315	0.00735	0.01072	0.00565	0.00479	0.0087	0.01201	0.00709	0.00635	0.01026	0.01316	0.009	0.00794	0.01155	0.01422	0.01759	0.0166	0.0189	0.02099	0.00046	0.0	0.00429	0.00832
club-moss_0.002_4x	0.00725	0.00495	0.0056	0.0085	0.00495	0.00277	0.0	0.00311	0.00953	0.00737	0.00735	0.00976	0.01132	0.00889	0.00851	0.01078	0.01247	0.01028	0.00974	0.0117	0.01449	0.01177	0.01096	0.01266	0.02282	0.02022	0.01775	0.01905	0.00635	0.00436	0.00516	0.00799
club-moss_0.002_8x	0.01189	0.00946	0.00936	0.0132	0.00942	0.00724	0.00333	0.0	0.01395	0.01204	0.01069	0.01418	0.01598	0.01351	0.01162	0.01471	0.01714	0.01497	0.01275	0.01552	0.01944	0.0166	0.01387	0.0164	0.02773	0.02533	0.02047	0.0226	0.01077	0.00889	0.00919	0.0129
club-moss_0.004_1x	0.00368	0.00311	0.00877	0.01244	0.00433	0.0039	0.00961	0.01314	0.0	0.0	0.00543	0.00855	0.00763	0.00692	0.01268	0.0155	0.00905	0.00828	0.01397	0.01672	0.01097	0.00985	0.01547	0.01791	0.01889	0.01836	0.02272	0.02455	0.00272	0.0025	0.00777	0.01176
club-moss_0.004_2x	0.00281	0.00226	0.00644	0.01047	0.00354	0.00316	0.00729	0.01115	0.0	0.0	0.00266	0.00609	0.00699	0.00626	0.0101	0.01338	0.00839	0.00762	0.01156	0.01445	0.01028	0.0093	0.01288	0.01554	0.01887	0.01773	0.02024	0.02238	0.00194	0.00157	0.00566	0.00983
