sample	club-moss_0.001_1x	club-moss_0.001_2x	club-moss_0.001_4x	club-moss_0.001_8x	club-moss_0.002_1x	club-moss_0.002_2x	club-moss_0.002_4x	club-moss_0.002_8x	club-moss_0.004_1x	club-moss_0.004_2x	club-moss_0.004_4x	club-moss_0.004_8x	club-moss_0.006_1x	club-moss_0.006_2x	club-moss_0.006_4x	club-moss_0.006_8x	club-moss_0.008_1x	club-moss_0.008_2x	club-moss_0.008_4x	club-moss_0.008_8x	club-moss_0.01_1x	club-moss_0.01_2x	club-moss_0.01_4x	club-moss_0.01_8x	club-moss_0.02_1x	club-moss_0.02_2x	club-moss_0.02_4x	club-moss_0.02_8x	club-moss_0.0_1x	club-moss_0.0_2x	club-moss_0.0_4x	club-moss_0.0_8x
club-moss_0.001_1x	0.0	0.0	0.00606	0.01027	0.00248	0.00214	0.00836	0.01237	0.0041	0.00364	0.01006	0.01338	0.00585	0.00537	0.01167	0.01482	0.00722	0.00678	0.01312	0.01625	0.00895	0.00847	0.01467	0.01733	0.01759	0.01726	0.02183	0.02399	0.00063	0.00057	0.00656	0.01094
club-moss_0.001_2x	0.0	0.0	0.00404	0.00809	0.00199	0.00183	0.00625	0.01014	0.00377	0.00336	0.00779	0.01125	0.00548	0.00503	0.00926	0.0125	0.00697	0.00653	0.01072	0.01372	0.00897	0.00812	0.0121	0.01478	0.01729	0.01693	0.01934	0.02153	0.00049	0.0	0.00469	0.00886
club-moss_0.001_4x	0.00599	0.00413	0.0	0.00674	0.00795	0.00655	0.00736	0.01055	0.0097	0.00793	0.00857	0.01128	0.01151	0.00953	0.00977	0.01226	0.01262	0.01096	0.01103	0.01316	0.01473	0.01254	0.01238	0.01428	0.02305	0.02101	0.0192	0.02082	0.0065	0.00498	0.00635	0.00962
club-moss_0.001_8x	0.01066	0.00867	0.00705	0.0	0.01247	0.0112	0.01086	0.01435	0.01413	0.01266	0.01175	0.01498	0.01599	0.01414	0.01287	0.01572	0.01734	0.01567	0.01397	0.01645	0.01947	0.0172	0.01512	0.0174	0.0278	0.02585	0.02167	0.02365	0.01103	0.00957	0.01026	0.01374
club-moss_0.002_1x	0.00248	0.00206	0.00806	0.01205	0.0	0.0	0.00602	0.01002	0.00477	0.0044	0.01066	0.01395	0.0067	0.00605	0.01219	0.01537	0.00789	0.00738	0.01368	0.01659	0.00967	0.00924	0.01506	0.01778	0.01817	0.01776	0.0225	0.02451	0.00158	0.00147	0.00719	0.01135
club-moss_0.002_2x	0.00207	0.00183	0.00643	0.01049	0.0	0.0	0.00409	0.00808	0.00455	0.00425	0.00877	0.01219	0.00637	0.0059	0.01012	0.01348	0.00782	0.00746	0.01168	0.01463	0.00972	0.00905	0.01297	0.01571	0.01828	0.01769	0.02029	0.02247	0.00131	0.00116	0.00564	0.00977
club-moss_0.002_4x	0.00821	0.00635	0.00733	0.01035	0.00591	0.00416	0.0	0.00493	0.01049	0.00877	0.00909	0.01161	0.01229	0.01029	0.01025	0.01263	0.01343	0.01168	0.01149	0.01355	0.01545	0.01317	0.0127	0.01454	0.02376	0.02161	0.01949	0.02095	0.00741	0.00575	0.00686	0.00985
club-moss_0.002_8x	0.01279	0.01082	0.01099	0.01432	0.01037	0.00863	0.00518	0.0	0.01481	0.01335	0.01226	0.01533	0.0168	0.01479	0.01315	0.01588	0.01793	0.01621	0.01425	0.01669	0.02019	0.01781	0.01534	0.01765	0.02832	0.02636	0.02181	0.02376	0.01179	0.01027	0.01071	0.01401
club-moss_0.004_1x	0.00411	0.00391	0.00987	0.01369	0.00477	0.00471	0.01072	0.01439	0.0	0.0	0.00655	0.00977	0.00808	0.00775	0.01386	0.01676	0.00951	0.00912	0.01515	0.01799	0.01143	0.0107	0.01665	0.0192	0.01936	0.01922	0.0239	0.02584	0.00326	0.0033	0.00886	0.013
club-moss_0.004_2x	0.00353	0.00337	0.00781	0.01191	0.00427	0.00427	0.00869	0.01259	0.0	0.0	0.00404	0.00752	0.00771	0.00737	0.01152	0.01484	0.0091	0.00873	0.01298	0.01591	0.01099	0.01041	0.01429	0.01702	0.01954	0.01881	0.02161	0.02384	0.00277	0.00268	0.00701	0.01126
club-moss_0.004_4x	0.00982	0.00787	0.00849	0.01114	0.01039	0.00883	0.00904	0.01165	0.00638	0.00407	0.0	0.00172	0.01369	0.01158	0.0113	0.01318	0.01493	0.01305	0.01236	0.01414	0.01699	0.01453	0.01359	0.01516	0.02496	0.02263	0.02003	0.02127	0.009	0.00732	0.00808	0.01068
club-moss_0.004_8x	0.01376	0.01194	0.01171	0.01491	0.01432	0.0129	0.01211	0.01528	0.01004	0.00797	0.00181	0.0	0.01775	0.01572	0.0139	0.01642	0.01886	0.01715	0.01489	0.01717	0.02103	0.01878	0.01604	0.01813	0.02932	0.02703	0.02241	0.02391	0.0128	0.01133	0.01151	0.01458
club-moss_0.006_1x	0.00589	0.0057	0.01174	0.01555	0.00673	0.00662	0.01259	0.01638	0.0081	0.00798	0.0141	0.01738	0.0	0.0	0.00693	0.00991	0.01102	0.01103	0.01714	0.0199	0.01291	0.0125	0.01848	0.02093	0.02107	0.02072	0.02535	0.02744	0.00502	0.00513	0.01078	0.01489
club-moss_0.006_2x	0.00523	0.00507	0.00942	0.01335	0.00588	0.00593	0.01022	0.014	0.00752	0.00739	0.01156	0.01496	0.0	0.0	0.00381	0.00696	0.01073	0.01044	0.01439	0.01741	0.01249	0.01198	0.01571	0.01846	0.02073	0.02024	0.02273	0.025	0.00447	0.00434	0.00871	0.01267
club-moss_0.006_4x	0.01142	0.00937	0.0097	0.01224	0.01191	0.01021	0.01022	0.01253	0.01351	0.01159	0.01132	0.0133	0.00676	0.00383	0.0	0.0	0.01638	0.01447	0.01344	0.01513	0.01819	0.01591	0.01453	0.0161	0.02636	0.02412	0.02102	0.0222	0.0106	0.00882	0.00939	0.01175
club-moss_0.006_8x	0.01517	0.0132	0.01268	0.01559	0.0157	0.01421	0.01311	0.01578	0.01709	0.01558	0.01376	0.01637	0.01012	0.00733	0.0	0.0	0.02019	0.01839	0.01574	0.01777	0.02237	0.01989	0.01688	0.01865	0.0304	0.02813	0.02293	0.02463	0.01421	0.01267	0.01262	0.01528
club-moss_0.008_1x	0.00728	0.00727	0.0129	0.01691	0.00795	0.00814	0.01379	0.01753	0.00955	0.00945	0.01541	0.01851	0.01104	0.0111	0.01687	0.0199	0.0	0.0	0.00668	0.00947	0.01425	0.014	0.01977	0.02224	0.02244	0.02218	0.02676	0.02863	0.00664	0.0068	0.01207	0.01618
