sample	moss_0.001_1x	moss_0.001_2x	moss_0.001_4x	moss_0.001_8x	moss_0.002_1x	moss_0.002_2x	moss_0.002_4x	moss_0.002_8x	moss_0.004_1x	moss_0.004_2x	moss_0.004_4x	moss_0.004_8x	moss_0.006_1x	moss_0.006_2x	moss_0.006_4x	moss_0.006_8x	moss_0.008_1x	moss_0.008_2x	moss_0.008_4x	moss_0.008_8x	moss_0.01_1x	moss_0.01_2x	moss_0.01_4x	moss_0.01_8x	moss_0.02_1x	moss_0.02_2x	moss_0.02_4x	moss_0.02_8x	moss_0.0_1x	moss_0.0_2x	moss_0.0_4x	moss_0.0_8x
moss_0.001_1x	0.0	0.0	0.0	0.0	0.00252	0.0025	0.00184	0.00206	0.00454	0.00433	0.00357	0.00382	0.00678	0.00599	0.00538	0.00539	0.00865	0.00782	0.00721	0.00731	0.01027	0.00992	0.00909	0.00896	0.01922	0.01878	0.01803	0.01772	0.0	0.00039	0.0	0.0
moss_0.001_2x	0.0	0.0	0.0	0.0	0.0025	0.00221	0.00164	0.00189	0.00453	0.00421	0.00336	0.00359	0.00686	0.00593	0.0052	0.00531	0.00877	0.00778	0.00716	0.00723	0.0105	0.00992	0.00896	0.00893	0.01968	0.0188	0.01799	0.0179	0.0	0.0	0.0	0.0
moss_0.001_4x	0.0	0.0	0.0	0.0	0.00175	0.00162	0.00121	0.00212	0.00401	0.00366	0.00307	0.00384	0.00629	0.00538	0.00488	0.00549	0.00829	0.00737	0.00676	0.00745	0.01019	0.00941	0.00862	0.00928	0.01941	0.01857	0.01808	0.01841	0.0	0.0	0.0	0.0
moss_0.001_8x	0.0	0.0	0.0	0.0	0.00203	0.00199	0.00209	0.004	0.00439	0.00412	0.00395	0.00582	0.00666	0.00584	0.00573	0.00727	0.00872	0.00793	0.00761	0.00914	0.01045	0.00974	0.00958	0.01098	0.01984	0.01909	0.019	0.0202	0.0	0.0	0.0	0.0023
moss_0.002_1x	0.00251	0.00256	0.00176	0.00195	0.0	0.0	0.0	0.0	0.00564	0.00534	0.00439	0.00445	0.00757	0.00686	0.00611	0.00615	0.00962	0.00879	0.00796	0.00786	0.01128	0.01062	0.00974	0.00957	0.01982	0.01941	0.01867	0.01818	0.00131	0.00144	0.00074	0.00094
moss_0.002_2x	0.00244	0.00221	0.00159	0.00188	0.0	0.0	0.0	0.0	0.00554	0.00516	0.00436	0.0044	0.0078	0.00685	0.00611	0.00614	0.00967	0.00875	0.00792	0.00792	0.01132	0.0106	0.0097	0.00956	0.02034	0.01962	0.01876	0.01862	0.00118	0.0012	0.00065	0.001
moss_0.002_4x	0.00182	0.00166	0.00121	0.00201	0.0	0.0	0.0	0.0	0.00492	0.00452	0.00393	0.00458	0.00718	0.00626	0.00573	0.00627	0.00914	0.00821	0.00756	0.00809	0.01099	0.01016	0.00946	0.00986	0.02006	0.01934	0.01867	0.01904	0.00063	0.00054	0.0	0.00106
moss_0.002_8x	0.00213	0.002	0.00219	0.00399	0.0	0.0	0.0	0.0	0.00522	0.00488	0.0047	0.00657	0.00744	0.00666	0.00656	0.00806	0.00938	0.00872	0.00851	0.01004	0.01127	0.01056	0.0104	0.01179	0.02038	0.0198	0.01955	0.0208	0.00078	0.00094	0.00119	0.00311
moss_0.004_1x	0.00452	0.00463	0.00402	0.00421	0.00562	0.00567	0.00497	0.00502	0.0	0.0	0.0	0.0	0.00972	0.00914	0.00852	0.0085	0.01141	0.01088	0.01012	0.01008	0.01328	0.01289	0.01193	0.01175	0.0217	0.02125	0.02072	0.02046	0.00343	0.00372	0.00316	0.00333
moss_0.004_2x	0.00421	0.0042	0.00359	0.00388	0.00519	0.00515	0.00446	0.0046	0.0	0.0	0.0	0.0	0.00963	0.00874	0.00793	0.00798	0.01142	0.01069	0.00993	0.00988	0.01319	0.0126	0.01167	0.01151	0.02194	0.02116	0.02038	0.02021	0.00299	0.0032	0.0026	0.00288
moss_0.004_4x	0.00352	0.0034	0.00305	0.00379	0.00433	0.00441	0.00392	0.00451	0.0	0.0	0.0	0.0	0.00877	0.00796	0.0074	0.00792	0.01065	0.00999	0.0093	0.00984	0.01258	0.01193	0.01114	0.01162	0.02153	0.02076	0.02021	0.02036	0.00227	0.00233	0.00207	0.00283
moss_0.004_8x	0.00395	0.00378	0.00397	0.00581	0.00461	0.00465	0.00476	0.00656	0.0	0.0	0.0	0.0	0.00909	0.00832	0.00836	0.00964	0.01088	0.01052	0.01026	0.01163	0.01294	0.01224	0.01204	0.01331	0.02194	0.02136	0.02105	0.02226	0.00252	0.00272	0.00301	0.00489
moss_0.006_1x	0.00672	0.00698	0.00629	0.00637	0.00751	0.00795	0.00721	0.00714	0.00968	0.00983	0.00884	0.00875	0.0	0.0	0.0	0.0	0.01353	0.01303	0.01239	0.01203	0.01527	0.01484	0.01406	0.01375	0.02331	0.02302	0.02253	0.02205	0.00567	0.00605	0.00542	0.00549
moss_0.006_2x	0.0058	0.0059	0.00527	0.00549	0.00666	0.00683	0.00616	0.00627	0.0089	0.00872	0.00786	0.00787	0.0	0.0	0.0	0.0	0.01277	0.01206	0.01143	0.01125	0.01454	0.014	0.0132	0.01289	0.023	0.02251	0.02175	0.02129	0.00472	0.00502	0.00434	0.00457
moss_0.006_4x	0.00529	0.00524	0.00485	0.00549	0.00602	0.00616	0.00571	0.00629	0.00841	0.00802	0.00739	0.00803	0.0	0.0	0.0	0.0	0.0123	0.01159	0.01097	0.01136	0.01393	0.0135	0.01271	0.01313	0.02276	0.02215	0.02165	0.02168	0.00399	0.00423	0.00391	0.00464
moss_0.006_8x	0.00553	0.00558	0.00565	0.00723	0.00632	0.00646	0.00648	0.00803	0.00875	0.0084	0.00821	0.00962	0.0	0.0	0.0	0.0	0.01261	0.0121	0.01173	0.01303	0.01431	0.01369	0.01356	0.01465	0.02308	0.02262	0.02242	0.0234	0.00429	0.00457	0.00479	0.00646
moss_0.008_1x	0.00856	0.00892	0.00829	0.00836	0.00954	0.00985	0.00919	0.00901	0.01135	0.01166	0.01073	0.01049	0.01352	0.01306	0.01242	0.0122	0.0	0.0	0.0	0.0	0.01716	0.0167	0.01581	0.01543	0.02483	0.02466	0.02398	0.02376	0.00746	0.00808	0.00738	0.0073
moss_0.008_2x	0.00756	0.00773	0.00722	0.00745	0.00852	0.00871	0.00808	0.00822	0.01057	0.01066	0.00985	0.00994	0.01271	0.01204	0.01145	0.01148	0.0	0.0	0.0	0.0	0.01631	0.01577	0.01486	0.01478	0.02451	0.02406	0.02353	0.0233	0.00652	0.00686	0.0063	0.00661
moss_0.008_4x	0.00707	0.00721	0.00671	0.00728	0.00782	0.00798	0.00753	0.00816	0.00997	0.01002	0.00927	0.00985	0.01225	0.01155	0.01096	0.01131	0.0	0.0	0.0	0.0	0.01565	0.01519	0.01443	0.0147	0.02427	0.02372	0.02308	0.02348	0.0058	0.00612	0.00582	0.00644
